symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,209,XTRABYTES,"$9,043,106 ",$0.021379,"423,000,000",*,"$32,500",9.16%,3.61%
CPN,726,CompuCoin,"$54,759 ",$0.002792,"19,615,019",Low Vol,1.76%,3.64%,-17.67%
CHEAP,1065,Cheapcoin,? ,$0.000085,?,*,Low Vol,0.22%,?
BLAS,483,BlakeStar,"$92,678 ",$0.000372,"248,805,712","$1,341",2.33%,-44.72%,-28.81%
CPC,350,Capricoin,"$1,763,190 ",$0.886005,"1,990,045",*,"$171,783",-1.46%,0.81%
EOS,29,EOS,"$248,217,174 ",$0.730029,"340,010,019",*,"$7,812,020",-0.17%,-1.72%
SIB,157,SIBCoin,"$16,616,158 ",$1.08,"15,415,020","$132,193",-1.63%,-4.94%,-4.22%
JWL,757,Jewels,"$39,259 ",$0.001945,"20,181,636",*,Low Vol,0.22%,-17.01%
XDE2,1013,XDE II,? ,$1.65,?,*,Low Vol,0.19%,1.78%
DLISK,793,DAPPSTER,"$25,374 ",$0.000254,"100,000,000",*,Low Vol,0.19%,19.11%
EOT,371,EOT Token,"$1,388,050 ",$0.555220,"2,500,000",*,"$29,975",-6.93%,-14.64%
ACES,1054,Aces,? ,$0.000085,?,*,Low Vol,0.22%,98.45%
UNIFY,422,Unify,"$560,543 ",$0.031659,"17,705,484","$4,257",2.29%,-7.48%,-22.89%
GAIA,578,GAIA,"$328,740 ",$0.013640,"24,101,381",*,Low Vol,?,0.01%
XBC,224,Bitcoin Plus,"$7,436,816 ",$74.01,"100,490",*,"$64,034",0.25%,-1.31%
XBB,525,Boolberry,"$2,308,900 ",$0.242214,"9,532,480",?,?,?,1.95%
MAVRO,1050,Mavro,? ,$0.006005,?,Low Vol,0.22%,14.55%,16.43%
LTH,1037,LAthaan,? ,$0.000338,?,Low Vol,0.25%,-0.72%,2.52%
KRONE,918,Kronecoin,? ,$0.013745,?,"$3,000",56.35%,-26.95%,?
MONA,114,MonaCoin,"$27,738,493 ",$0.514892,"53,872,450","$160,217",0.96%,1.09%,0.91%
SPR,163,SpreadCoin,"$15,602,505 ",$1.79,"8,733,658","$65,270",-2.16%,-2.43%,-2.24%
BLITZ,231,Blitzcash,"$6,716,815 ",$1.64,"4,087,270",*,"$185,891",2.14%,4.27%
OPES,1052,Opescoin,? ,$0.001353,?,Low Vol,0.22%,-0.88%,9.35%
TAG,390,TagCoin,"$1,034,906 ",$0.180903,"5,720,780","$76,784",1.73%,-1.34%,-26.99%
LDOGE,396,LiteDoge,"$972,607 ",$0.000066,"14,841,376,503",*,$646,-4.80%,-5.55%
EXL,1043,Excelcoin,? ,$0.000762,?,Low Vol,0.22%,62.54%,-52.60%
TAJ,807,TajCoin,"$22,854 ",$0.003234,"7,066,879",Low Vol,0.18%,-0.47%,2.48%
SNAKE,933,SnakeEyes,? ,$0.082260,?,*,$976,0.03%,5.14%
PWR,859,Powercoin,"$2,114 ",$0.000042,"49,983,870",Low Vol,0.25%,-0.75%,-0.24%
XPM,278,Primecoin,"$4,039,998 ",$0.196254,"20,585,556","$532,157",0.47%,-7.52%,-25.30%
AGLC,789,AgrolifeCoin,"$26,333 ",$0.004229,"6,226,896",*,Low Vol,?,?
XPTX,455,PlatinumBAR,"$209,492 ",$0.761347,"275,160",$692,-3.82%,-0.39%,24.90%
IXC,529,Ixcoin,"$1,566,129 ",$0.074581,"20,999,088",*,Low Vol,0.20%,-21.37%
MTLMC3,786,Metal Music Coin,"$27,251 ",$0.000342,"79,719,140",Low Vol,0.19%,-27.08%,-22.07%
MINEX,1088,Minex,? ,$0.084698,?,*,Low Vol,?,?
CCRB,355,CryptoCarbon,"$1,654,333 ",$0.464425,"3,562,111",*,"$6,249",-0.78%,-72.06%
NOBL,556,NobleCoin,"$486,389 ",$0.000211,"2,303,065,829",Low Vol,0.18%,-17.38%,-14.72%
PRIMU,1023,Primulon,? ,$0.000169,?,Low Vol,0.22%,23.90%,80.29%
XPY,598,PayCoin,"$231,576 ",$0.019630,"11,796,911",**,Low Vol,0.19%,-5.41%
FEDS,865,FedoraShare,? ,$0.000014,?,*,"$10,549,500",-5.82%,-8.88%
MIOTA,8,IOTA,"$1,750,803,889 ",$0.629892,"2,779,530,283",*,"$31,770,200",17.93%,24.73%
FID,875,BITFID,? ,$0.099867,?,*,"$269,864",0.01%,-1.01%
FIMK,421,FIMKrypto,"$561,223 ",$0.000973,"577,004,618",*,$591,0.25%,-9.49%
BYC,385,Bytecent,"$1,053,387 ",$0.595177,"1,769,871","$6,138",-0.03%,5.17%,4.65%
IXT,191,iXledger,"$12,103,088 ",$0.338275,"35,778,844",*,"$149,533",0.48%,2.91%
BTCD,52,BitcoinDark,"$123,085,307 ",$95.50,"1,288,862","$205,867",-1.39%,-10.00%,-2.43%
JNS,375,Janus,"$1,309,179 ",$0.061811,"21,180,398",*,"$1,682",-0.74%,-18.27%
UNITS,634,GameUnits,"$131,448 ",$0.037849,"3,472,983",*,Low Vol,0.22%,28.53%
MAR,686,Marijuanacoin,"$75,855 ",$0.063292,"1,198,482",Low Vol,0.25%,-6.06%,-7.28%
SNC,261,SunContract,"$4,728,746 ",$0.045891,"103,043,888",*,"$59,086",3.45%,4.60%
SNGLS,58,SingularDTV,"$95,230,200 ",$0.158717,"600,000,000",*,"$874,883",-1.30%,-6.48%
MAX,434,MaxCoin,"$433,864 ",$0.007208,"60,193,645","$61,255",-0.33%,-66.64%,-73.64%
SNM,105,SONM,"$31,581,027 ",$0.095307,"331,360,000",*,"$786,400",0.21%,0.96%
SDP,842,SydPak,"$8,078 ",$0.050747,"159,181",*,Low Vol,0.19%,-20.62%
TP1,1081,KolschCoin,? ,$0.029725,?,Low Vol,?,-1.49%,-0.30%
SNT,56,Status,"$99,863,518 ",$0.028775,"3,470,483,788",*,"$2,111,360",-0.52%,-2.25%
WGO,541,WavesGo,"$707,834 ",$0.070805,"9,996,979",*,Low Vol,0.50%,2.32%
MAD,676,SatoshiMadness,"$84,607 ",$0.000042,"2,000,683,485",*,Low Vol,0.25%,-0.75%
LAZ,1075,Lazaruscoin,? ,$0.001471,?,*,Low Vol,?,-1.35%
AXF,892,AxFunds,? ,$0.017010,?,"$22,861",-9.28%,4.72%,-42.58%
FEI,915,Fuda Energy,? ,$0.015005,?,"$3,339",0.00%,-0.88%,-1.84%
UGT,1108,UG Token,? ,$0.163587,?,*,?,?,?
FFC,990,FireFlyCoin,? ,$0.000103,?,Low Vol,0.15%,20.45%,21.01%
MAO,457,Mao Zedong,"$186,082 ",$0.035759,"5,203,745","$7,782",38.86%,19.12%,23.86%
GAIN,1041,UGAIN,? ,$0.000550,?,Low Vol,0.22%,-24.11%,-14.13%
GUC,978,GoldUnionCoin,? ,$1.01,?,*,Low Vol,0.22%,?
MGM,843,Magnum,"$8,005 ",$0.002114,"3,785,920",Low Vol,0.22%,10.27%,42.52%
SHDW,551,Shadow Token,"$503,297 ",$0.071900,"7,000,000",*,Low Vol,0.22%,4.95%
USDE,626,USDe,"$143,885 ",$0.000127,"1,134,138,407",Low Vol,0.19%,34.26%,-79.08%
DTB,193,Databits,"$12,024,878 ",$0.528617,"22,747,809",*,"$57,562",-1.11%,-6.73%
CME,1071,Cashme,? ,$0.000085,?,**,Low Vol,0.22%,?
TSE,702,Tattoocoin (S...,"$68,893 ",$0.000762,"90,421,856",*,Low Vol,0.13%,59.01%
GUN,694,Guncoin,"$72,218 ",$0.000379,"190,743,328",Low Vol,0.16%,-1.34%,10.73%
GUP,171,Matchpool,"$14,274,600 ",$0.190328,"75,000,000",*,"$344,057",-0.30%,4.07%
PCN,1020,PeepCoin,? ,$0.000042,?,*,Low Vol,0.22%,-0.67%
TYCHO,917,Tychocoin,? ,$0.085061,?,"$3,144",0.22%,-14.91%,-20.90%
NYC,582,NewYorkCoin,"$311,945 ",$0.000005,"59,719,935,819",Low Vol,0.41%,65.12%,59.10%
