symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
MIU,1141,MIYUCoin,?,$0.000043,?,Low Vol,?,-2.40%,9.72%
XBY,226,XTRABYTES,"$8,292,090",$0.019511,"425,000,000",*,"$80,071",-0.36%,7.08%
CPN,828,CompuCoin,"$24,211",$0.001234,"19,615,019",Low Vol,2.93%,-36.53%,-48.83%
CHEAP,1144,Cheapcoin,?,$0.000129,?,*,Low Vol,?,-2.56%
BLAS,475,BlakeStar,"$355,337",$0.001408,"252,441,944","$70,857",8.66%,53.15%,242.22%
CSNO,205,BitDice,"$10,551,380",$0.150734,"70,000,000",*,"$14,673",3.89%,-4.13%
CREVA,788,CrevaCoin,"$40,696",$0.001118,"36,390,750",Low Vol,-0.07%,-2.58%,-0.64%
EOS,25,EOS,"$240,907,626",$0.628477,"383,319,717",*,"$7,197,370",-0.25%,-4.13%
SIB,153,SIBCoin,"$19,057,011",$1.23,"15,554,331","$77,153",-0.29%,-3.45%,-9.64%
JWL,778,Jewels,"$44,307",$0.002195,"20,181,636",*,Low Vol,-0.12%,-4.41%
XDE2,1066,XDE II,?,$1.67,?,*,Low Vol,-0.12%,0.55%
DLISK,846,DAPPSTER,"$17,169",$0.000172,"100,000,000",*,Low Vol,?,-2.82%
EOT,419,EOT Token,"$923,520",$0.369408,"2,500,000",*,"$10,099",0.26%,69.43%
ACES,1093,Aces,?,$0.000215,?,*,Low Vol,-0.12%,143.66%
UNIFY,396,Unify,"$1,232,555",$0.069538,"17,725,040","$19,047",3.75%,21.71%,62.18%
GAIA,620,GAIA,"$299,838",$0.012441,"24,101,381",*,Low Vol,-0.10%,?
XBC,248,Bitcoin Plus,"$6,505,538",$64.28,"101,200",*,"$37,243",2.39%,-5.27%
MAVRO,1048,Mavro,?,$0.006888,?,Low Vol,-0.12%,3.27%,29.86%
LTH,1101,LAthaan,?,$0.000301,?,Low Vol,-0.10%,-14.72%,9.57%
KRONE,548,Kronecoin,"$23,321",$0.010713,"2,176,850","$1,211",-0.06%,0.25%,-25.99%
MONA,135,MonaCoin,"$23,996,055",$0.441309,"54,374,725","$156,432",0.23%,-9.55%,-1.85%
CYDER,966,Cyder,?,$0.001205,?,*,"$1,741",-3.56%,109.92%
AGLC,875,AgrolifeCoin,"$7,082",$0.001076,"6,581,008",*,Low Vol,-0.12%,-88.00%
SPR,150,SpreadCoin,"$19,445,236",$2.19,"8,859,079","$952,842",0.76%,25.32%,22.21%
BLITZ,278,Blitzcash,"$5,123,911",$1.25,"4,092,907",*,"$47,959",-0.12%,-13.45%
OPES,1121,Opescoin,?,$0.001157,?,Low Vol,?,-2.94%,0.68%
MANA,168,Decentraland,"$16,181,042",$0.014076,"1,149,540,118",*,"$361,391",-0.14%,-2.84%
TAG,612,TagCoin,"$314,779",$0.054713,"5,753,264",Low Vol,-0.12%,-12.90%,-0.87%
LDOGE,428,LiteDoge,"$779,761",$0.000052,"14,855,876,005",*,"$3,518",-0.41%,-2.09%
EXL,1018,Excelcoin,?,$0.000560,?,Low Vol,44.31%,47.62%,0.86%
TAJ,811,TajCoin,"$32,609",$0.004462,"7,308,374",Low Vol,-0.10%,6.26%,7.48%
SNAKE,993,SnakeEyes,?,$0.050290,?,*,Low Vol,1.76%,-8.85%
CPC,410,Capricoin,"$1,047,012",$0.526125,"1,990,045",*,"$17,058",0.08%,-7.76%
PWR,890,Powercoin,"$2,152",$0.000043,"49,983,870",Low Vol,-0.12%,-2.54%,9.57%
XPM,317,Primecoin,"$3,272,562",$0.157117,"20,828,819","$813,463",-1.41%,-12.84%,16.82%
GP,741,GoldPieces,"$68,248",$0.055933,"1,220,161",*,Low Vol,-0.10%,-4.26%
XPTX,497,PlatinumBAR,"$215,986",$0.693451,"311,465","$5,865",10.07%,6.37%,17.00%
IXC,571,Ixcoin,"$1,430,670",$0.068130,"20,999,088",*,Low Vol,0.46%,1.97%
XPA,179,XPlay,"$14,635,600",$0.014636,"1,000,000,000",*,"$14,943",-0.23%,-2.15%
CCRB,382,CryptoCarbon,"$1,364,096",$0.382946,"3,562,111",*,"$63,331",-0.11%,-23.79%
NOBL,588,NobleCoin,"$586,518",$0.000254,"2,306,156,001",Low Vol,-0.12%,-4.03%,60.52%
PRIMU,1077,Primulon,?,$0.000086,?,Low Vol,-0.12%,?,-25.90%
XPY,638,PayCoin,"$222,802",$0.018874,"11,804,554",Low Vol,11.18%,17.93%,38.65%
FEDS,1149,FedoraShare,?,$0.000008,?,*,?,?,?
MIOTA,9,IOTA,"$1,536,024,025",$0.552620,"2,779,530,283",*,"$14,026,600",-1.17%,-4.34%
FID,1143,BITFID,?,$0.086262,?,*,Low Vol,?,-2.35%
FIMK,596,FIMKrypto,"$447,094",$0.000775,"577,004,618",*,Low Vol,99.76%,10.81%
BYC,405,Bytecent,"$1,134,712",$0.629783,"1,801,750","$33,383",2.26%,3.43%,9.18%
IXT,204,iXledger,"$10,552,469",$0.294936,"35,778,844",*,"$49,647",0.83%,2.26%
BTCD,49,BitcoinDark,"$126,651,331",$98.27,"1,288,862","$78,336",0.03%,-1.71%,5.14%
JNS,572,Janus,"$1,397,565",$0.063163,"22,126,322",*,Low Vol,1.02%,6.64%
UNITS,661,GameUnits,"$139,848",$0.040267,"3,472,983",*,Low Vol,-0.10%,22.82%
MAR,768,Marijuanacoin,"$48,965",$0.038108,"1,284,893",Low Vol,-0.12%,-1.99%,6.73%
SNC,310,SunContract,"$3,394,030",$0.032413,"104,712,011",*,"$50,645",1.83%,-4.65%
XBL,449,Billionaire T...,"$551,976",$0.166490,"3,315,372",*,"$7,720",-7.02%,-10.17%
SNGLS,58,SingularDTV,"$108,556,200",$0.180927,"600,000,000",*,"$645,315",6.50%,16.96%
MAX,421,MaxCoin,"$868,976",$0.014378,"60,438,765","$1,798",0.40%,9.16%,27.04%
SNM,78,SONM,"$66,121,894",$0.199547,"331,360,000",*,"$6,075,660",3.65%,47.73%
SDP,872,SydPak,"$8,367",$0.052518,"159,315",*,Low Vol,-0.12%,-7.90%
SNT,65,Status,"$95,365,077",$0.027479,"3,470,483,788",*,"$1,669,720",0.19%,-9.77%
WGO,445,WavesGo,"$577,782",$0.057778,"10,000,000",*,"$3,453",0.84%,-27.13%
MAD,711,SatoshiMadness,"$86,124",$0.000043,"2,000,683,485",*,Low Vol,-0.12%,-2.54%
AHT,568,Bowhead,"$1,716,632",$0.214579,"8,000,000",*,Low Vol,-0.10%,33.56%
AXF,1125,AxFunds,?,$0.068043,?,Low Vol,?,?,216.73%
FEI,1126,Fuda Energy,?,$0.001202,?,Low Vol,?,?,-24.21%
UGT,943,UG Token,?,$0.292245,?,*,"$11,683",-0.22%,-3.27%
FFC,1034,FireFlyCoin,?,$0.000086,?,Low Vol,-0.10%,-21.96%,0.31%
MAO,413,Mao Zedong,"$1,016,468",$0.163580,"6,213,891","$19,128",3.50%,9.37%,348.38%
GAIN,1110,UGAIN,?,$0.000172,?,Low Vol,?,-2.75%,-82.95%
GUC,938,GoldUnionCoin,?,$0.483035,?,*,"$16,751",-0.12%,?
MGM,871,Magnum,"$8,374",$0.002195,"3,814,435",Low Vol,-0.10%,-32.83%,9.10%
SHDW,600,Shadow Token,"$419,152",$0.059879,"7,000,000",*,Low Vol,-0.10%,29.24%
USDE,490,USDe,"$244,122",$0.000215,"1,134,200,696",$644,-0.12%,62.43%,79.82%
DTB,202,Databits,"$11,463,895",$0.503956,"22,747,809",*,"$77,893",-0.63%,-11.47%
CME,1053,Cashme,?,$0.000043,?,Low Vol,-0.12%,?,9.78%
TSE,764,Tattoocoin (S...,"$52,754",$0.000583,"90,421,856",*,Low Vol,0.91%,-46.12%
XNG,885,Enigma,"$3,521",$0.211793,"16,627",Low Vol,-0.10%,-2.16%,-1.65%
GUN,684,Guncoin,"$114,427",$0.000594,"192,491,728",Low Vol,-0.06%,-3.34%,22.57%
GUP,188,Matchpool,"$13,489,725",$0.179863,"75,000,000",*,"$383,147",-0.97%,4.65%
PCN,1062,PeepCoin,?,$0.000043,?,*,Low Vol,-0.09%,-2.54%
TYCHO,431,Tychocoin,"$756,785",$0.150623,"5,024,368","$7,744",-0.12%,-5.30%,-10.12%
NYC,604,NewYorkCoin,"$392,358",$0.000003,"129,032,781,759",Low Vol,-0.21%,2.06%,-30.09%
CARBON,584,Carboncoin,"$662,586",$0.000043,"15,391,998,292",Low Vol,-0.12%,-2.54%,9.57%
UNC,1089,UNCoin,?,$0.000043,?,*,Low Vol,-0.10%,-2.54%
YBC,561,YbCoin,"$2,917,802",$0.965959,"3,020,627",*,?,?,?
XBG,915,BTCGold,?,$0.009126,?,"$73,127",5.87%,-18.05%,1394.74%
BET,1016,BetaCoin,?,$0.009378,?,Low Vol,-0.12%,11.75%,-8.79%
CMP,167,Compcoin,"$16,419,546",$3.84,"4,276,124","$331,794",23.60%,3.62%,11.72%
MRNG,974,MorningStar,?,$0.003659,?,*,"$1,124",-0.12%,130.83%
LKC,1079,LinkedCoin,?,$0.000129,?,Low Vol,-0.10%,-2.54%,-34.02%
HUC,368,HunterCoin,"$1,682,053",$0.086396,"19,469,080","$8,581",-0.88%,-10.15%,-14.25%
LSK,15,Lisk,"$644,730,644",$5.70,"113,072,750",*,"$11,378,300",0.80%,4.00%
VGC,1081,VegasCoin,?,$0.000646,?,Low Vol,-0.12%,-8.51%,9.57%
POKE,1112,PokeCoin,?,$0.000132,?,Low Vol,?,?,?
XBTS,839,Beatcoin,"$18,443",$0.012096,"1,524,686",Low Vol,-0.10%,-45.13%,-34.47%
TTC,687,TittieCoin,"$108,158",$0.000086,"1,259,816,434",Low Vol,-0.17%,-2.81%,6.32%
SPORT,1075,SportsCoin,?,$0.000689,?,*,Low Vol,-0.10%,-2.54%
VLT,484,Veltor,"$289,296",$0.521390,"554,855",$560,-0.09%,-3.08%,-2.15%
BUMBA,746,BumbaCoin,"$65,584",$0.002942,"22,290,788",Low Vol,-0.35%,-3.46%,23.56%
GRT,678,Grantcoin,"$121,265",$0.002853,"42,507,599",*,Low Vol,?,-2.14%
CYC,1087,Cycling Coin,?,$0.001334,?,*,Low Vol,-0.10%,-21.54%
GRS,218,Groestlcoin,"$8,800,840",$0.128450,"68,515,684","$118,600",1.43%,2.95%,-19.56%
BLZ,832,BlazeCoin,"$22,310",$0.000037,"608,557,394",Low Vol,-0.18%,-6.28%,-5.53%
BLU,565,BlueCoin,"$2,572,204",$0.004476,"574,683,675",Low Vol,0.56%,-6.89%,6.41%
PEPECASH,219,Pepe Cash,"$8,762,109",$0.012484,"701,884,009",*,"$5,471",-0.10%,6.15%
1337,386,1337,"$1,336,556",$0.000057,"23,271,965,570",*,"$3,034",-1.75%,-15.84%
MARS,729,Marscoin,"$73,040",$0.002583,"28,279,074",Low Vol,-0.12%,-12.87%,46.09%
DOLLAR,855,Dollar Online,"$15,640",$0.020749,"753,776",Low Vol,-0.10%,-13.80%,-1.15%
FLAX,513,Flaxscript,"$144,410",$0.025905,"5,574,659","$1,698",-0.12%,-21.80%,4.75%
RUSTBITS,578,Rustbits,"$856,572",$0.024265,"35,300,866",*,Low Vol,-0.31%,?
GBRC,1056,Global Busine...,?,$0.000129,?,Low Vol,-0.12%,-2.54%,64.35%
SC,45,Siacoin,"$148,343,765",$0.004971,"29,839,434,485","$1,859,560",1.50%,-4.10%,2.27%
FTC,236,Feathercoin,"$7,619,010",$0.042973,"177,295,960","$32,881",-1.03%,-3.61%,2.09%
GRE,581,Greencoin,"$702,137",$0.000206,"3,412,488,641",*,Low Vol,-23.30%,13.86%
GRC,192,GridCoin,"$13,177,973",$0.033763,"390,312,753","$85,805",3.53%,-2.13%,-2.90%
BLK,184,BlackCoin,"$14,180,301",$0.185586,"76,408,247",*,"$347,743",-1.32%,-5.15%
WGR,210,Wagerr,"$9,700,812",$0.053010,"183,000,000",*,"$36,841",-10.59%,-11.89%
GRN,1025,Granite,?,$0.009772,?,Low Vol,-0.12%,-11.86%,-2.04%
SPRTS,134,Sprouts,"$24,216,639",$0.000036,"668,990,096,011",*,"$3,248",-0.39%,-11.90%
BLC,669,Blakecoin,"$130,786",$0.008648,"15,122,697",Low Vol,-0.67%,-5.78%,0.81%
DCRE,1114,DeltaCredits,?,$0.114041,?,*,Low Vol,?,?
MG,995,Mind Gene,?,$0.012053,?,Low Vol,0.91%,1.07%,20.68%
XCXT,485,CoinonatX,"$288,842",$0.021732,"13,290,949","$2,315",-0.62%,-13.78%,-6.35%
TOP,1107,TopCoin,?,$0.000775,?,Low Vol,-0.12%,59.48%,38.22%
CBD,1140,CBD Crystals,?,$0.001403,?,*,Low Vol,?,?
SHA,1069,SHACoin,?,$0.000689,?,Low Vol,-0.12%,-2.54%,17.82%
WORM,537,HealthyWormCoin,"$56,509",$0.000517,"109,393,242",$769,-0.12%,-22.03%,15.27%
MARX,1068,MarxCoin,?,$0.001595,?,Low Vol,-0.12%,-1.26%,-11.71%
MXT,306,MarteXcoin,"$3,616,287",$1.31,"2,759,513","$15,347",-7.40%,-2.44%,-65.87%
MI,896,Xiaomicoin,"$1,349",$0.000003,"406,141,855",*,Low Vol,?,?
TELL,1057,Tellurion,?,$0.000086,?,Low Vol,-0.10%,-29.70%,9.56%
RADS,183,Radium,"$14,222,826",$4.23,"3,358,971",*,"$241,901",-0.01%,-8.77%
KASHH,1073,KashhCoin,?,$0.000067,?,*,Low Vol,-1.70%,-24.12%
RUPX,500,Rupaya,"$204,761",$0.037475,"5,463,887","$7,532",-3.74%,3.16%,112.98%
IND,929,Indorse Token,?,$0.113048,?,*,"$27,658",2.26%,-11.67%
EMC2,139,Einsteinium,"$22,011,802",$0.102784,"214,155,916","$10,437,700",9.21%,-15.29%,25.65%
CBX,362,Crypto Bullion,"$1,867,606",$1.86,"1,002,230","$4,704",2.70%,-9.33%,19.76%
OPAL,1095,Opal,?,$0.011660,?,*,Low Vol,-0.12%,-0.52%
FLT,658,FlutterCoin,"$153,493",$0.000476,"322,214,524",Low Vol,0.04%,-22.91%,-20.35%
REX,340,REX,"$2,460,521",$0.284100,"8,660,756",*,"$1,520",-0.23%,-17.04%
DES,819,Destiny,"$27,414",$0.017134,"1,600,000",Low Vol,?,-2.78%,?
CTR,81,Centra,"$62,536,540",$0.919655,"68,000,000",*,"$871,690",-5.84%,-20.84%
FJC,435,FujiCoin,"$681,398",$0.000607,"1,121,699,951","$1,647",-1.07%,7.07%,45.26%
CRYPT,576,CryptCoin,"$1,012,661",$0.167212,"6,056,148",Low Vol,?,?,?
REP,30,Augur,"$211,585,000",$19.23,"11,000,000",*,"$788,519",-0.54%,-0.45%
GLC,598,GlobalCoin,"$432,038",$0.006629,"65,171,010",Low Vol,-0.12%,12.01%,26.65%
GLD,288,GoldCoin,"$4,679,224",$0.115435,"40,535,576","$24,675",-0.97%,-7.73%,-8.80%
FUCK,574,FuckToken,"$1,060,318",$0.020632,"51,393,147",*,Low Vol,0.20%,-28.93%
SUMO,427,Sumokoin,"$797,555",$0.468416,"1,702,663","$12,670",-2.86%,3.73%,-14.29%
FC,949,Facecoin,?,$0.038547,?,*,"$5,902",-0.22%,75.21%
COSS,414,COSS,"$982,199",$0.068453,"14,348,584",*,"$167,737",7.25%,-0.98%
REC,106,Regalcoin,"$33,869,773",$12.05,"2,810,000","$4,372,530",-3.73%,-22.53%,?
CTO,529,Crypto,"$81,110",$0.007103,"11,419,385",$609,0.49%,36.28%,174.87%
SMC,447,SmartCoin,"$567,059",$0.024267,"23,367,406","$1,037",-0.56%,-33.20%,46.58%
DOT,403,Dotcoin,"$1,176,501",$0.004624,"254,417,000",*,"$13,577",-1.59%,-4.35%
REE,498,ReeCoin,"$215,137",$0.000084,"2,560,000,000","$8,270",-0.18%,26.84%,11.99%
PZM,237,PRIZM,"$7,599,102",$0.851556,"8,923,784",*,"$9,849",-0.09%,-5.13%
CLAM,136,Clams,"$23,939,720",$9.05,"2,645,457",*,"$336,971",-1.00%,-4.33%
FCT,44,Factom,"$152,076,449",$17.39,"8,745,102",*,"$2,823,410",1.02%,0.64%
CONX,827,Concoin,"$25,503",$0.034266,"744,266",Low Vol,-0.12%,17.62%,102.83%
LTBC,689,LTBcoin,"$107,320",$0.000217,"493,863,915",*,Low Vol,?,-3.51%
QTUM,14,Qtum,"$699,185,400",$11.85,"59,000,000",*,"$106,699,000",-0.86%,0.68%
MDA,185,Moeda Loyalty...,"$14,138,000",$2.83,"5,000,000",*,"$193,310",2.20%,-3.25%
FUZZ,838,FuzzBalls,"$18,914",$0.003916,"4,829,945",Low Vol,-0.10%,9.46%,31.88%
SOIL,536,SOILcoin,"$61,682",$0.010818,"5,702,048",$752,-0.13%,-4.97%,-11.19%
BSD,240,BitSend,"$7,322,749",$0.439069,"16,677,900","$629,080",-0.03%,-2.59%,13.88%
XFT,399,Footy Cash,"$1,211,230",$0.267755,"4,523,649","$1,037",1.18%,4.47%,-11.76%
FCN,582,Fantomcoin,"$692,823",$0.111923,"6,190,179",Low Vol,-0.12%,-8.77%,8.18%
WOMEN,466,WomenCoin,"$405,628",$0.016993,"23,870,835","$12,835",-0.12%,-9.03%,3.95%
BTU,954,Bitcoin Unlim...,?,$449.00,?,"$3,704",0.00%,5.65%,23.89%
FC2,610,FuelCoin,"$341,033",$0.003358,"101,567,516",Low Vol,-0.12%,-8.41%,-2.88%
RICHX,1044,RichCoin,?,$0.004950,?,Low Vol,-0.10%,-22.18%,-2.33%
JET,453,Jetcoin,"$512,752",$0.135438,"3,785,879",*,"$10,583",-1.71%,-70.56%
DFT,463,DraftCoin,"$438,614",$0.246661,"1,778,207",*,$695,-0.10%,-2.76%
XTZ,904,Tezos (Pre-La...,?,$1.97,?,"$453,355",3.12%,4.88%,?
DFS,930,DFSCoin,?,$0.024636,?,"$24,556",-16.87%,-22.84%,-30.63%
GARY,982,President Joh...,?,$0.123245,?,*,$865,18.07%,116.64%
LTC,5,Litecoin,"$2,774,231,584",$52.13,"53,219,707","$86,515,800",-0.08%,-2.49%,-0.08%
LTB,662,LiteBar,"$137,408",$0.183579,"748,493",Low Vol,4.17%,22.94%,-47.47%
UNITY,558,SuperNET,"$28,900,548",$35.41,"816,061",*,Low Vol,0.12%,-4.93%
AUR,255,Auroracoin,"$6,032,065",$0.696693,"8,658,139","$28,579",1.64%,-0.62%,15.65%
XTC,528,TileCoin,"$81,179",$0.000812,"100,000,000",*,"$1,085",-10.00%,-7.58%
HDLB,960,HODL Bucks,?,$0.284629,?,*,"$2,852",-0.12%,-17.59%
SPACE,748,SpaceCoin,"$64,860",$0.003273,"19,813,833",Low Vol,-0.10%,-17.51%,-27.09%
1ST,101,FirstBlood,"$36,998,348",$0.432434,"85,558,371",*,"$1,538,330",-0.68%,-3.39%
XTO,316,Tao,"$3,282,701",$0.107618,"30,503,273","$2,195",-0.10%,8.74%,1.85%
WEC,1031,Wowecoin,?,$0.116000,?,*,Low Vol,0.00%,0.00%
CAT,740,Catcoin,"$68,536",$0.011408,"6,007,950",Low Vol,-0.10%,-0.67%,-16.73%
611,769,SixEleven,"$48,313",$0.113747,"424,740",Low Vol,-0.10%,-2.20%,2.00%
QORA,996,Qora,?,$0.111839,?,*,Low Vol,1.60%,-10.56%
ALL,790,Allion,"$39,743",$0.006411,"6,199,359",Low Vol,?,-3.23%,9.87%
EDG,82,Edgeless,"$61,361,352",$0.747887,"82,046,288",*,"$1,502,320",-0.64%,4.53%
CTIC2,546,Coimatic 2.0,"$29,900",$0.003439,"8,693,750",$561,-0.07%,4.30%,100.73%
RLC,99,iExec RLC,"$39,991,240",$0.505765,"79,070,793",*,"$262,909",-1.88%,1.28%
EDR,216,E-Dinar Coin,"$8,944,094",$0.010093,"886,211,988","$614,514",0.65%,3.20%,-5.23%
LTCU,550,LiteCoin Ultra,"$14,939",$0.024671,"605,501",$706,0.36%,-2.75%,-7.77%
SH,869,Shilling,"$10,539",$0.002431,"4,334,350",*,Low Vol,-0.12%,-50.03%
SBD,315,Steem Dollars,"$3,305,170",$0.933074,"3,542,238",*,"$75,195",-1.08%,-0.12%
WAVES,18,Waves,"$476,403,000",$4.76,"100,000,000",*,"$6,878,330",0.67%,-3.64%
PUT,313,PutinCoin,"$3,320,205",$0.016545,"200,678,464","$3,609",0.32%,5.46%,-13.58%
