symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
MIU,1050,MIYUCoin,? ,$0.000047,?,Low Vol,0.18%,3.54%,10.37%
XBY,199,XTRABYTES,"$11,487,603 ",$0.027254,"421,500,000",*,"$118,729",-7.24%,6.85%
CPN,695,CompuCoin,"$72,087 ",$0.003675,"19,615,019",Low Vol,0.19%,-10.13%,-1.98%
CHEAP,1093,Cheapcoin,? ,$0.000092,?,*,Low Vol,?,?
BLAS,486,BlakeStar,"$145,468 ",$0.000589,"246,972,832","$2,750",-4.34%,-7.69%,60.84%
CPC,388,Capricoin,"$1,047,924 ",$0.526583,"1,990,045",*,"$14,895",-0.55%,1.89%
EOS,22,EOS,"$407,769,019 ",$1.28,"318,773,761",*,"$22,952,200",0.78%,3.11%
SIB,165,SIBCoin,"$18,214,415 ",$1.19,"15,341,555","$101,855",-3.44%,6.06%,0.58%
JWL,748,Jewels,"$40,211 ",$0.001992,"20,181,636",*,Low Vol,0.18%,?
XDE2,1082,XDE II,? ,$1.41,?,*,Low Vol,?,?
DLISK,788,DAPPSTER,"$23,720 ",$0.000237,"100,000,000",*,Low Vol,0.18%,-13.76%
EOT,874,EOT Token,? ,$2.37,?,*,"$84,920",1.28%,14.82%
ACES,954,Aces,? ,$0.000095,?,*,Low Vol,0.18%,3.47%
UNIFY,401,Unify,"$808,681 ",$0.046515,"17,385,378","$60,502",-3.25%,-0.91%,108.12%
GAIA,562,GAIA,"$661,679 ",$0.027454,"24,101,381",*,Low Vol,-1.84%,53.95%
XBC,224,Bitcoin Plus,"$8,033,749 ",$80.23,"100,131",*,"$171,886",-1.19%,-0.34%
XBB,338,Boolberry,"$2,354,694 ",$0.247018,"9,532,480","$70,871",-5.58%,6.31%,17.20%
MAVRO,1072,Mavro,? ,$0.006415,?,Low Vol,?,0.67%,-8.53%
LTH,995,LAthaan,? ,$0.000285,?,Low Vol,0.18%,-11.31%,?
MONA,130,MonaCoin,"$26,013,132 ",$0.485142,"53,619,625","$178,688",-0.36%,2.47%,15.40%
SPR,141,SpreadCoin,"$23,444,808 ",$2.70,"8,670,385","$127,941",-0.58%,-4.76%,35.40%
BLITZ,210,Blitzcash,"$10,403,018 ",$2.55,"4,084,292",*,"$7,753,170",0.33%,27.35%
OPES,1053,Opescoin,? ,$0.001233,?,Low Vol,0.19%,?,10.37%
TAG,352,TagCoin,"$2,153,063 ",$0.378482,"5,688,680","$78,996",-1.12%,2.59%,0.47%
LDOGE,359,LiteDoge,"$2,018,810 ",$0.000136,"14,834,156,002",*,"$17,919",10.39%,12.85%
EXL,962,Excelcoin,? ,$0.001944,?,Low Vol,-2.25%,-19.81%,43.49%
TAJ,767,TajCoin,"$31,415 ",$0.004544,"6,913,752",Low Vol,6.99%,12.08%,23.24%
VOYA,968,Voyacoin,? ,$1.90,?,Low Vol,-8.35%,-40.22%,-44.90%
CNT,263,Centurion,"$5,328,016 ",$0.200545,"26,567,684","$413,483",1.65%,8.17%,353.29%
PWR,841,Powercoin,"$2,371 ",$0.000047,"49,983,870",Low Vol,0.19%,3.47%,10.37%
XPM,220,Primecoin,"$8,591,311 ",$0.420031,"20,453,992","$578,637",-1.28%,-1.61%,16.86%
