symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,217,XTRABYTES,"$8,598,600",$0.020232,"425,000,000",*,"$54,858",1.43%,7.05%
CPN,818,CompuCoin,"$30,323",$0.001546,"19,615,019",Low Vol,0.32%,1.01%,-35.81%
CHEAP,1147,Cheapcoin,?,$0.000129,?,*,Low Vol,?,?
BLAS,452,BlakeStar,"$496,861",$0.002004,"247,875,390","$61,027",4.00%,25.40%,266.10%
CSNO,204,BitDice,"$10,999,800",$0.157140,"70,000,000",*,"$49,169",0.47%,-2.90%
EOS,27,EOS,"$230,025,654",$0.595151,"386,499,651",*,"$5,120,970",-1.65%,0.57%
SIB,158,SIBCoin,"$18,736,311",$1.20,"15,562,495","$73,022",0.35%,-0.81%,-7.24%
JWL,783,Jewels,"$43,678",$0.002164,"20,181,636",*,Low Vol,-0.01%,0.21%
XDE2,1101,XDE II,?,$1.46,?,*,Low Vol,0.39%,-11.48%
DLISK,846,DAPPSTER,"$17,169",$0.000172,"100,000,000",*,Low Vol,?,?
EOT,422,EOT Token,"$857,558",$0.343023,"2,500,000",*,"$7,214",4.59%,9.16%
ACES,993,Aces,?,$0.000319,?,*,$572,0.42%,65.00%
UNIFY,399,Unify,"$1,259,672",$0.071062,"17,726,282","$27,743",-1.97%,-3.71%,54.93%
GAIA,644,GAIA,"$216,735",$0.008993,"24,101,381",*,Low Vol,65.54%,-26.52%
XBC,256,Bitcoin Plus,"$6,115,836",$60.41,"101,236",*,"$14,680",0.43%,-2.42%
MAVRO,1134,Mavro,?,$0.005448,?,Low Vol,?,-1.79%,-11.83%
LTH,1106,LAthaan,?,$0.000341,?,Low Vol,0.42%,14.56%,15.89%
KRONE,557,Kronecoin,"$26,609",$0.012013,"2,215,000",$631,1.88%,-1.38%,-21.43%
MONA,129,MonaCoin,"$25,686,165",$0.472114,"54,406,700","$73,815",2.51%,6.30%,4.31%
CYDER,951,Cyder,?,$0.001236,?,*,"$6,745",9.18%,3.53%
SPR,150,SpreadCoin,"$19,942,388",$2.25,"8,866,909","$266,301",3.75%,2.75%,27.54%
BLITZ,278,Blitzcash,"$4,981,564",$1.22,"4,093,348",*,"$19,648",1.16%,0.42%
OPES,1105,Opescoin,?,$0.001193,?,Low Vol,0.39%,?,-6.21%
MANA,110,Decentraland,"$31,870,096",$0.014016,"2,273,755,650",*,"$230,626",-0.56%,0.21%
TAG,458,TagCoin,"$446,635",$0.077582,"5,756,965",$503,0.49%,45.86%,19.28%
LDOGE,439,LiteDoge,"$666,006",$0.000045,"14,856,792,005",*,$772,0.06%,-16.02%
EXL,1038,Excelcoin,?,$0.000256,?,Low Vol,0.39%,0.64%,-77.49%
TAJ,811,TajCoin,"$34,906",$0.004769,"7,319,893",Low Vol,0.36%,10.10%,8.07%
VOYA,987,Voyacoin,?,$2.58,?,$995,-7.48%,-4.13%,-40.05%
CPC,415,Capricoin,"$983,019",$0.493968,"1,990,045",*,"$37,055",-2.89%,-10.45%
XPM,323,Primecoin,"$2,970,196",$0.142482,"20,846,111","$539,855",1.15%,-2.18%,-3.38%
GP,745,GoldPieces,"$69,007",$0.056556,"1,220,161",*,Low Vol,-1.80%,2.58%
XPTX,499,PlatinumBAR,"$187,403",$0.596634,"314,100","$5,083",0.39%,-1.68%,-11.59%
IXC,578,Ixcoin,"$1,297,483",$0.061788,"20,999,088",*,Low Vol,0.14%,-8.15%
XPA,177,XPlay,"$14,611,400",$0.014611,"1,000,000,000",*,"$10,341",0.19%,-0.35%
MINEX,921,Minex,?,$0.088224,?,*,"$57,874",1.78%,?
CCRB,410,CryptoCarbon,"$1,128,922",$0.316925,"3,562,111",*,"$65,325",0.31%,-2.25%
NOBL,605,NobleCoin,"$479,928",$0.000208,"2,306,360,731",Low Vol,-0.54%,-11.34%,-12.44%
PRIMU,1058,Primulon,?,$0.000103,?,Low Vol,0.39%,-7.27%,-8.56%
XPY,658,PayCoin,"$175,370",$0.014856,"11,805,044",Low Vol,0.39%,-0.57%,7.85%
FEDS,1151,FedoraShare,?,$0.000008,?,*,?,?,?
