symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
MIU,995,MIYUCoin,? ,$0.000046,?,Low Vol,0.44%,6.89%,?
XBY,170,XTRABYTES,"$15,314,390 ",$0.023561,"650,000,000",*,"$68,279",-2.37%,3.09%
CPN,712,CompuCoin,"$61,578 ",$0.003139,"19,615,019",Low Vol,0.65%,0.81%,7.75%
CHEAP,1036,Cheapcoin,? ,$0.000092,?,*,Low Vol,0.44%,113.77%
BLAS,473,BlakeStar,"$160,914 ",$0.000653,"246,588,599","$2,964",3.62%,32.04%,42.52%
CPC,385,Capricoin,"$1,042,165 ",$0.523689,"1,990,045",*,"$80,158",-3.19%,-2.87%
EOS,21,EOS,"$421,874,232 ",$1.35,"313,658,807",*,"$18,980,200",0.05%,0.69%
SIB,162,SIBCoin,"$17,347,815 ",$1.13,"15,318,159","$73,518",0.45%,1.74%,9.99%
JWL,759,Jewels,"$38,138 ",$0.001890,"20,181,636",*,Low Vol,0.40%,-14.07%
XDE2,1049,XDE II,? ,$1.41,?,*,Low Vol,0.64%,?
DLISK,783,DAPPSTER,"$27,699 ",$0.000277,"100,000,000",*,Low Vol,0.64%,7.05%
EOT,859,EOT Token,? ,$2.75,?,*,"$363,294",-1.74%,128.10%
ACES,944,Aces,? ,$0.000092,?,*,Low Vol,0.65%,7.04%
UNIFY,423,Unify,"$496,984 ",$0.028586,"17,385,378","$13,937",9.71%,32.75%,70.65%
GAIA,586,GAIA,"$299,301 ",$0.012418,"24,101,381",*,Low Vol,0.62%,7.04%
XBC,215,Bitcoin Plus,"$8,149,129 ",$81.51,"99,981",*,"$694,456",-0.14%,-20.18%
XBB,330,Boolberry,"$2,423,890 ",$0.254277,"9,532,480","$63,311",-2.54%,7.30%,-2.23%
MAVRO,1031,Mavro,? ,$0.008587,?,Low Vol,0.62%,28.43%,-9.13%
LTH,1039,LAthaan,? ,$0.000369,?,Low Vol,0.65%,7.04%,16.16%
MONA,125,MonaCoin,"$26,779,438 ",$0.499930,"53,566,375","$145,753",3.93%,2.61%,19.84%
SPR,137,SpreadCoin,"$22,951,710 ",$2.65,"8,656,907","$188,464",4.12%,-8.42%,101.50%
BLITZ,249,Blitzcash,"$6,028,957 ",$1.48,"4,083,801",*,"$37,114",-0.26%,7.78%
OPES,1057,Opescoin,? ,$0.001339,?,Low Vol,0.65%,24.18%,?
TAG,342,TagCoin,"$2,162,789 ",$0.380596,"5,682,637","$24,967",-0.13%,1.38%,1.27%
LDOGE,371,LiteDoge,"$1,348,660 ",$0.000091,"14,832,611,002",*,"$7,642",0.78%,18.67%
EXL,951,Excelcoin,? ,$0.001798,?,Low Vol,3.08%,6.88%,-30.58%
TAJ,781,TajCoin,"$28,925 ",$0.004200,"6,886,531",Low Vol,-0.99%,4.57%,21.31%
SNAKE,950,SnakeEyes,? ,$0.046523,?,*,Low Vol,-18.49%,-3.69%
PWR,839,Powercoin,"$2,308 ",$0.000046,"49,983,870",Low Vol,0.60%,7.05%,16.16%
XPM,204,Primecoin,"$9,097,367 ",$0.445390,"20,425,620","$1,617,560",-1.23%,-1.70%,34.80%
GP,882,Goldpay Coin,? ,$0.004245,?,*,"$34,020",-1.03%,-1.85%
BTCS,619,Bitcoin Scrypt,"$172,339 ",$0.010583,"16,284,538",Low Vol,0.08%,-18.89%,16.39%
IXC,357,Ixcoin,"$1,840,322 ",$0.087638,"20,999,088",*,"$1,039",0.51%,5.83%
MTLMC3,772,Metal Music Coin,"$33,457 ",$0.000420,"79,719,140",Low Vol,0.40%,3.31%,26.69%
MINEX,978,Minex,? ,$0.120667,?,*,Low Vol,0.40%,27.23%
CCRB,358,CryptoCarbon,"$1,818,736 ",$0.510578,"3,562,111",*,"$21,532",0.48%,3.17%
NOBL,568,NobleCoin,"$532,653 ",$0.000231,"2,301,153,776",Low Vol,0.66%,0.30%,-5.85%
PRIMU,959,Primulon,? ,$0.000138,?,Low Vol,-9.39%,-0.48%,-26.90%
XPY,595,PayCoin,"$267,377 ",$0.022770,"11,742,495",**,Low Vol,-15.37%,-24.17%
FEDS,845,FedoraShare,? ,$0.000020,?,*,"$14,440,300",0.00%,8.82%
MIOTA,8,IOTA,"$2,316,263,191 ",$0.833329,"2,779,530,283",*,"$14,419,400",-1.41%,-3.65%
FID,858,BITFID,? ,$0.329087,?,*,"$463,155",-1.39%,6.71%
FIMK,372,FIMKrypto,"$1,331,871 ",$0.002308,"577,004,618",*,"$1,289",21.44%,40.85%
BYC,379,Bytecent,"$1,140,037 ",$0.651110,"1,750,912","$134,819",3.55%,7.60%,34.12%
