symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,234,XTRABYTES,"$8,189,556",$0.019247,"425,500,000",*,"$26,416",-0.10%,12.43%
CPN,784,CompuCoin,"$57,546",$0.002934,"19,615,019",Low Vol,6.83%,18.61%,123.42%
CHEAP,1107,Cheapcoin,?,$0.000173,?,*,Low Vol,0.14%,0.51%
BLAS,435,BlakeStar,"$883,685",$0.003638,"242,900,026","$72,863",-5.43%,21.23%,-13.57%
CSNO,206,BitDice,"$11,561,760",$0.165168,"70,000,000",*,"$44,274",0.22%,6.96%
CREVA,831,CrevaCoin,"$33,840",$0.000930,"36,390,750",Low Vol,-6.92%,-4.82%,4.19%
EOS,27,EOS,"$244,659,679",$0.605305,"404,192,397",*,"$6,448,400",0.44%,1.16%
SIB,138,SIBCoin,"$22,017,338",$1.41,"15,615,909","$56,168",-0.31%,-1.82%,5.42%
JWL,818,Jewels,"$39,494",$0.001957,"20,181,636",*,Low Vol,0.29%,-5.19%
XDE2,1089,XDE II,?,$2.89,?,*,Low Vol,0.14%,?
DLISK,854,DAPPSTER,"$22,491",$0.000225,"100,000,000",*,Low Vol,?,-2.70%
EOT,413,EOT Token,"$1,126,790",$0.450716,"2,500,000",*,"$45,076",0.11%,-24.32%
ACES,1056,Aces,?,$0.000121,?,*,Low Vol,0.14%,47.32%
UNIFY,390,Unify,"$1,644,138",$0.092707,"17,734,686",*,"$18,523",3.24%,12.50%
GAIA,650,GAIA,"$223,897",$0.009290,"24,101,381",*,Low Vol,-0.34%,?
XBC,288,Bitcoin Plus,"$4,811,140",$47.32,"101,666",*,"$34,001",-0.31%,-7.21%
MAVRO,1068,Mavro,?,$0.007079,?,Low Vol,0.14%,-5.35%,26.16%
LTH,1161,LAthaan,?,$0.000401,?,Low Vol,?,-0.81%,?
KRONE,554,Kronecoin,"$40,409",$0.016400,"2,463,906",$844,-0.05%,-6.52%,27.40%
MONA,28,MonaCoin,"$230,603,902",$4.22,"54,616,225","$73,265,300",-5.06%,-21.52%,487.73%
CYDER,1041,Cyder,?,$0.001036,?,*,Low Vol,0.14%,37.91%
SPR,305,SpreadCoin,"$4,203,845",$0.471409,"8,917,618","$691,013",-2.82%,-12.28%,-82.05%
BLITZ,293,Blitzcash,"$4,610,250",$1.13,"4,096,725",*,"$23,751",3.65%,19.09%
OPES,1141,Opescoin,?,$0.001620,?,Low Vol,?,?,?
MANA,85,Decentraland,"$51,715,208",$0.022744,"2,273,755,650",*,"$16,021,000",-4.55%,158.20%
TAG,618,TagCoin,"$429,863",$0.074465,"5,772,721",Low Vol,0.14%,-12.18%,15.93%
LDOGE,438,LiteDoge,"$855,692",$0.000058,"14,862,808,008",*,"$6,571",0.26%,-0.27%
EXL,1155,Excelcoin,?,$0.000171,?,Low Vol,?,-1.10%,136.67%
TAJ,824,TajCoin,"$36,791",$0.004939,"7,448,925",Low Vol,0.64%,-7.57%,5.13%
VOYA,1051,Voyacoin,?,$2.36,?,Low Vol,0.14%,-1.25%,-0.78%
BTCZ,974,BitcoinZ,?,$0.002533,?,"$3,826",-4.88%,-8.39%,?
CPC,419,Capricoin,"$1,054,740",$0.530008,"1,990,045",*,"$42,161",0.74%,-3.51%
PWR,906,Powercoin,"$2,877",$0.000058,"49,983,870",Low Vol,0.14%,-0.40%,32.35%
XPM,358,Primecoin,"$2,244,974",$0.107143,"20,953,066","$358,053",-1.61%,-10.98%,-25.94%
GP,704,GoldPieces,"$119,670",$0.098077,"1,220,161",*,Low Vol,-0.51%,-8.56%
XPTX,502,PlatinumBAR,"$263,059",$0.804151,"327,126","$1,772",0.14%,-12.10%,12.50%
IXC,579,Ixcoin,"$1,677,329",$0.079876,"20,999,088",*,Low Vol,0.14%,49.43%
XPA,148,XPlay,"$20,498,000",$0.020498,"1,000,000,000",*,"$3,469",0.14%,0.62%
CCRB,384,CryptoCarbon,"$1,718,341",$0.482394,"3,562,111",*,"$14,743",-0.44%,5.46%
NOBL,606,NobleCoin,"$545,654",$0.000236,"2,307,681,374",Low Vol,0.07%,-0.51%,8.74%
PRIMU,995,Primulon,?,$0.000227,?,"$1,095",-3.83%,-19.62%,-54.82%
XPY,774,PayCoin,"$67,964",$0.005756,"11,808,242",Low Vol,-76.64%,-70.88%,-74.38%
FEDS,1167,FedoraShare,?,$0.000008,?,*,?,?,?
MIOTA,11,IOTA,"$1,302,965,970",$0.468772,"2,779,530,283",*,"$12,936,500",4.00%,12.20%
FID,1042,BITFID,?,$0.115113,?,*,Low Vol,0.14%,-0.40%
FIMK,446,FIMKrypto,"$763,839",$0.001324,"577,004,618",*,$687,11.96%,-9.97%
BYC,430,Bytecent,"$962,465",$0.529463,"1,817,814","$85,689",1.23%,-8.47%,-9.87%
IXT,238,iXledger,"$7,676,100",$0.214543,"35,778,844",*,"$56,872",-19.13%,-4.48%
BTCD,58,BitcoinDark,"$110,116,390",$85.44,"1,288,862","$82,113",-1.50%,-2.18%,-1.26%
JNS,362,Janus,"$2,098,547",$0.092697,"22,638,905",*,$539,-8.22%,-5.12%
UNITS,748,GameUnits,"$79,980",$0.023029,"3,472,983",*,Low Vol,3.36%,-27.31%
SND,943,Sand Coin,?,$1.72,?,*,"$28,877",-4.27%,3.17%
MAR,776,Marijuanacoin,"$63,197",$0.047789,"1,322,418",Low Vol,-0.64%,32.89%,55.86%
SNC,327,SunContract,"$3,191,679",$0.029632,"107,712,011",*,"$211,127",-0.18%,-8.84%
XBL,454,Billionaire T...,"$708,329",$0.213650,"3,315,372",*,"$6,344",-0.37%,-5.71%
SNGLS,66,SingularDTV,"$88,914,000",$0.148190,"600,000,000",*,"$1,506,510",-0.32%,9.80%
MAX,445,MaxCoin,"$780,732",$0.012893,"60,556,165","$2,345",0.14%,-16.37%,0.13%
SNM,99,SONM,"$39,971,338",$0.111155,"359,600,000",*,"$732,751",-4.81%,-5.34%
SDP,889,SydPak,"$9,450",$0.059283,"159,400",*,Low Vol,0.14%,-0.30%
VTY,1140,Victoriouscoin,?,$0.000046,?,Low Vol,?,?,5.62%
SNT,68,Status,"$87,168,141",$0.025117,"3,470,483,788",*,"$931,071",0.19%,-0.09%
WGO,611,WavesGo,"$531,039",$0.053128,"9,995,510",*,Low Vol,0.28%,16.54%
MAD,719,SatoshiMadness,"$107,087",$0.000054,"2,000,683,485",*,Low Vol,?,?
AHT,587,Bowhead,"$1,116,752",$0.139594,"8,000,000",*,Low Vol,0.14%,-27.00%
WILD,981,Wild Crypto,?,$0.050099,?,*,"$2,382",-50.71%,-58.72%
AXF,1162,AxFunds,?,$0.068043,?,Low Vol,?,?,?
UGT,955,UG Token,?,$0.324552,?,*,"$17,686",0.14%,-1.37%
FFC,1081,FireFlyCoin,?,$0.000115,?,Low Vol,0.16%,99.21%,24.47%
MAO,406,Mao Zedong,"$1,255,426",$0.201966,"6,216,027","$1,254",-3.26%,-2.09%,42.06%
GAIN,1102,UGAIN,?,$0.000576,?,Low Vol,0.16%,-37.96%,-26.37%
GUC,976,GoldUnionCoin,?,$1.04,?,*,"$3,453",0.14%,-10.35%
MGM,884,Magnum,"$12,650",$0.003296,"3,838,060",Low Vol,?,-1.66%,12.05%
SHDW,612,Shadow Token,"$496,497",$0.070928,"7,000,000",*,Low Vol,-0.97%,3.30%
USDE,655,USDe,"$195,847",$0.000173,"1,134,229,639",Low Vol,0.14%,-22.60%,6.07%
DTB,218,Databits,"$10,318,633",$0.453610,"22,747,809",*,"$12,204",1.00%,1.34%
CME,1115,Cashme,?,$0.000115,?,Low Vol,0.14%,?,?
TSE,530,Tattoocoin (S...,"$100,445",$0.001111,"90,421,856",*,$650,0.13%,-3.03%
DUB,1113,Dubstep,?,$0.001439,?,*,Low Vol,0.28%,-0.40%
GUN,701,Guncoin,"$127,048",$0.000657,"193,379,728",Low Vol,-0.07%,0.69%,8.62%
EVX,128,Everex,"$25,027,530",$1.52,"16,500,000",*,"$769,426",-2.91%,10.80%
GUP,224,Matchpool,"$9,876,525",$0.131687,"75,000,000",*,"$305,879",-3.70%,-7.17%
PCN,996,PeepCoin,?,$0.000003,?,*,"$1,095",-7.06%,-85.35%
TYCHO,458,Tychocoin,"$689,996",$0.137330,"5,024,368","$25,440",-0.21%,-2.49%,-11.33%
NYC,482,NewYorkCoin,"$426,646",$0.000003,"129,032,781,759","$4,786",0.48%,-2.22%,-5.49%
CARBON,589,Carboncoin,"$885,910",$0.000058,"15,391,999,386",Low Vol,0.28%,?,32.35%
UNC,1114,UNCoin,?,$0.000058,?,*,Low Vol,0.16%,-0.42%
CMT,806,Comet,"$43,113",$0.049394,"872,830",Low Vol,-5.71%,-12.26%,12.25%
ORME,942,Ormeus Coin,?,$0.528869,?,*,"$31,619",0.60%,-6.60%
BET,1025,BetaCoin,?,$0.004295,?,Low Vol,-3.44%,-22.22%,-42.88%
CMP,126,Compcoin,"$25,540,154",$5.96,"4,287,390","$107,706",6.84%,0.72%,18.98%
MRNG,1017,MorningStar,?,$0.001036,?,*,Low Vol,-18.03%,25.19%
LKC,1163,LinkedCoin,?,$0.000226,?,Low Vol,?,?,72.95%
HUC,393,HunterCoin,"$1,524,153",$0.077701,"19,615,540","$16,079",3.14%,1.86%,-13.47%
LSK,17,Lisk,"$532,364,904",$4.69,"113,527,585",*,"$9,468,760",-0.70%,-1.79%
XBTS,863,Beatcoin,"$18,604",$0.012202,"1,524,686",Low Vol,0.16%,-1.87%,-19.13%
TTC,687,TittieCoin,"$140,443",$0.000111,"1,259,816,434",Low Vol,0.89%,-3.48%,28.21%
SPORT,1146,SportsCoin,?,$0.000887,?,*,Low Vol,?,?
VLT,623,Veltor,"$389,614",$0.702190,"554,855",Low Vol,0.08%,-4.24%,14.72%
BUMBA,773,BumbaCoin,"$68,082",$0.003050,"22,318,310",Low Vol,0.16%,-0.39%,22.92%
GRT,715,Grantcoin,"$110,360",$0.002590,"42,609,164",*,Low Vol,0.14%,-0.39%
GRS,244,Groestlcoin,"$7,515,686",$0.109578,"68,587,549","$78,524",1.07%,16.38%,1.41%
BLZ,849,BlazeCoin,"$23,883",$0.000039,"608,557,394",Low Vol,1.12%,7.48%,11.39%
BLU,333,BlueCoin,"$3,107,504",$0.005407,"574,683,675","$6,928",4.88%,19.43%,21.80%
PEPECASH,156,Pepe Cash,"$19,425,974",$0.027677,"701,884,009",*,"$549,618",-10.71%,31.78%
1337,403,1337,"$1,338,131",$0.000057,"23,271,965,570",*,"$13,393",0.31%,-10.53%
MARS,766,Marscoin,"$71,993",$0.002546,"28,279,074",Low Vol,0.20%,-9.23%,8.80%
DOLLAR,881,Dollar Online,"$13,449",$0.017843,"753,776",Low Vol,0.14%,-0.40%,6.02%
FLAX,714,Flaxscript,"$111,224",$0.019940,"5,577,914",Low Vol,0.12%,-3.42%,-17.12%
RUSTBITS,607,Rustbits,"$544,156",$0.015415,"35,300,866",*,Low Vol,?,9.46%
SC,52,Siacoin,"$125,713,863",$0.004177,"30,095,534,469","$1,755,320",1.15%,1.31%,-7.11%
FTC,253,Feathercoin,"$6,980,073",$0.039125,"178,403,960","$60,031",-1.09%,-3.82%,-1.80%
BLN,506,Bolenum,"$230,226",$0.023023,"10,000,000",*,"$2,738",0.28%,4.73%
GRC,173,GridCoin,"$14,879,112",$0.038121,"390,312,753","$786,024",-1.48%,29.64%,22.14%
BLK,179,BlackCoin,"$14,177,587",$0.185501,"76,428,631",*,"$229,578",0.67%,6.90%
WGR,223,Wagerr,"$9,978,185",$0.054526,"183,000,000",*,"$56,773",0.08%,16.98%
GRN,1022,Granite,?,$0.012835,?,Low Vol,0.16%,-5.07%,30.01%
SPRTS,186,Sprouts,"$13,213,175",$0.000017,"760,698,140,904",*,$522,0.54%,-68.59%
BLC,700,Blakecoin,"$127,104",$0.008405,"15,122,697",Low Vol,0.74%,-0.21%,-26.02%
DCRE,1070,DeltaCredits,?,$0.174396,?,*,Low Vol,0.14%,?
MG,969,Mind Gene,?,$0.012662,?,"$5,687",0.14%,-1.02%,13.31%
XCXT,507,CoinonatX,"$221,688",$0.016010,"13,847,126","$1,651",23.15%,-18.00%,-46.49%
TOP,1106,TopCoin,?,$0.000863,?,Low Vol,0.14%,-0.40%,?
CBD,1154,CBD Crystals,?,$0.001564,?,*,Low Vol,?,?
SHA,1149,SHACoin,?,$0.000844,?,Low Vol,?,-2.66%,21.26%
WORM,743,HealthyWormCoin,"$81,976",$0.000748,"109,559,116",Low Vol,0.14%,29.49%,15.56%
MARX,1006,MarxCoin,?,$0.002029,?,$658,35.16%,51.87%,66.08%
MXT,367,MarteXcoin,"$2,003,847",$0.724077,"2,767,450","$8,879",-0.99%,11.20%,-37.00%
TELL,1054,Tellurion,?,$0.000058,?,Low Vol,-49.93%,-15.70%,-33.92%
UNIT,718,Universal Cur...,"$107,511",$0.008241,"13,046,431",Low Vol,0.16%,-54.98%,-10.80%
RADS,192,Radium,"$12,930,432",$3.84,"3,366,292",*,"$195,271",3.14%,7.79%
KASHH,1118,KashhCoin,?,$0.000071,?,*,Low Vol,0.03%,?
RUPX,689,Rupaya,"$138,496",$0.023013,"6,018,212",Low Vol,-21.54%,-26.40%,-26.79%
IND,953,Indorse Token,?,$0.104007,?,*,"$19,073",-3.72%,-0.56%
EMC2,141,Einsteinium,"$21,478,030",$0.100017,"214,743,792","$2,593,920",-0.03%,13.38%,16.70%
CBX,580,Crypto Bullion,"$1,674,357",$1.67,"1,002,777",Low Vol,-0.15%,-9.51%,17.81%
OPAL,638,Opal,"$290,401",$0.019178,"15,142,258",*,Low Vol,1.50%,37.98%
GB,520,GoldBlocks,"$143,357",$0.009473,"15,133,903",$763,0.14%,12.69%,44.96%
REAL,245,REAL,"$7,440,993",$0.739969,"10,055,817",*,"$15,265",2.16%,15.06%
REX,351,REX,"$2,536,138",$0.292831,"8,660,756",*,"$1,580",2.65%,47.50%
DES,842,Destiny,"$26,706",$0.016691,"1,600,000",Low Vol,0.14%,-42.56%,-22.93%
CTR,81,Centra,"$63,084,008",$0.927706,"68,000,000",*,"$2,464,540",-1.34%,1.69%
FJC,440,FujiCoin,"$815,406",$0.000718,"1,136,030,560","$3,567",2.67%,-1.96%,25.74%
CRYPT,592,CryptCoin,"$780,649",$0.128869,"6,057,692",Low Vol,0.16%,?,48.88%
