symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
Mercury,361,MER,MER,"$2,475,560",$0.024756,"100,000,000",*,"$33,545",-22.61%
Scorecoin,529,SCORE,SCORE,"$290,445",$0.009571,"30,346,591","$2,100",-1.37%,-3.62%
LIFE,1025,LIFE,LIFE,?,$0.000110,?,*,"$12,186",-19.74%
Compcoin,210,CMP,CMP,"$10,394,377",$2.41,"4,308,050","$21,337",-1.20%,7.62%
Monetha,189,MTH,MTH,"$12,095,034",$0.055784,"216,819,832",*,"$505,575",1.45%
Cyder,1106,CYDER,CYDER,?,$0.000276,?,*,Low Vol,-1.24%
FedoraCoin,461,TIPS,TIPS,"$701,172",$0.000002,"443,168,182,458",$921,14.57%,2.62%
BitDice,186,CSNO,CSNO,"$12,453,000",$0.177900,"70,000,000",*,"$26,449",-1.13%
EOS,17,EOS,EOS,"$529,649,032",$1.19,"444,075,654",*,"$109,850,000",-2.93%
Bowhead,637,AHT,AHT,"$860,648",$0.107581,"8,000,000",*,Low Vol,-1.22%
Ethereum Gold,519,ETG,ETG,"$332,250",$0.027688,"12,000,000",*,"$40,657",-3.15%
DomRaider,988,DRT,DRT,?,$0.036952,?,*,"$113,084",0.04%
Populous,42,PPT,PPT,"$132,748,903",$3.22,"41,252,246",*,"$438,328",-1.68%
RouletteToken,486,RLT,RLT,"$514,873",$0.050863,"10,122,793",*,"$7,257",-1.33%
BlackCoin,163,BLK,BLK,"$15,904,475",$0.207995,"76,465,661",*,"$320,710",-0.06%
Monero,10,XMR,XMR,"$1,275,631,143",$83.37,"15,300,511","$50,439,700",-0.78%,-2.38%
Zilbercoin,1097,ZBC,ZBC,?,$0.041167,?,*,Low Vol,10.52%
BT1 [CST],968,BT1,BT1,?,$5829.22,?,*,"$1,372,990",-0.83%
Sativacoin,779,STV,STV,"$73,131",$0.010321,"7,085,415",Low Vol,-1.20%,8.17%
High Voltage,900,HVCO,HVCO,"$15,451",$0.010341,"1,494,171",*,Low Vol,-1.29%
ETHGAS,1028,EGAS,EGAS,?,$0.003867,?,*,"$11,140",-0.06%
LTBcoin,756,LTBC,LTBC,"$93,177",$0.000189,"493,863,915",*,Low Vol,?
Unobtanium,208,UNO,UNO,"$10,546,616",$53.31,"197,836","$15,930",-2.64%,-9.09%
CrevaCoin,601,CREVA,CREVA,"$40,126",$0.001103,"36,390,750","$4,826",21.59%,46.90%
AudioCoin,404,ADC,ADC,"$1,575,915",$0.001891,"833,266,300",$791,-1.17%,0.41%
MACRON,697,MCRN,MCRN,"$210,722",$0.000525,"401,421,401",*,Low Vol,0.64%
OctoCoin,765,888,888,"$83,164",$0.001662,"50,023,900",Low Vol,-0.82%,1.62%
Substratum,129,SUB,SUB,"$22,761,983",$0.100676,"226,091,449",*,"$417,455",0.66%
AdShares,633,ADST,ADST,"$1,500,483",$0.124491,"12,052,943",*,Low Vol,-1.24%
PlayerCoin,600,PLACO,PLACO,"$43,580",$0.001241,"35,120,000","$3,064",-3.03%,-4.22%
BriaCoin,432,BRIA,BRIA,"$982,537",$2.05,"478,414",*,"$49,381",16.85%
Aces,1206,ACES,ACES,?,$0.000069,?,*,Low Vol,-1.20%
Hedge,327,HDG,HDG,"$3,411,977",$0.919751,"3,709,674",*,"$64,725",-8.17%
