symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
Mercury,336,MER,MER,"$3,127,680",$0.031277,"100,000,000",*,"$12,665",3.45%
Scorecoin,500,SCORE,SCORE,"$277,108",$0.009131,"30,346,591",$926,-0.32%,0.18%
LIFE,1006,LIFE,LIFE,?,$0.000066,?,*,"$10,733",-2.06%
Compcoin,141,CMP,CMP,"$21,838,209",$5.08,"4,302,502","$210,803",5.33%,20.97%
Monetha,167,MTH,MTH,"$15,868,480",$0.073187,"216,819,832",*,"$270,320",-2.68%
Cyder,1105,CYDER,CYDER,?,$0.000286,?,*,Low Vol,-0.31%
ExchangeN,529,EXN,EXN,"$97,748",$0.019166,"5,100,000",*,"$4,463",20.75%
BitDice,148,CSNO,CSNO,"$18,781,210",$0.268303,"70,000,000",*,"$102,028",0.22%
EOS,26,EOS,EOS,"$231,848,436",$0.535482,"432,971,483",*,"$5,293,080",0.76%
Bowhead,598,AHT,AHT,"$706,556",$0.088319,"8,000,000",*,Low Vol,-0.24%
FUNCoin,699,FUNC,FUNC,"$140,700",$0.024057,"5,848,581",*,Low Vol,-0.28%
DomRaider,980,DRT,DRT,?,$0.041412,?,*,"$61,378",0.22%
Populous,41,PPT,PPT,"$151,193,607",$3.67,"41,252,246",*,"$186,841",1.01%
RouletteToken,478,RLT,RLT,"$476,290",$0.047052,"10,122,690",*,"$7,379",-0.33%
BlackCoin,188,BLK,BLK,"$13,638,926",$0.178390,"76,455,664",*,"$103,272",0.15%
Monero,10,XMR,XMR,"$1,319,306,548",$86.35,"15,278,275","$24,897,800",-0.26%,-1.03%
Zilbercoin,1039,ZBC,ZBC,?,$0.034251,?,*,$707,-1.24%
Sativacoin,771,STV,STV,"$66,349",$0.009364,"7,085,331",Low Vol,-0.28%,?
High Voltage,897,HVCO,HVCO,"$13,721",$0.009183,"1,494,171",*,Low Vol,?
Royalties,1214,XRY,XRY,?,$0.047937,?,Low Vol,?,?
LTBcoin,742,LTBC,LTBC,"$93,177",$0.000189,"493,863,915",*,Low Vol,?
Unobtanium,208,UNO,UNO,"$11,206,015",$56.64,"197,833","$14,201",-0.27%,-6.37%
CrevaCoin,549,CREVA,CREVA,"$18,704",$0.000514,"36,390,750",$584,-0.31%,-24.20%
AudioCoin,406,ADC,ADC,"$1,406,627",$0.001706,"824,614,493",$654,-0.37%,-10.23%
MACRON,741,MCRN,MCRN,"$94,133",$0.000234,"401,421,401",*,Low Vol,-26.54%
020LondonCoin,746,020,020,"$88,140",$5.6e-07,"156,618,140,248",Low Vol,?,?
OctoCoin,756,888,888,"$79,977",$0.001599,"50,013,500",Low Vol,-0.28%,-1.43%
Substratum,114,SUB,SUB,"$28,986,959",$0.128209,"226,091,449",*,"$331,032",0.96%
AdShares,399,ADST,ADST,"$1,556,398",$0.127132,"12,242,379",*,"$2,968",-12.90%
MikeTheMug,937,MUG,MUG,"$1,263",$0.001263,"1,000,000",*,Low Vol,-0.29%
BriaCoin,448,BRIA,BRIA,"$808,594",$1.76,"460,703",*,"$17,117",-0.01%
Aces,1133,ACES,ACES,?,$0.000163,?,*,Low Vol,-0.31%
Hedge,294,HDG,HDG,"$4,673,485",$1.26,"3,709,674",*,"$119,307",7.54%
Deutsche eMark,504,DEM,DEM,"$256,602",$0.009232,"27,793,416",$570,-0.56%,-6.86%
KushCoin,723,KUSH,KUSH,"$111,643",$0.020502,"5,445,524",Low Vol,-0.31%,-12.84%
PoSToken,444,POS,POS,"$838,499",$1.45,"578,962",*,"$7,948",7.81%
Darcrus,575,DAR,DAR,"$1,479,423",$0.108778,"13,600,388",*,Low Vol,-0.10%
EarthCoin,597,EAC,EAC,"$717,932",$0.000063,"11,467,241,518",Low Vol,-1.94%,-1.63%
Bismuth,395,BIS,BIS,"$1,642,458",$0.336117,"4,886,565","$23,693",-0.77%,-5.15%
Po.et,211,POE,POE,"$10,829,160",$0.005069,"2,136,283,004",*,"$53,841",-1.87%
Peacecoin,1107,PEC,PEC,?,$0.001656,?,*,Low Vol,-50.14%
Renos,418,RNS,RNS,"$1,292,638",$0.038753,"33,356,077",*,"$1,913",-0.31%
Golfcoin,1200,GOLF,GOLF,?,$0.000055,?,Low Vol,?,?
Ethereum,2,ETH,ETH,"$28,434,473,261",$298.13,"95,376,408","$257,178,000",0.37%,0.97%
HOdlcoin,685,HODL,HODL,"$163,226",$0.001142,"142,911,405",Low Vol,-0.35%,24.12%
Spots,796,SPT,SPT,"$52,333",$0.002336,"22,406,021",Low Vol,-0.16%,-0.79%
Obsidian,255,ODN,ODN,"$6,847,226",$0.280624,"24,400,000",*,"$41,498",-0.72%
Tattoocoin (L...,1164,TLE,TLE,?,$0.163956,?,*,Low Vol,-0.31%
LinkedCoin,1103,LKC,LKC,?,$0.000171,?,Low Vol,-0.31%,49.23%
SIGMAcoin,1031,SIGMA,SIGMA,?,$0.050285,?,*,"$2,079",0.22%
GBCGoldCoin,854,GBC,GBC,"$30,756",$0.002707,"11,361,817",Low Vol,0.00%,-8.87%
SOILcoin,838,SOIL,SOIL,"$35,077",$0.006152,"5,702,048",Low Vol,-2.67%,-4.67%
Dollarcoin,716,DLC,DLC,"$119,322",$0.013103,"9,106,714",Low Vol,?,-0.06%
Abncoin,940,ABN,ABN,$491,$0.007253,"67,700",Low Vol,-0.28%,1.68%
AMIS,1208,AMIS,AMIS,?,$0.023554,?,*,Low Vol,?
ZClassic,332,ZCL,ZCL,"$3,244,573",$1.79,"1,809,800","$82,970",-0.57%,2.76%
BTCGold,1220,XBG,XBG,?,$0.002859,?,?,?,?
Crave,363,CRAVE,CRAVE,"$2,509,534",$1.78,"1,410,873",*,"$3,656",-2.95%
YashCoin,568,YASH,YASH,"$3,141,565",$0.314149,"10,000,239",*,Low Vol,-0.35%
MustangCoin,769,MST,MST,"$66,704",$0.105821,"630,343",Low Vol,-0.31%,19.68%
WayGuide,676,WAY,WAY,"$178,224",$0.001782,"100,040,708",*,Low Vol,?
Operand,1077,OP,OP,?,$0.000857,?,*,Low Vol,6.85%
Tao,307,XTO,XTO,"$4,080,267",$0.125183,"32,594,420","$3,747",-3.18%,-13.32%
Antimatter,1151,ANTX,ANTX,?,$0.000016,?,Low Vol,0.32%,-23.22%
Quantum Resis...,104,QRL,QRL,"$38,313,340",$0.736795,"52,000,000",*,"$254,483",-0.80%
InvisibleCoin,1131,IVZ,IVZ,?,$0.209585,?,*,Low Vol,-0.35%
Impact,901,IMX,IMX,"$12,624",$0.000115,"109,508,940",Low Vol,?,-1.29%
Ethereum Gold,953,ETG,ETG,?,$0.062573,?,*,"$377,082",-1.08%
netBit,1143,NBIT,NBIT,?,$0.029068,?,*,Low Vol,-0.31%
Pluton,253,PLU,PLU,"$7,054,783",$8.30,"850,000",*,"$170,801",-0.19%
Kurrent,794,KURT,KURT,"$53,376",$0.005381,"9,919,485",Low Vol,-33.94%,-6.23%
Phoenixcoin,509,PXC,PXC,"$210,560",$0.003424,"61,486,610",$642,10.92%,13.13%
Jinn,563,JINN,JINN,"$8,810,088",$150.08,"58,703",*,?,?
Blackstar,830,BSTAR,BSTAR,"$36,800",$0.000058,"630,795,971",*,Low Vol,?
IrishCoin,1088,IRL,IRL,?,$0.001542,?,Low Vol,18.49%,34.07%
Tyrocoin,1023,TYC,TYC,?,$0.071042,?,"$3,272",-0.31%,-43.38%
BritCoin,628,BRIT,BRIT,"$389,717",$0.018324,"21,268,092",Low Vol,-0.56%,-10.79%
Opus,372,OPT,OPT,"$2,364,658",$0.016881,"140,080,549",*,"$10,879",-22.90%
Bitradio,402,BRO,BRO,"$1,505,944",$0.260251,"5,786,508",*,$924,-0.13%
Helleniccoin,355,HNC,HNC,"$2,667,967",$0.042031,"63,475,879","$29,367",-0.49%,30.77%
Bitcoin Silver,1002,BTCS,BTCS,?,$0.089196,?,*,"$13,624",22.86%
BuzzCoin,991,BUZZ,BUZZ,?,$0.000371,?,"$22,683",-18.11%,7.06%
bitGold,523,BITGOLD,BITGOLD,"$117,349",$1304.32,89.9694,*,"$2,199",-0.15%
FireFlyCoin,1111,FFC,FFC,?,$0.000091,?,Low Vol,37.07%,54.91%
GAIA,631,GAIA,GAIA,"$371,622",$0.015419,"24,101,381",*,Low Vol,-0.28%
DigitalDevelo...,480,DDF,DDF,"$452,068",$0.088324,"5,118,307",*,"$2,628",0.24%
Regalcoin,943,REC,REC,?,$88.31,?,"$12,795,300",-1.31%,24.75%
DraftCoin,450,DFT,DFT,"$778,779",$0.410095,"1,899,021",*,"$256,523",-0.11%
Terracoin,291,TRC,TRC,"$4,788,215",$0.223954,"21,380,350","$17,672",4.23%,25.99%
BeaverCoin,824,BVC,BVC,"$40,206",$0.012906,"3,115,258",Low Vol,9.37%,-15.61%
Bitcrystals,244,BCY,BCY,"$7,730,568",$0.332740,"23,233,059",*,"$1,907,920",2.05%
808Coin,442,808,808,"$883,624",$0.000970,"910,624,824","$13,697",5.89%,-1.29%
Frazcoin,895,FRAZ,FRAZ,"$14,748",$0.001713,"8,608,572",Low Vol,-0.35%,2.77%
PinkCoin,260,PINK,PINK,"$6,557,798",$0.017960,"365,127,400","$31,481",-0.48%,-1.96%
Skeincoin,1140,SKC,SKC,?,$0.001713,?,Low Vol,-19.17%,2.72%
GoldBlocks,751,GB,GB,"$81,969",$0.005918,"13,850,208",Low Vol,-12.88%,-17.35%
EuropeCoin,321,ERC,ERC,"$3,743,563",$0.376739,"9,936,754","$7,542",0.50%,-3.33%
BigUp,712,BIGUP,BIGUP,"$121,548",$0.000058,"2,099,070,164",Low Vol,-0.50%,?
Enigma,929,XNG,XNG,"$3,569",$0.214668,"16,627",Low Vol,0.17%,55.27%
RonPaulCoin,780,RPC,RPC,"$61,059",$0.068926,"885,869",Low Vol,-8.68%,0.12%
Swapcoin,1020,SWP,SWP,?,$0.198183,?,*,"$3,948",0.22%
Einsteinium,177,EMC2,EMC2,"$14,189,301",$0.065889,"215,352,244","$326,688",-1.22%,-5.61%
vSlice,258,VSL,VSL,"$6,586,609",$0.197260,"33,390,496",*,"$218,930",0.03%
Lampix,261,PIX,PIX,"$6,446,391",$0.056886,"113,322,017",*,"$20,061",1.35%
Emercoin,142,EMC,EMC,"$21,627,681",$0.528880,"40,893,362","$125,076",-0.92%,-5.90%
I/O Coin,82,IOC,IOC,"$57,846,108",$3.53,"16,375,912",*,"$245,870",-2.36%
Litecoin,5,LTC,LTC,"$2,937,485,635",$54.83,"53,575,107","$69,787,000",0.11%,-1.01%
CasinoCoin,228,CSC,CSC,"$9,174,653",$0.237678,"38,601,187","$3,165",-0.20%,-8.29%
Gold Pressed ...,877,GPL,GPL,"$22,590",$0.091486,"246,926",Low Vol,-0.31%,-0.83%
Machinecoin,609,MAC,MAC,"$523,291",$0.026052,"20,086,400",Low Vol,-0.12%,2.79%
Cryptonite,617,XCN,XCN,"$437,280",$0.001199,"364,624,695",Low Vol,-0.28%,?
Bitcurrency,708,BTCR,BTCR,"$125,399",$0.000739,"169,598,616",*,Low Vol,-0.31%
1337,558,1337,1337,"$1,849",$0.000048,"38,427,775",*,"$5,397",5.58%
BitcoinZ,361,BTCZ,BTCZ,"$2,535,216",$0.007240,"350,150,045","$115,113",-1.42%,-31.41%
iEthereum,990,IETH,IETH,?,$0.008830,?,*,"$27,457",11.56%
Crypto,825,CTO,CTO,"$40,160",$0.003426,"11,720,456",Low Vol,-0.28%,-34.20%
SkinCoin,421,SKIN,SKIN,"$1,221,350",$0.013850,"88,183,483",*,"$43,008",-3.64%
AquariusCoin,790,ARCO,ARCO,"$56,773",$0.039549,"1,435,533",*,Low Vol,-0.29%
WomenCoin,476,WOMEN,WOMEN,"$482,608",$0.010914,"44,220,400","$4,165",-11.47%,-34.38%
Clinton,1192,CLINT,CLINT,?,$0.008215,?,*,Low Vol,?
Chronobank,176,TIME,TIME,"$14,295,849",$20.13,"710,113",*,"$572,726",-0.83%
Ripto Bux,693,RBX,RBX,"$148,293",$0.000389,"381,236,123",*,Low Vol,-0.29%
FujiCoin,479,FJC,FJC,"$462,225",$0.000400,"1,155,054,450","$2,111",-0.63%,-14.83%
Gapcoin,755,GAP,GAP,"$80,268",$0.006796,"11,811,385",Low Vol,2.30%,-11.14%
Capricoin,449,CPC,CPC,"$797,823",$0.400907,"1,990,045",*,"$12,995",-1.33%
I0Coin,652,I0C,I0C,"$259,272",$0.012356,"20,983,483",Low Vol,-0.35%,-2.00%
Bolivarcoin,518,BOLI,BOLI,"$152,754",$0.019067,"8,011,325",$644,-0.32%,-4.45%
Dutch Coin,1034,DUTCH,DUTCH,?,$0.000571,?,"$1,346",-0.31%,-22.95%
Nuls,1018,NULS,NULS,?,$0.095427,?,*,"$5,173",-0.31%
Karmacoin,1182,KARMA,KARMA,?,$0.000058,?,Low Vol,?,?
Paccoin,1012,PAC,PAC,?,$3.9e-07,?,"$8,115",-3.70%,20.59%
bitEUR,536,BITEUR,BITEUR,"$67,510",$1.17,"57,860",*,"$2,439",-0.08%
Ammo Rewards,541,AMMO,AMMO,"$48,859",$0.000628,"77,777,777",*,$791,-0.31%
DNotes,300,NOTE,NOTE,"$4,410,545",$0.034343,"128,427,433","$24,461",-0.65%,-3.30%
Jewels,814,JWL,JWL,"$44,303",$0.002195,"20,181,636",*,Low Vol,?
