symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
Mercury,341,MER,MER,"$3,126,870",$0.031269,"100,000,000",*,"$12,523",-3.08%
Scorecoin,522,SCORE,SCORE,"$326,293",$0.010752,"30,346,591","$1,780",0.59%,-3.94%
LIFE,1009,LIFE,LIFE,?,$0.000074,?,*,"$19,152",-44.97%
Compcoin,215,CMP,CMP,"$10,340,161",$2.40,"4,306,014","$265,049",9.56%,-16.06%
Monetha,185,MTH,MTH,"$13,892,622",$0.064075,"216,819,832",*,"$425,170",-6.95%
Cyder,1142,CYDER,CYDER,?,$0.000255,?,*,Low Vol,0.59%
FedoraCoin,451,TIPS,TIPS,"$822,024",$0.000002,"443,168,182,458","$1,118",18.73%,-68.25%
Save and Gain,902,SANDG,SANDG,"$13,962",$0.004556,"3,064,800",Low Vol,?,?
BitDice,186,CSNO,CSNO,"$13,874,210",$0.198203,"70,000,000",*,"$22,350",0.56%
EOS,23,EOS,EOS,"$321,079,425",$0.729718,"440,004,804",*,"$14,793,700",2.79%
Bowhead,624,AHT,AHT,"$1,011,448",$0.126431,"8,000,000",*,Low Vol,0.47%
Ethereum Gold,488,ETG,ETG,"$529,382",$0.044115,"12,000,000",*,"$75,075",7.30%
DomRaider,990,DRT,DRT,?,$0.039765,?,*,"$74,904",-0.08%
Populous,41,PPT,PPT,"$151,357,378",$3.67,"41,252,246",*,"$349,223",4.53%
RouletteToken,497,RLT,RLT,"$484,007",$0.047814,"10,122,764",*,"$7,294",-0.84%
BlackCoin,166,BLK,BLK,"$15,563,379",$0.203544,"76,461,986",*,"$252,826",0.93%
Monero,10,XMR,XMR,"$1,350,002,919",$88.28,"15,292,545","$27,205,400",-0.55%,-0.40%
Zilbercoin,1047,ZBC,ZBC,?,$0.031599,?,*,"$2,274",-1.28%
BT1 [CST],962,BT1,BT1,?,$5387.36,?,*,"$616,710",0.16%
Sativacoin,765,STV,STV,"$78,291",$0.011050,"7,085,385",Low Vol,0.53%,5.72%
High Voltage,898,HVCO,HVCO,"$15,666",$0.010485,"1,494,171",*,Low Vol,?
Royalties,1230,XRY,XRY,?,$0.047937,?,Low Vol,?,?
LTBcoin,751,LTBC,LTBC,"$93,177",$0.000189,"493,863,915",*,Low Vol,?
Unobtanium,206,UNO,UNO,"$11,649,697",$58.89,"197,835","$29,346",-1.14%,4.55%
CrevaCoin,884,CREVA,CREVA,"$20,880",$0.000574,"36,390,750",Low Vol,0.55%,4.49%
AudioCoin,383,ADC,ADC,"$1,949,420",$0.002340,"832,960,981","$5,126",0.60%,16.19%
MACRON,741,MCRN,MCRN,"$107,960",$0.000269,"401,421,401",*,Low Vol,6.15%
OctoCoin,753,888,888,"$89,774",$0.001795,"50,023,900",Low Vol,0.55%,-3.40%
Substratum,120,SUB,SUB,"$28,424,669",$0.125722,"226,091,449",*,"$419,972",-0.05%
AdShares,407,ADST,ADST,"$1,505,019",$0.124751,"12,064,180",*,"$3,189",0.59%
PlayerCoin,587,PLACO,PLACO,"$44,779",$0.001275,"35,120,000","$3,952",0.59%,-14.30%
BriaCoin,484,BRIA,BRIA,"$535,549",$1.14,"471,837",*,"$1,956",2.71%
Aces,1120,ACES,ACES,?,$0.000064,?,*,Low Vol,0.55%
Hedge,303,HDG,HDG,"$4,363,950",$1.18,"3,709,674",*,"$99,205",0.49%
Deutsche eMark,533,DEM,DEM,"$281,770",$0.010138,"27,793,416","$5,609",0.54%,10.18%
KushCoin,714,KUSH,KUSH,"$136,159",$0.025004,"5,445,524",Low Vol,1.12%,11.54%
PoSToken,489,POS,POS,"$526,999",$0.910249,"578,962",*,"$7,246",-0.28%
Darcrus,421,DAR,DAR,"$1,311,921",$0.096462,"13,600,388",*,"$3,011",-2.49%
EarthCoin,461,EAC,EAC,"$725,283",$0.000063,"11,468,904,927",$904,0.56%,3.54%
Bismuth,374,BIS,BIS,"$2,178,128",$0.445738,"4,886,565","$16,818",-1.61%,17.25%
Po.et,212,POE,POE,"$10,493,764",$0.004912,"2,136,283,004",*,"$28,035",-7.79%
Peacecoin,1082,PEC,PEC,?,$0.003443,?,*,Low Vol,0.59%
Renos,412,RNS,RNS,"$1,414,314",$0.042401,"33,356,077",*,"$4,838",0.59%
Golfcoin,1161,GOLF,GOLF,?,$0.000064,?,Low Vol,0.53%,4.49%
DigitalDevelo...,652,DDF,DDF,"$482,127",$0.094197,"5,118,307",*,Low Vol,0.36%
Ethereum,2,ETH,ETH,"$29,330,348,342",$307.31,"95,442,840","$351,099,000",-0.02%,0.31%
HOdlcoin,542,HODL,HODL,"$211,175",$0.001466,"144,019,765",$505,-6.42%,9.25%
Spots,805,SPT,SPT,"$53,020",$0.002366,"22,406,021",Low Vol,0.54%,0.77%
Obsidian,261,ODN,ODN,"$6,606,764",$0.270769,"24,400,000",*,"$63,399",-7.30%
Tattoocoin (L...,1226,TLE,TLE,?,$0.044345,?,*,Low Vol,?
KashhCoin,1141,KASHH,KASHH,?,$0.000014,?,*,Low Vol,1.68%
LinkedCoin,1191,LKC,LKC,?,$0.000128,?,Low Vol,0.59%,4.50%
SIGMAcoin,1007,SIGMA,SIGMA,?,$0.055092,?,*,"$22,436",12.46%
GBCGoldCoin,851,GBC,GBC,"$31,028",$0.002731,"11,361,817",Low Vol,0.00%,-8.63%
SOILcoin,809,SOIL,SOIL,"$50,892",$0.008925,"5,702,048",Low Vol,0.59%,36.62%
Dollarcoin,735,DLC,DLC,"$117,274",$0.012878,"9,106,714",Low Vol,-2.62%,0.52%
Abncoin,948,ABN,ABN,$597,$0.008824,"67,700",Low Vol,0.14%,3.31%
AMIS,1143,AMIS,AMIS,?,$3.98,?,*,Low Vol,-0.04%
ZClassic,337,ZCL,ZCL,"$3,250,111",$1.80,"1,809,800","$93,595",-1.42%,-5.72%
Flash,1037,FLASH,FLASH,?,$0.005610,?,*,"$2,937",0.59%
BTCGold,1236,XBG,XBG,?,$0.002859,?,?,?,?
