symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,166,XTRABYTES,"$14,884,415 ",$0.022899,"650,000,000",*,"$48,236",1.99%,3.92%
CPN,697,CompuCoin,"$67,525 ",$0.003443,"19,615,019",Low Vol,1.08%,-11.94%,9.23%
CHEAP,1035,Cheapcoin,? ,$0.000043,?,*,Low Vol,-0.14%,3.66%
BLAS,490,BlakeStar,"$88,701 ",$0.000361,"245,872,679","$1,644",-8.23%,-7.52%,-66.58%
CPC,377,Capricoin,"$977,001 ",$0.490944,"1,990,045",*,"$15,278",-1.98%,-0.08%
CREVA,707,CrevaCoin,"$61,454 ",$0.001689,"36,390,750",Low Vol,-1.40%,3.43%,22.91%
EOS,18,EOS,"$416,257,670 ",$1.36,"305,028,886",*,"$19,726,900",0.23%,0.34%
SIB,141,SIBCoin,"$19,072,860 ",$1.25,"15,284,455","$135,489",4.71%,15.87%,13.83%
JWL,760,Jewels,"$33,172 ",$0.001644,"20,181,636",*,Low Vol,-0.03%,-21.15%
GAIN,1045,UGAIN,? ,$0.000669,?,Low Vol,?,?,-2.91%
DLISK,788,DAPPSTER,"$21,622 ",$0.000216,"100,000,000",*,Low Vol,-0.06%,3.76%
MONETA,1007,Moneta,? ,$0.000303,?,Low Vol,0.02%,3.76%,-7.67%
ACES,1003,Aces,? ,$0.000090,?,*,Low Vol,-0.01%,29.32%
UNIFY,438,Unify,"$347,443 ",$0.020041,"17,336,628","$8,739",0.28%,-10.55%,16.74%
GAIA,586,GAIA,"$253,036 ",$0.010499,"24,101,381",*,Low Vol,?,0.73%
XBC,207,Bitcoin Plus,"$7,559,424 ",$75.69,"99,870",*,"$113,437",0.01%,-2.85%
XBB,327,Boolberry,"$2,088,023 ",$0.219043,"9,532,480","$214,261",-0.02%,5.63%,-61.12%
MAVRO,1040,Mavro,? ,$0.007051,?,Low Vol,-0.02%,?,-14.82%
LTH,1076,LAthaan,? ,$0.000328,?,Low Vol,?,?,9.33%
MONA,128,MonaCoin,"$23,050,211 ",$0.431114,"53,466,625","$175,742",-2.96%,4.16%,11.59%
SPR,154,SpreadCoin,"$16,278,886 ",$1.89,"8,631,663","$119,159",-0.09%,12.81%,36.58%
BLITZ,242,Blitzcash,"$5,767,911 ",$1.41,"4,082,870",*,"$48,973",0.73%,9.35%
OPES,1009,Opescoin,? ,$0.001125,?,Low Vol,-0.03%,?,-34.21%
TAG,326,TagCoin,"$2,099,108 ",$0.370197,"5,670,245","$21,236",0.78%,-1.07%,-3.87%
LDOGE,389,LiteDoge,"$781,459 ",$0.000053,"14,829,735,502",*,"$2,853",-0.55%,-25.36%
EXL,900,Excelcoin,? ,$0.001426,?,"$3,218",-0.16%,-13.40%,-64.45%
TAJ,778,TajCoin,"$25,570 ",$0.003728,"6,858,707",Low Vol,-0.03%,-2.46%,-32.80%
VOYA,868,Voyacoin,? ,$3.54,?,"$83,971",0.01%,17.44%,146.16%
XPM,214,Primecoin,"$7,288,197 ",$0.357773,"20,371,008","$809,165",-0.29%,2.84%,9.95%
GP,883,Goldpay Coin,? ,$0.004486,?,*,"$20,309",-0.19%,0.21%
BTCS,596,Bitcoin Scrypt,"$206,461 ",$0.012679,"16,284,325",Low Vol,-0.01%,-1.26%,103.40%
IXC,325,Ixcoin,"$2,114,818 ",$0.100710,"20,999,088",*,"$1,118",0.55%,-8.04%
MTLMC3,738,Metal Music Coin,"$41,379 ",$0.000519,"79,719,140",Low Vol,19.99%,12.77%,11.53%
CCRB,342,CryptoCarbon,"$1,855,899 ",$0.521011,"3,562,111",*,"$48,048",0.01%,3.83%
NOBL,552,NobleCoin,"$601,015 ",$0.000261,"2,300,578,773",Low Vol,-0.02%,3.77%,9.18%
PRIMU,953,Primulon,? ,$0.000241,?,Low Vol,5.79%,11.84%,11.75%
XPY,577,PayCoin,"$311,754 ",$0.026555,"11,740,080",**,Low Vol,0.02%,-25.06%
FEDS,906,FedoraShare,? ,$0.000021,?,*,"$1,966",-0.03%,6.58%
MIOTA,6,IOTA,"$2,384,653,534 ",$0.857934,"2,779,530,283",*,"$14,588,700",1.65%,0.71%
FIMK,406,FIMKrypto,"$599,000 ",$0.001038,"577,004,618",*,$862,-8.23%,5.28%
BYC,374,Bytecent,"$1,041,094 ",$0.596919,"1,744,113","$15,698",-0.01%,11.81%,12.26%
IXT,147,InsureX,"$18,006,347 ",$0.503268,"35,778,844",*,"$294,061",-2.05%,4.20%
BTCD,66,BitcoinDark,"$76,104,863 ",$59.05,"1,288,862","$91,142",0.13%,5.20%,1.61%
JNS,314,Janus,"$2,403,426 ",$0.113620,"21,153,198",*,"$1,095",-1.49%,2.35%
UNITS,637,GameUnits,"$136,704 ",$0.039362,"3,472,983",*,Low Vol,-0.03%,-38.15%
MAR,700,Marijuanacoin,"$66,132 ",$0.058411,"1,132,171",Low Vol,0.35%,5.28%,24.70%
SNC,215,SunContract,"$7,232,626 ",$0.073678,"98,166,002",*,"$480,824",-1.25%,1.09%
SNGLS,64,SingularDTV,"$81,109,800 ",$0.135183,"600,000,000",*,"$616,197",-1.40%,-1.66%
MAX,264,MaxCoin,"$4,311,977 ",$0.071861,"60,004,413","$293,246",-0.76%,-0.83%,-1.58%
SNM,124,SONM,"$23,625,604 ",$0.071299,"331,360,000",*,"$286,088",-0.46%,5.53%
SDP,819,SydPak,"$8,134 ",$0.051134,"159,075",*,Low Vol,?,0.31%
TP1,1056,KolschCoin,? ,$0.038781,?,Low Vol,?,4.66%,-4.43%
SNT,43,Status,"$180,804,570 ",$0.052098,"3,470,483,788",*,"$8,660,140",-0.25%,2.45%
WGO,402,WavesGo,"$651,175 ",$0.065137,"9,996,949",*,"$3,082",0.32%,-7.33%
MAD,671,SatoshiMadness,"$86,428 ",$0.000043,"2,000,683,485",*,Low Vol,-0.15%,3.66%
LAZ,944,Lazaruscoin,? ,$0.002422,?,*,Low Vol,-0.03%,26.31%
AXF,886,AxFunds,? ,$0.068430,?,"$16,102",-0.54%,-0.10%,-3.19%
FEI,889,Fuda Energy,? ,$0.017705,?,"$12,104",-0.04%,-1.71%,-4.39%
FFC,975,FireFlyCoin,? ,$0.000128,?,Low Vol,-0.02%,13.70%,43.06%
MAO,476,Mao Zedong,"$110,825 ",$0.021297,"5,203,745","$1,360",-0.57%,50.38%,27.67%
XDE2,1073,XDE II,? ,$2.52,?,*,Low Vol,?,1.84%
GUC,1069,GoldUnionCoin,? ,$0.843777,?,*,Low Vol,?,?
MGM,806,Magnum,"$14,594 ",$0.003893,"3,748,760",Low Vol,-0.02%,133.45%,117.11%
SHDW,548,Shadow Token,"$698,359 ",$0.099766,"7,000,000",*,Low Vol,-0.68%,9.74%
EVO,714,Evotion,"$57,734 ",$0.023381,"2,469,220",Low Vol,0.01%,-9.48%,-8.00%
DTB,137,Databits,"$20,367,910 ",$0.895379,"22,747,809",*,"$62,975",1.29%,-0.78%
CME,969,Cashme,? ,$0.000087,?,**,Low Vol,-0.03%,?
TSE,661,Tattoocoin (S...,"$92,178 ",$0.001019,"90,421,856",*,Low Vol,0.01%,28.77%
GUN,687,Guncoin,"$73,567 ",$0.000389,"189,246,628",Low Vol,-0.02%,3.57%,-23.99%
GUP,146,Matchpool,"$18,399,225 ",$0.245323,"75,000,000",*,"$429,029",-0.55%,-2.98%
PCN,979,PeepCoin,? ,$0.000043,?,*,Low Vol,-0.16%,4.63%
TYCHO,895,Tychocoin,? ,$0.129727,?,"$8,618",-0.16%,-5.04%,18.37%
KLC,713,KiloCoin,"$58,034 ",$0.000296,"196,297,971",Low Vol,?,?,-31.06%
NYC,468,NewYorkCoin,"$151,584 ",$0.000003,"59,719,935,819",$556,0.74%,-12.78%,-75.38%
CARBON,540,Carboncoin,"$1,331,561 ",$0.000087,"15,391,984,557",Low Vol,-0.02%,3.76%,0.86%
YBC,155,YbCoin,"$16,151,328 ",$5.35,"3,020,475",*,"$167,555",-0.44%,1.22%
XBG,1052,BTCGold,? ,$0.016206,?,Low Vol,?,1.76%,286.37%
BET,976,BetaCoin,? ,$0.001897,?,Low Vol,-0.03%,-44.50%,-37.18%
CMP,273,Compcoin,"$3,982,056 ",$0.992972,"4,010,240","$40,058",6.67%,6.98%,-58.53%
IMX,759,Impact,"$33,235 ",$0.000304,"109,474,244",Low Vol,-0.02%,-7.48%,41.58%
GRWI,858,Growers Inter...,? ,$0.863979,?,*,"$220,649",-1.52%,3.71%
HUC,343,HunterCoin,"$1,813,124 ",$0.096291,"18,829,730","$104,118",-0.26%,-12.40%,-1.06%
LSK,19,Lisk,"$414,772,134 ",$3.72,"111,365,265",*,"$36,605,700",-0.33%,13.90%
VGC,996,VegasCoin,? ,$0.000822,?,Low Vol,-0.03%,23.21%,-31.56%
POKE,1029,PokeCoin,? ,$0.000130,?,Low Vol,-0.03%,?,51.29%
DALC,507,Dalecoin,"$56,116 ",$0.693214,"80,950",*,"$32,035",-40.51%,?
BDL,873,Bitdeal,? ,$0.086991,?,"$45,032",19.59%,2.92%,-35.85%
TTC,612,TittieCoin,"$163,069 ",$0.000129,"1,259,816,434",Low Vol,0.02%,46.56%,19.03%
SPORT,1000,SportsCoin,? ,$0.001600,?,*,Low Vol,2.74%,3.76%
TOKEN,835,SwapToken,"$2,365 ",$1.5e-07,"15,320,585,365",*,Low Vol,0.06%,-2.87%
VLT,583,Veltor,"$286,635 ",$0.516595,"554,855",Low Vol,-0.02%,2.30%,104.21%
BUMBA,719,BumbaCoin,"$53,719 ",$0.002422,"22,177,098",Low Vol,-0.03%,-14.55%,10.73%
GRT,668,Grantcoin,"$87,522 ",$0.002076,"42,153,870",*,Low Vol,-0.01%,-0.75%
GRS,212,Groestlcoin,"$7,342,784 ",$0.107602,"68,240,221","$303,611",-0.45%,-1.76%,-3.56%
BLZ,800,BlazeCoin,"$17,482 ",$0.000029,"608,557,394",Low Vol,0.56%,-6.78%,13.34%
BLU,379,BlueCoin,"$972,284 ",$0.001692,"574,683,675","$1,899",6.62%,-4.45%,74.33%
PEPECASH,201,Pepe Cash,"$7,935,290 ",$0.011306,"701,884,009",*,"$5,108",2.65%,-5.70%
1337,336,1337,"$1,915,994 ",$0.000082,"23,271,675,994",*,"$4,052",1.16%,-6.18%
MARS,489,Marscoin,"$90,520 ",$0.003201,"28,279,074","$31,143",-0.03%,53.92%,-11.59%
DOLLAR,783,Dollar Online,"$23,443 ",$0.031100,"753,776",Low Vol,-0.01%,4.54%,36.51%
FLAX,466,Flaxscript,"$158,421 ",$0.028500,"5,558,590","$2,750",-0.01%,29.43%,61.09%
RUSTBITS,542,Rustbits,"$1,041,496 ",$0.029503,"35,300,866",*,Low Vol,?,-19.24%
GBRC,1068,Global Busine...,? ,$0.000087,?,Low Vol,?,4.76%,1.02%
SC,34,Siacoin,"$201,985,310 ",$0.006999,"28,861,022,709","$5,311,010",0.84%,-0.40%,-1.47%
FTC,190,Feathercoin,"$9,865,264 ",$0.057006,"173,057,800","$1,023,040",-0.13%,-1.31%,5.78%
GRE,403,Greencoin,"$627,350 ",$0.000190,"3,298,560,641",*,$649,-0.55%,-51.04%
GRC,162,GridCoin,"$15,306,154 ",$0.039215,"390,312,753","$618,230",1.28%,-7.89%,39.44%
BLK,133,BlackCoin,"$21,765,662 ",$0.285148,"76,331,104",*,"$4,706,560",0.54%,3.99%
WGR,131,Wagerr,"$22,278,237 ",$0.121739,"183,000,000",*,"$126,013",-1.39%,13.57%
SPRTS,357,Sprouts,"$1,446,209 ",$0.000004,"411,737,882,764",*,"$8,628",-11.67%,-91.43%
BLC,648,Blakecoin,"$118,113 ",$0.007810,"15,122,697",Low Vol,-0.01%,-8.63%,-23.37%
DCRE,1036,DeltaCredits,? ,$0.110646,?,*,Low Vol,-0.01%,3.80%
MG,881,Mind Gene,? ,$0.012111,?,"$24,570",-0.03%,-8.98%,26.23%
XCXT,439,CoinonatX,"$336,719 ",$0.029159,"11,547,583","$4,554",-12.46%,-15.33%,27.95%
CBD,1070,CBD Crystals,? ,$0.001355,?,*,Low Vol,?,?
SHA,942,SHACoin,? ,$0.000865,?,Low Vol,-0.03%,6.73%,34.48%
MARX,946,MarxCoin,? ,$0.001663,?,Low Vol,-1.22%,47.64%,47.87%
MXT,349,MarteXcoin,"$1,659,474 ",$0.605570,"2,740,350",$857,-44.27%,32.05%,18.78%
MUSIC,243,Musicoin,"$5,767,361 ",$0.019205,"300,302,064","$75,933",0.03%,0.58%,11.21%
RADS,142,Radium,"$19,003,561 ",$5.70,"3,331,311",*,"$189,906",0.43%,2.15%
KASHH,1025,KashhCoin,? ,$0.000044,?,*,Low Vol,1.84%,5.68%
RUPX,455,Rupaya,"$205,401 ",$0.038323,"5,359,742","$4,075",-0.17%,4.29%,-19.57%
EMC2,196,Einsteinium,"$8,996,759 ",$0.042074,"213,831,796","$238,575",-2.31%,-0.39%,-0.79%
CBX,358,Crypto Bullion,"$1,444,926 ",$1.44,"1,000,177","$2,291",31.63%,30.72%,43.27%
HLB,855,Lepaoquan,? ,$0.018253,?,*,"$348,054",0.30%,-2.02%
GB,603,GoldBlocks,"$187,453 ",$0.012461,"15,043,324",Low Vol,-0.01%,1.22%,-27.27%
LKC,1030,LinkedCoin,? ,$0.000216,?,Low Vol,-0.03%,29.69%,0.86%
DON,1012,Donationcoin,? ,$0.000487,?,**,Low Vol,0.08%,-9.25%
CTR,331,Centra,"$2,051,421 ",$0.625004,"3,282,252",*,"$31,159",44.42%,13.92%
FJC,409,FujiCoin,"$552,281 ",$0.000517,"1,068,971,354","$1,086",0.10%,11.51%,-5.16%
CRYPT,571,CryptCoin,"$348,876 ",$0.057659,"6,050,683",Low Vol,-0.02%,3.60%,2.33%
REP,24,Augur,"$268,129,400 ",$24.38,"11,000,000",*,"$3,063,630",-1.45%,9.42%
GLC,543,GlobalCoin,"$992,281 ",$0.015226,"65,171,010",Low Vol,-0.02%,5.35%,66.24%
GLD,259,GoldCoin,"$4,738,277 ",$0.117143,"40,448,660","$51,285",-1.19%,2.88%,2.64%
FUCK,361,FuckToken,"$1,416,138 ",$0.032786,"43,193,633",*,"$2,584",30.97%,37.28%
SUMO,430,Sumokoin,"$372,881 ",$0.294567,"1,265,863","$2,069",45.30%,4.24%,5.72%
AGLC,740,AgrolifeCoin,"$40,655 ",$0.006921,"5,874,313",*,Low Vol,?,?
CTO,773,Crypto,"$28,356 ",$0.002595,"10,925,790",Low Vol,-0.03%,55.63%,-12.54%
GLT,499,GlobalToken,"$68,986 ",$0.002976,"23,179,100",$605,-0.11%,-3.30%,-19.86%
DOT,329,Dotcoin,"$2,061,281 ",$0.008418,"244,870,250",*,"$35,290",7.08%,19.14%
REE,585,ReeCoin,"$267,483 ",$0.021628,"12,367,704",Low Vol,-0.03%,3.76%,28.17%
HSR,842,Hshare,? ,$25.71,?,*,"$10,544,000",-2.79%,11.53%
CLAM,145,Clams,"$18,462,889 ",$7.15,"2,584,026",*,"$350,269",-0.31%,2.90%
FCT,25,Factom,"$258,388,031 ",$29.55,"8,745,102",*,"$8,412,270",1.81%,16.17%
CONX,809,Concoin,"$12,555 ",$0.016869,"744,266",Low Vol,-0.03%,-40.32%,-39.10%
LTBC,537,LTBcoin,"$1,449,397 ",$0.002935,"493,863,915",*,Low Vol,0.98%,-4.49%
QTUM,13,Qtum,"$787,750,300 ",$13.35,"59,000,000",*,"$73,818,700",1.17%,8.28%
