symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
MIU,1073,MIYUCoin,? ,$0.000040,?,Low Vol,-0.07%,?,-7.89%
XBY,225,XTRABYTES,"$7,053,834 ",$0.016636,"424,000,000",*,"$60,443",-0.38%,-16.87%
CPN,716,CompuCoin,"$56,877 ",$0.002900,"19,615,019",Low Vol,-0.07%,8.55%,-3.34%
CHEAP,1106,Cheapcoin,? ,$0.000076,?,*,Low Vol,?,?
BLAS,488,BlakeStar,"$91,942 ",$0.000368,"250,070,032","$1,483",-0.09%,-12.19%,-11.69%
CPC,368,Capricoin,"$1,206,513 ",$0.606274,"1,990,045",*,"$87,239",-2.89%,-3.96%
EOS,24,EOS,"$238,965,470 ",$0.673051,"355,048,088",*,"$7,575,200",0.06%,-1.39%
SIB,149,SIBCoin,"$16,863,497 ",$1.09,"15,463,154","$145,113",0.19%,-3.83%,1.17%
JWL,751,Jewels,"$40,025 ",$0.001983,"20,181,636",*,Low Vol,?,-2.00%
XDE2,1058,XDE II,? ,$1.60,?,*,Low Vol,-0.07%,-1.19%
DLISK,814,DAPPSTER,"$18,073 ",$0.000181,"100,000,000",*,Low Vol,?,?
EOT,375,EOT Token,"$1,082,470 ",$0.432988,"2,500,000",*,"$3,365",0.06%,-7.35%
ACES,991,Aces,? ,$0.000103,?,*,Low Vol,-24.30%,63.50%
UNIFY,417,Unify,"$607,033 ",$0.034272,"17,712,060","$11,557",0.07%,-15.56%,11.03%
GAIA,591,GAIA,"$305,374 ",$0.012670,"24,101,381",*,Low Vol,-0.07%,-2.17%
XBC,237,Bitcoin Plus,"$6,034,656 ",$59.87,"100,800",*,"$32,164",-0.46%,-5.13%
MAVRO,1083,Mavro,? ,$0.005188,?,Low Vol,?,-0.63%,-40.29%
LTH,1050,LAthaan,? ,$0.000278,?,Low Vol,-0.16%,?,-13.82%
KRONE,516,Kronecoin,"$22,048 ",$0.012257,"1,798,750","$1,091",10.80%,10.82%,12.03%
MONA,118,MonaCoin,"$24,509,992 ",$0.453506,"54,045,575","$59,976",-0.01%,-2.76%,-12.71%
CYDER,974,Cyder,? ,$0.000437,?,*,Low Vol,-0.07%,-9.84%
SPR,145,SpreadCoin,"$17,798,124 ",$2.03,"8,777,061","$152,676",2.44%,6.80%,12.60%
BLITZ,241,Blitzcash,"$5,824,476 ",$1.42,"4,089,734",*,"$38,759",-1.91%,-8.63%
OPES,1065,Opescoin,? ,$0.001231,?,Low Vol,-0.12%,-13.08%,-10.72%
MANA,882,Decentraland,? ,$0.018757,?,*,"$224,850",-3.80%,-23.45%
TAG,412,TagCoin,"$635,161 ",$0.110900,"5,727,331","$46,143",0.23%,-3.37%,-40.62%
LDOGE,378,LiteDoge,"$1,018,292 ",$0.000069,"14,846,375,504",*,"$1,886",22.38%,6.20%
EXL,1019,Excelcoin,? ,$0.000397,?,Low Vol,-0.07%,-1.87%,-8.57%
TAJ,788,TajCoin,"$26,219 ",$0.003660,"7,163,417",Low Vol,-0.08%,-13.85%,9.27%
VOYA,958,Voyacoin,? ,$3.73,?,$587,6.72%,4.81%,-5.89%
PWR,865,Powercoin,"$1,985 ",$0.000040,"49,983,870",Low Vol,-0.07%,-1.87%,-6.70%
XPM,301,Primecoin,"$2,944,641 ",$0.142544,"20,657,772","$324,286",1.05%,10.16%,-29.96%
AGLC,754,AgrolifeCoin,"$37,724 ",$0.005918,"6,374,319",*,Low Vol,-0.07%,-2.52%
XPTX,466,PlatinumBAR,"$211,546 ",$0.733344,"288,467","$1,775",-0.07%,34.13%,16.98%
IXC,548,Ixcoin,"$1,352,364 ",$0.064401,"20,999,088",*,Low Vol,-0.48%,-3.96%
XPA,168,XPlay,"$14,293,800 ",$0.014294,"1,000,000,000",*,"$25,152",0.33%,?
BLOCKPAY,545,BlockPay,"$1,626,004 ",$0.299542,"5,428,300",*,?,?,?
CCRB,345,CryptoCarbon,"$1,621,779 ",$0.455286,"3,562,111",*,"$75,266",-0.60%,-5.13%
NOBL,571,NobleCoin,"$457,583 ",$0.000199,"2,304,087,926",Low Vol,-0.12%,-16.19%,-18.84%
PRIMU,1095,Primulon,? ,$0.000119,?,Low Vol,?,-9.23%,-7.35%
XPY,607,PayCoin,"$198,330 ",$0.016808,"11,799,549",**,Low Vol,-11.02%,49.35%
FEDS,871,FedoraShare,? ,$0.000009,?,*,"$5,629,540",0.00%,?
MIOTA,8,IOTA,"$1,595,742,233 ",$0.574105,"2,779,530,283",*,"$14,943,800",0.32%,-1.50%
