symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
Mercury,347,MER,MER,"$2,849,560",$0.028496,"100,000,000",*,"$38,595",-10.74%
Scorecoin,508,SCORE,SCORE,"$270,539",$0.008915,"30,346,591","$1,100",-0.23%,8.13%
LIFE,978,LIFE,LIFE,?,$0.000132,?,*,"$31,848",0.27%
Compcoin,158,CMP,CMP,"$17,490,020",$4.07,"4,299,880","$44,319",-8.21%,-13.23%
Monetha,161,MTH,MTH,"$16,865,482",$0.077786,"216,819,832",*,"$179,685",2.32%
Cyder,1038,CYDER,CYDER,?,$0.000172,?,*,$510,-0.30%
ExchangeN,528,EXN,EXN,"$127,049",$0.024912,"5,100,000",*,"$8,164",7.44%
BitDice,170,CSNO,CSNO,"$15,554,490",$0.222207,"70,000,000",*,"$183,397",-4.82%
EOS,27,EOS,EOS,"$220,711,085",$0.515796,"427,903,832",*,"$5,132,380",0.62%
Bowhead,596,AHT,AHT,"$802,280",$0.100285,"8,000,000",*,Low Vol,-0.03%
FUNCoin,642,FUNC,FUNC,"$311,001",$0.053176,"5,848,581",*,Low Vol,20.23%
DomRaider,991,DRT,DRT,?,$0.033562,?,*,"$18,177",2.17%
Populous,42,PPT,PPT,"$159,687,857",$3.87,"41,252,246",*,"$241,246",-1.50%
RouletteToken,460,RLT,RLT,"$582,146",$0.057509,"10,122,690",*,"$7,418",-0.32%
BlackCoin,184,BLK,BLK,"$13,938,385",$0.182318,"76,450,952",*,"$225,485",-0.36%
Monero,10,XMR,XMR,"$1,362,357,933",$89.23,"15,267,816","$58,790,700",-0.06%,1.95%
Zilbercoin,1029,ZBC,ZBC,?,$0.038935,?,*,$950,-1.93%
Sativacoin,767,STV,STV,"$70,324",$0.009925,"7,085,260",Low Vol,-0.32%,-2.40%
High Voltage,894,HVCO,HVCO,"$13,721",$0.009183,"1,494,171",*,Low Vol,?
Royalties,1201,XRY,XRY,?,$0.047937,?,Low Vol,?,4.07%
LTBcoin,735,LTBC,LTBC,"$93,240",$0.000189,"493,863,915",*,Low Vol,-1.13%
Unobtanium,191,UNO,UNO,"$12,920,287",$65.31,"197,832","$17,875",2.80%,3.45%
CrevaCoin,881,CREVA,CREVA,"$18,858",$0.000518,"36,390,750",Low Vol,-0.30%,-14.82%
AudioCoin,395,ADC,ADC,"$1,577,729",$0.001914,"824,292,838","$4,296",-0.17%,13.89%
MACRON,736,MCRN,MCRN,"$92,249",$0.000230,"401,421,401",*,Low Vol,-0.23%
020LondonCoin,742,020,020,"$87,650",$5.6e-07,"156,617,850,248",Low Vol,-0.32%,1.76%
OctoCoin,732,888,888,"$97,722",$0.001954,"50,013,500",Low Vol,-0.99%,25.86%
Substratum,118,SUB,SUB,"$30,293,089",$0.133986,"226,091,449",*,"$476,088",0.04%
AdShares,583,ADST,ADST,"$1,329,186",$0.108542,"12,245,826",*,Low Vol,-0.23%
MikeTheMug,937,MUG,MUG,"$1,117",$0.001117,"1,000,000",*,?,?
BriaCoin,469,BRIA,BRIA,"$530,474",$1.17,"452,291",*,"$4,571",6.52%
Aces,1030,ACES,ACES,?,$0.000060,?,*,$919,-0.23%
Hedge,232,HDG,HDG,"$8,657,415",$2.33,"3,709,674",*,"$394,081",3.96%
iDice,481,ICE,ICE,"$433,757",$0.276100,"1,571,013",*,$676,-0.23%
KushCoin,700,KUSH,KUSH,"$127,680",$0.023447,"5,445,516",Low Vol,?,4.11%
PoSToken,439,POS,POS,"$878,470",$1.52,"578,962",*,"$2,114",13.07%
