symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
Mercury,329,MER,MER,"$3,573,500",$0.035735,"100,000,000",*,"$32,015",0.24%
Scorecoin,519,SCORE,SCORE,"$337,066",$0.011107,"30,346,591",$689,0.19%,-0.78%
LIFE,1008,LIFE,LIFE,?,$0.000168,?,*,"$17,603",48.58%
Compcoin,214,CMP,CMP,"$11,382,601",$2.64,"4,305,280","$285,054",-25.42%,-40.79%
Monetha,181,MTH,MTH,"$14,973,751",$0.069061,"216,819,832",*,"$405,429",-2.26%
Cyder,1123,CYDER,CYDER,?,$0.000246,?,*,Low Vol,0.21%
FedoraCoin,374,TIPS,TIPS,"$2,325,964",$0.000005,"443,168,182,458","$1,109",0.14%,-43.25%
BitDice,183,CSNO,CSNO,"$14,672,210",$0.209603,"70,000,000",*,"$45,881",3.19%
EOS,23,EOS,EOS,"$308,335,392",$0.703718,"438,151,919",*,"$16,046,700",0.75%
Bowhead,626,AHT,AHT,"$893,472",$0.111684,"8,000,000",*,Low Vol,0.23%
Ethereum Gold,490,ETG,ETG,"$508,300",$0.042358,"12,000,000",*,"$114,342",5.30%
DomRaider,980,DRT,DRT,?,$0.046459,?,*,"$107,274",-1.47%
Populous,42,PPT,PPT,"$147,322,909",$3.57,"41,252,246",*,"$362,155",3.64%
RouletteToken,502,RLT,RLT,"$434,957",$0.042968,"10,122,761",*,"$6,444",-0.54%
BlackCoin,180,BLK,BLK,"$15,051,277",$0.196850,"76,460,639",*,"$234,801",0.17%
Monero,10,XMR,XMR,"$1,353,159,487",$88.50,"15,289,489","$26,146,600",0.11%,-0.40%
Zilbercoin,1052,ZBC,ZBC,?,$0.031068,?,*,"$1,420",-15.28%
BT1 [CST],967,BT1,BT1,?,$5277.63,?,*,"$316,251",0.19%
Sativacoin,766,STV,STV,"$75,063",$0.010594,"7,085,375",Low Vol,0.52%,0.06%
High Voltage,899,HVCO,HVCO,"$15,666",$0.010485,"1,494,171",*,Low Vol,?
Royalties,1225,XRY,XRY,?,$0.047937,?,Low Vol,?,?
LTBcoin,748,LTBC,LTBC,"$93,177",$0.000189,"493,863,915",*,Low Vol,?
Unobtanium,213,UNO,UNO,"$11,385,885",$57.55,"197,835","$22,044",-2.76%,-5.50%
CrevaCoin,589,CREVA,CREVA,"$22,298",$0.000613,"36,390,750",$727,24.03%,-2.20%
AudioCoin,408,ADC,ADC,"$1,551,021",$0.001868,"830,288,733","$1,911",0.55%,38.32%
MACRON,811,MCRN,MCRN,"$54,337",$0.000135,"401,421,401",*,Low Vol,69.85%
OctoCoin,754,888,888,"$86,381",$0.001727,"50,023,900",Low Vol,0.22%,-11.04%
Substratum,124,SUB,SUB,"$28,427,608",$0.125735,"226,091,449",*,"$312,416",0.33%
AdShares,412,ADST,ADST,"$1,489,224",$0.123211,"12,086,779",*,"$1,099",0.21%
PlayerCoin,576,PLACO,PLACO,"$60,448",$0.001721,"35,120,000","$28,960",22.00%,24.85%
BriaCoin,464,BRIA,BRIA,"$707,809",$1.51,"469,584",*,"$3,331",-5.86%
Aces,1149,ACES,ACES,?,$0.000061,?,*,Low Vol,0.21%
Hedge,308,HDG,HDG,"$4,434,619",$1.20,"3,709,674",*,"$144,551",0.03%
Deutsche eMark,533,DEM,DEM,"$248,324",$0.008935,"27,793,416",$846,-0.10%,-2.79%
KushCoin,713,KUSH,KUSH,"$130,255",$0.023920,"5,445,524",Low Vol,0.20%,7.31%
PoSToken,488,POS,POS,"$518,247",$0.895132,"578,962",*,"$8,860",0.09%
Darcrus,423,DAR,DAR,"$1,240,525",$0.091213,"13,600,388",*,"$2,066",0.56%
EarthCoin,467,EAC,EAC,"$703,032",$0.000061,"11,468,770,263","$1,617",0.21%,-3.69%
Bismuth,388,BIS,BIS,"$1,966,818",$0.402495,"4,886,565","$10,898",-6.25%,9.10%
Po.et,219,POE,POE,"$10,568,470",$0.004947,"2,136,283,004",*,"$12,378",0.53%
Peacecoin,1090,PEC,PEC,?,$0.001967,?,*,Low Vol,-33.67%
Renos,619,RNS,RNS,"$1,312,275",$0.039341,"33,356,077",*,Low Vol,0.21%
Golfcoin,1141,GOLF,GOLF,?,$0.000061,?,Low Vol,0.21%,0.02%
Ethereum,2,ETH,ETH,"$29,585,707,282",$310.03,"95,428,530","$320,979,000",0.18%,0.83%
HOdlcoin,546,HODL,HODL,"$185,609",$0.001291,"143,783,815","$2,178",0.21%,-33.32%
Spots,804,SPT,SPT,"$56,232",$0.002510,"22,406,021",Low Vol,0.47%,13.77%
Obsidian,254,ODN,ODN,"$6,889,926",$0.282374,"24,400,000",*,"$70,576",0.22%
Tattoocoin (L...,1143,TLE,TLE,?,$0.043521,?,*,Low Vol,0.21%
KashhCoin,1160,KASHH,KASHH,?,$0.000030,?,*,Low Vol,-29.04%
LinkedCoin,1101,LKC,LKC,?,$0.000123,?,Low Vol,0.21%,?
SIGMAcoin,1007,SIGMA,SIGMA,?,$0.052608,?,*,"$20,083",1.34%
GBCGoldCoin,854,GBC,GBC,"$34,038",$0.002996,"11,361,817",Low Vol,0.00%,-6.38%
SOILcoin,838,SOIL,SOIL,"$39,366",$0.006904,"5,702,048",Low Vol,0.25%,-9.55%
Dollarcoin,727,DLC,DLC,"$117,558",$0.012909,"9,106,714",Low Vol,0.21%,2.79%
Abncoin,947,ABN,ABN,$562,$0.008301,"67,700",Low Vol,0.02%,-20.80%
AMIS,1221,AMIS,AMIS,?,$378.87,?,*,Low Vol,?
ZClassic,334,ZCL,ZCL,"$3,393,610",$1.88,"1,809,800","$112,316",-0.59%,4.21%
BTCGold,1233,XBG,XBG,?,$0.002859,?,?,?,?
Crave,346,CRAVE,CRAVE,"$3,035,583",$2.15,"1,413,365",*,"$11,650",0.21%
YashCoin,612,YASH,YASH,"$3,503,924",$0.350384,"10,000,241",*,Low Vol,0.21%
MustangCoin,798,MST,MST,"$59,300",$0.094076,"630,343",Low Vol,?,-14.51%
WayGuide,685,WAY,WAY,"$204,901",$0.002048,"100,040,708",*,Low Vol,?
Operand,1203,OP,OP,?,$0.000794,?,*,Low Vol,?
Tao,288,XTO,XTO,"$5,204,031",$0.159643,"32,597,929","$5,299",0.21%,-13.28%
Antimatter,1119,ANTX,ANTX,?,$0.000039,?,Low Vol,0.20%,-36.30%
Quantum Resis...,106,QRL,QRL,"$36,920,832",$0.710016,"52,000,000",*,"$168,913",0.24%
InvisibleCoin,1093,IVZ,IVZ,?,$0.129458,?,*,Low Vol,0.21%
Impact,591,IMX,IMX,"$20,097",$0.000184,"109,508,955",$505,0.22%,-25.34%
netBit,1188,NBIT,NBIT,?,$0.013647,?,*,Low Vol,0.21%
WhiteCoin,245,XWC,XWC,"$7,758,190",$0.031227,"248,443,351",*,"$298,784",0.04%
FlavorCoin,836,FLVR,FLVR,"$40,670",$0.001946,"20,898,106",*,Low Vol,?
Kurrent,802,KURT,KURT,"$57,026",$0.005749,"9,919,485",Low Vol,0.21%,19.32%
Phoenixcoin,667,PXC,PXC,"$287,546",$0.004672,"61,552,108",Low Vol,-12.37%,-1.55%
Jinn,269,JINN,JINN,"$6,212,949",$105.84,"58,703",*,"$1,376",0.37%
Blackstar,840,BSTAR,BSTAR,"$38,733",$0.000061,"630,795,971",*,Low Vol,?
IrishCoin,1114,IRL,IRL,?,$0.001352,?,Low Vol,0.20%,-21.41%
Tyrocoin,1047,TYC,TYC,?,$0.033809,?,"$2,108",-0.20%,-58.36%
