symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,192,XtraBYtes,"$8,208,720 ",$0.012629,"650,000,000",*,"$14,887",-1.26%,-4.57%
CPN,677,CompuCoin,"$56,398 ",$0.002875,"19,615,019",Low Vol,0.57%,6.78%,-14.94%
CHEAP,999,Cheapcoin,? ,$0.000101,?,*,Low Vol,0.57%,4.27%
BLAS,476,BlakeStar,"$84,086 ",$0.000346,"243,036,240","$2,937",11.47%,44.32%,190.24%
CPC,350,Capricoin,"$1,066,833 ",$0.536085,"1,990,045",*,"$136,232",0.26%,11.38%
EOS,16,EOS,"$481,488,745 ",$1.79,"268,788,411",*,"$47,765,300",0.45%,1.09%
SIB,126,SIBCoin,"$16,760,139 ",$1.10,"15,173,313","$101,623",-1.19%,-9.81%,-11.38%
JWL,689,Jewels,"$49,836 ",$0.002469,"20,181,636",*,Low Vol,0.59%,1.18%
XDE2,943,XDE II,? ,$1.40,?,*,Low Vol,0.54%,?
DLISK,762,DAPPSTER,"$16,913 ",$0.000169,"100,000,000",*,Low Vol,0.59%,-13.18%
MONETA,948,Moneta,? ,$0.000237,?,Low Vol,0.59%,-8.76%,7.40%
ACES,983,Aces,? ,$0.000090,?,*,Low Vol,0.57%,37.98%
NYC,393,NewYorkCoin,"$501,454 ",$0.000008,"59,719,935,819",$607,0.44%,56.68%,76.80%
GAIA,575,GAIA,"$261,298 ",$0.010842,"24,101,381",*,Low Vol,0.46%,-6.66%
XBC,170,Bitcoin Plus,"$10,148,713 ",$102.28,"99,222",*,"$184,045",-3.50%,1.32%
XBB,260,Boolberry,"$3,565,672 ",$0.374055,"9,532,480","$9,092",1.44%,4.92%,20.01%
MAVRO,940,Mavro,? ,$0.006393,?,Low Vol,0.57%,4.27%,9.92%
LTH,996,LAthaan,? ,$0.000237,?,Low Vol,0.59%,-6.15%,-5.53%
MONA,103,MonaCoin,"$23,782,159 ",$0.448126,"53,070,250","$143,775",3.07%,-5.62%,-3.68%
SPR,166,SpreadCoin,"$10,344,765 ",$1.21,"8,530,569","$47,873",-7.04%,3.51%,36.18%
BLITZ,248,Blitzcash,"$3,803,304 ",$0.932365,"4,079,201",*,"$60,284",-8.66%,-13.67%
OPES,982,Opescoin,? ,$0.001082,?,Low Vol,0.57%,-18.62%,-16.96%
TAG,281,TagCoin,"$2,537,084 ",$0.450224,"5,635,159","$205,341",0.86%,-2.10%,21.05%
XMR,13,Monero,"$739,601,969 ",$49.64,"14,900,785","$11,877,700",0.66%,3.60%,23.27%
TAJ,633,TajCoin,"$98,867 ",$0.014721,"6,716,261",Low Vol,0.90%,78.40%,117.64%
SNAKE,899,SnakeEyes,? ,$0.031682,?,*,Low Vol,2.84%,-19.30%
PWR,805,Powercoin,"$1,691 ",$0.000034,"49,983,870",Low Vol,0.57%,4.27%,19.38%
XPM,199,Primecoin,"$7,875,754 ",$0.390666,"20,159,815","$409,402",0.90%,0.19%,15.45%
GP,821,Goldpay Coin,? ,$0.005816,?,*,"$81,108",-0.19%,-1.91%
XPTX,589,PlatinumBAR,"$202,604 ",$0.855107,"236,934",Low Vol,0.57%,42.92%,95.03%
JIO,507,JIO Token,"$10,779 ",$0.005649,"1,908,128",*,"$21,123",0.59%,24.38%
MTLMC3,492,Metal Music Coin,"$43,082 ",$0.000540,"79,719,140","$5,846",0.59%,66.51%,53.37%
CCRB,304,CryptoCarbon,"$1,964,461 ",$0.551488,"3,562,111",*,"$55,072",0.44%,-0.96%
NOBL,553,NobleCoin,"$385,726 ",$0.000168,"2,298,316,636",Low Vol,0.53%,-13.75%,-7.73%
PRIMU,859,Primulon,? ,$0.000291,?,"$1,901",0.62%,10.17%,32.26%
XPY,565,PayCoin,"$317,145 ",$0.027035,"11,730,836",**,Low Vol,0.64%,199.78%
FEDS,812,FedoraShare,? ,$0.000021,?,*,"$12,540,500",0.00%,1.87%
MIOTA,9,IOTA,"$1,277,138,574 ",$0.459480,"2,779,530,283",*,"$14,662,900",0.07%,8.33%
FIMK,527,FIMKrypto,"$995,887 ",$0.001726,"577,004,618",*,Low Vol,?,0.38%
BYC,371,Bytecent,"$737,994 ",$0.430140,"1,715,707","$7,218",2.54%,3.54%,37.99%
IXT,235,InsureX,"$4,778,229 ",$0.133549,"35,778,844",*,"$45,567",-0.55%,1.63%
BTCD,61,BitcoinDark,"$60,500,609 ",$46.94,"1,288,862","$91,680",-0.24%,-2.53%,12.13%
JNS,257,Janus,"$3,635,256 ",$0.172629,"21,058,198",*,"$2,712",2.13%,4.29%
UNITS,579,GameUnits,"$233,691 ",$0.067288,"3,472,983",*,Low Vol,0.59%,9.57%
MAR,480,Marijuanacoin,"$66,494 ",$0.062107,"1,070,638",$622,-6.47%,0.47%,-15.49%
SNC,271,SunContract,"$2,920,193 ",$0.029747,"98,166,002",*,"$1,693",-6.70%,0.78%
SNGLS,54,SingularDTV,"$84,436,200 ",$0.140727,"600,000,000",*,"$442,243",-0.86%,0.40%
