symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,228,XTRABYTES,"$8,093,275",$0.019043,"425,000,000",*,"$30,898",-0.36%,-1.45%
CPN,830,CompuCoin,"$31,057",$0.001583,"19,615,019",Low Vol,-0.43%,-15.54%,-22.23%
CHEAP,1088,Cheapcoin,?,$0.000144,?,*,Low Vol,-0.43%,4.78%
BLAS,479,BlakeStar,"$444,659",$0.001788,"248,651,954","$81,989",-12.33%,-34.26%,88.09%
CSNO,195,BitDice,"$11,105,780",$0.158654,"70,000,000",*,"$49,460",0.04%,-1.55%
EOS,25,EOS,"$219,113,575",$0.554703,"395,010,619",*,"$6,810,340",1.14%,-6.63%
SIB,139,SIBCoin,"$21,240,520",$1.36,"15,587,313","$112,435",-1.32%,-1.45%,8.03%
JWL,790,Jewels,"$43,627",$0.002162,"20,181,636",*,Low Vol,-0.39%,3.00%
GAIN,1114,UGAIN,?,$0.001201,?,Low Vol,-0.39%,138.15%,259.14%
DLISK,837,DAPPSTER,"$27,904",$0.000279,"100,000,000",*,Low Vol,?,1.44%
EOT,391,EOT Token,"$1,403,830",$0.561532,"2,500,000",*,"$4,637",-0.06%,-0.99%
ACES,1053,Aces,?,$0.000099,?,*,Low Vol,-0.41%,-1.08%
UNIFY,374,Unify,"$1,725,632",$0.097327,"17,730,218","$65,455",-4.62%,-34.82%,67.87%
GAIA,654,GAIA,"$243,260",$0.010093,"24,101,381",*,Low Vol,0.00%,-24.40%
XBC,266,Bitcoin Plus,"$5,123,659",$50.46,"101,535",*,"$216,676",7.12%,-20.46%
MAVRO,1129,Mavro,?,$0.006083,?,Low Vol,?,2.86%,-8.25%
LTH,1014,LAthaan,?,$0.000384,?,Low Vol,1.72%,4.78%,9.21%
KRONE,575,Kronecoin,"$32,475",$0.013909,"2,334,805","$1,824",-6.43%,-29.47%,25.37%
MONA,100,MonaCoin,"$36,961,268",$0.678115,"54,505,900","$702,728",-2.88%,2.78%,40.24%
CYDER,985,Cyder,?,$0.000913,?,*,"$1,134",-13.97%,-9.50%
SPR,214,SpreadCoin,"$9,651,764",$1.09,"8,891,455","$963,528",-49.21%,-57.83%,-35.23%
BLITZ,299,Blitzcash,"$3,933,684",$0.960773,"4,094,291",*,"$43,130",-1.27%,1.72%
OPES,1117,Opescoin,?,$0.001393,?,Low Vol,?,?,17.23%
MANA,124,Decentraland,"$25,445,372",$0.011191,"2,273,755,650",*,"$280,354",2.46%,-17.19%
TAG,636,TagCoin,"$407,780",$0.070761,"5,762,774",Low Vol,-0.39%,8.02%,24.61%
LDOGE,447,LiteDoge,"$726,373",$0.000049,"14,859,635,006",*,"$2,531",-12.67%,-28.63%
EXL,1063,Excelcoin,?,$0.000288,?,Low Vol,-0.39%,4.78%,-27.91%
TAJ,814,TajCoin,"$36,382",$0.004928,"7,382,672",Low Vol,-0.43%,3.38%,18.28%
VOYA,998,Voyacoin,?,$2.83,?,$608,-0.43%,29.55%,6.58%
CPC,423,Capricoin,"$977,019",$0.490953,"1,990,045",*,"$33,845",1.05%,0.97%
PWR,902,Powercoin,"$2,401",$0.000048,"49,983,870",Low Vol,-0.43%,4.78%,9.15%
XPM,331,Primecoin,"$2,938,807",$0.140619,"20,899,076","$512,637",-1.05%,-4.16%,-23.66%
GP,549,GoldPieces,"$94,885",$0.077765,"1,220,161",*,"$1,734",-6.80%,-5.64%
XPTX,509,PlatinumBAR,"$258,014",$0.804610,"320,669","$4,681",23.53%,38.46%,28.29%
JIO,574,JIO Token,"$32,632",$0.017102,"1,908,128",*,"$2,612",119.98%,147.94%
XPA,167,XPlay,"$14,813,500",$0.014814,"1,000,000,000",*,"$11,851",2.85%,-4.91%
BLOCKPAY,645,BlockPay,"$306,874",$0.056532,"5,428,300",*,Low Vol,-5.90%,-11.10%
CCRB,415,CryptoCarbon,"$1,062,200",$0.298194,"3,562,111",*,"$18,988",0.18%,-17.11%
NOBL,627,NobleCoin,"$554,368",$0.000240,"2,306,965,594",Low Vol,-0.37%,-12.55%,-1.96%
PRIMU,964,Primulon,?,$0.000344,?,"$3,319",-33.46%,-63.49%,160.15%
XPY,656,PayCoin,"$239,914",$0.020320,"11,806,549",Low Vol,-0.39%,22.78%,19.84%
FEDS,1150,FedoraShare,?,$0.000008,?,*,?,?,?
MIOTA,10,IOTA,"$1,276,546,534",$0.459267,"2,779,530,283",*,"$18,555,100",1.27%,-10.20%
FID,1039,BITFID,?,$0.096077,?,*,Low Vol,-0.51%,4.78%
FIMK,626,FIMKrypto,"$554,370",$0.000961,"577,004,618",*,Low Vol,-0.43%,-4.50%
BYC,439,Bytecent,"$817,169",$0.451275,"1,810,801","$35,360",-9.63%,-22.11%,-27.26%
IXT,237,iXledger,"$7,044,926",$0.196902,"35,778,844",*,"$60,854",1.39%,-7.44%
BTCD,56,BitcoinDark,"$100,477,376",$77.96,"1,288,862","$615,826",-1.32%,-11.86%,-22.75%
JNS,379,Janus,"$1,584,720",$0.070001,"22,638,595",*,"$2,557",-0.80%,-10.50%
UNITS,679,GameUnits,"$155,492",$0.044772,"3,472,983",*,Low Vol,-0.51%,4.15%
SND,977,Sand Coin,?,$1.56,?,*,"$1,499",2.67%,-16.37%
MAR,797,Marijuanacoin,"$41,510",$0.031802,"1,305,286",Low Vol,-0.52%,-5.65%,-17.64%
SNC,330,SunContract,"$2,949,675",$0.028169,"104,712,011",*,"$96,938",-0.47%,-5.95%
XBL,445,Billionaire T...,"$766,627",$0.231234,"3,315,372",*,"$5,793",-0.45%,-4.91%
SNGLS,65,SingularDTV,"$85,162,200",$0.141937,"600,000,000",*,"$612,085",0.86%,-8.01%
MAX,437,MaxCoin,"$842,874",$0.013931,"60,502,645","$1,521",-0.43%,3.16%,4.42%
SNM,89,SONM,"$44,773,077",$0.124508,"359,600,000",*,"$1,565,710",7.20%,-7.86%
SDP,885,SydPak,"$8,475",$0.053179,"159,374",*,Low Vol,-0.43%,?
VTY,1128,Victoriouscoin,?,$0.000046,?,Low Vol,?,0.19%,15.97%
SNT,70,Status,"$78,949,689",$0.022749,"3,470,483,788",*,"$1,787,710",1.25%,-4.72%
WGO,469,WavesGo,"$490,945",$0.049166,"9,985,510",*,"$2,373",-29.80%,-31.28%
MAD,731,SatoshiMadness,"$96,110",$0.000048,"2,000,683,485",*,Low Vol,-0.39%,4.78%
AHT,472,Bowhead,"$466,906",$0.058363,"8,000,000",*,$837,-1.59%,-51.02%
WILD,971,Wild Crypto,?,$0.137052,?,*,"$2,407",-10.16%,23.91%
AXF,1143,AxFunds,?,$0.068043,?,Low Vol,?,?,-0.59%
UGT,951,UG Token,?,$0.281456,?,*,"$7,819",2.72%,-4.91%
FFC,1061,FireFlyCoin,?,$0.000121,?,Low Vol,-0.07%,53.65%,66.56%
MAO,422,Mao Zedong,"$1,000,182",$0.160930,"6,215,011","$6,285",-0.48%,4.40%,34.37%
XDE2,1140,XDE II,?,$2.30,?,*,Low Vol,?,0.03%
GUC,952,GoldUnionCoin,?,$0.384742,?,*,"$7,689",-0.43%,62.95%
SHDW,661,Shadow Token,"$215,909",$0.030844,"7,000,000",*,Low Vol,-0.34%,-31.44%
USDE,677,USDe,"$163,459",$0.000144,"1,134,216,196",Low Vol,-0.51%,-21.41%,2.33%
DTB,220,Databits,"$9,317,730",$0.409610,"22,747,809",*,"$52,667",-0.69%,-3.62%
CME,1119,Cashme,?,$0.000048,?,Low Vol,-0.43%,-47.61%,?
TSE,548,Tattoocoin (S...,"$95,405",$0.001055,"90,421,856",*,"$1,175",-13.26%,-22.15%
DUB,1147,Dubstep,?,$0.001256,?,*,Low Vol,?,1.48%
GUN,712,Guncoin,"$115,381",$0.000598,"193,000,078",Low Vol,-1.01%,1.00%,-3.11%
GUP,177,Matchpool,"$12,759,375",$0.170125,"75,000,000",*,"$369,249",0.48%,-10.62%
PCN,1085,PeepCoin,?,$6.2e-07,?,*,Low Vol,3.17%,27.42%
TYCHO,449,Tychocoin,"$724,333",$0.144164,"5,024,368","$21,521",-5.37%,-8.88%,-9.94%
NYC,487,NewYorkCoin,"$392,287",$0.000003,"129,032,781,759",$962,-40.54%,-34.64%,-1.65%
CARBON,613,Carboncoin,"$739,412",$0.000048,"15,391,999,113",Low Vol,-0.43%,4.78%,9.15%
UNC,1086,UNCoin,?,$0.000048,?,*,Low Vol,-0.39%,4.78%
CMT,793,Comet,"$42,526",$0.048722,"872,830",Low Vol,-0.45%,-36.29%,-9.51%
XBG,923,BTCGold,?,$0.004372,?,"$82,343",-3.62%,-23.73%,-65.36%
BET,1032,BetaCoin,?,$0.006645,?,Low Vol,-25.17%,6.01%,-20.83%
CMP,143,Compcoin,"$20,571,180",$4.80,"4,282,210","$130,843",-0.51%,-0.05%,34.58%
MRNG,990,MorningStar,?,$0.001585,?,*,$817,-2.12%,-9.07%
