symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,240,XTRABYTES,"$6,007,630",$0.014136,"425,000,000",*,"$47,054",-0.06%,8.30%
CPN,747,CompuCoin,"$41,391",$0.002110,"19,615,019",Low Vol,-0.04%,3.65%,-6.50%
CHEAP,1046,Cheapcoin,?,$0.000075,?,*,Low Vol,-0.04%,?
BLAS,510,BlakeStar,"$66,179",$0.000264,"250,805,392","$2,356",-0.04%,2.66%,3.27%
CPC,378,Capricoin,"$1,127,245",$0.566442,"1,990,045",*,"$231,246",-2.64%,6.92%
CREVA,740,CrevaCoin,"$45,297",$0.001245,"36,390,750",Low Vol,-0.03%,6.53%,24.01%
EOS,28,EOS,"$209,768,988",$0.577361,"363,323,792",*,"$4,864,770",0.41%,1.76%
SIB,154,SIBCoin,"$16,425,368",$1.06,"15,491,684","$73,246",0.13%,5.90%,3.93%
JWL,745,Jewels,"$42,587",$0.002110,"20,181,636",*,Low Vol,-0.04%,30.18%
GAIN,1083,UGAIN,?,$0.000985,?,Low Vol,?,5.20%,87.31%
DLISK,804,DAPPSTER,"$22,528",$0.000225,"100,000,000",*,Low Vol,?,4.25%
EOT,443,EOT Token,"$372,383",$0.148953,"2,500,000",*,$551,-35.11%,-46.89%
ACES,1059,Aces,?,$0.000119,?,*,Low Vol,-0.06%,65.77%
UNIFY,423,Unify,"$609,567",$0.034408,"17,715,804","$7,614",1.64%,7.47%,7.58%
GAIA,607,GAIA,"$206,921",$0.008585,"24,101,381",*,Low Vol,?,-20.80%
XBC,242,Bitcoin Plus,"$5,876,406",$58.23,"100,921",*,"$21,257",-0.03%,5.89%
MAVRO,1065,Mavro,?,$0.005012,?,Low Vol,-0.04%,5.43%,3.79%
LTH,1071,LAthaan,?,$0.000301,?,Low Vol,-0.06%,4.65%,-8.44%
KRONE,518,Kronecoin,"$25,553",$0.013363,"1,912,200","$1,600",-0.26%,4.46%,34.57%
MONA,118,MonaCoin,"$25,227,120",$0.465909,"54,146,025","$71,953",0.22%,3.75%,10.36%
CYDER,947,Cyder,?,$0.000415,?,*,$978,-0.04%,-4.08%
SPR,153,SpreadCoin,"$16,457,322",$1.87,"8,802,307","$142,727",-4.87%,-5.81%,21.41%
BLITZ,249,Blitzcash,"$5,635,611",$1.38,"4,089,851",*,"$14,645",1.62%,5.32%
OPES,1088,Opescoin,?,$0.001127,?,Low Vol,?,4.32%,-11.94%
