symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,197,XtraBYtes,"$7,856,550 ",$0.012087,"650,000,000",*,"$12,582",0.85%,-9.74%
CPN,656,CompuCoin,"$69,094 ",$0.003522,"19,615,019",Low Vol,0.54%,28.08%,0.91%
CHEAP,999,Cheapcoin,? ,$0.000101,?,*,Low Vol,0.36%,6.76%
BLAS,476,BlakeStar,"$67,181 ",$0.000276,"243,014,640","$3,316",-6.87%,26.54%,136.94%
CPC,355,Capricoin,"$968,191 ",$0.486517,"1,990,045",*,"$133,916",-3.34%,-1.91%
EOS,16,EOS,"$477,661,417 ",$1.78,"267,655,912",*,"$46,156,300",0.01%,-1.62%
SIB,123,SIBCoin,"$17,575,009 ",$1.16,"15,171,535","$97,832",1.34%,-5.62%,-7.29%
JWL,687,Jewels,"$49,424 ",$0.002449,"20,181,636",*,Low Vol,0.40%,-1.26%
XDE2,939,XDE II,? ,$1.39,?,*,Low Vol,0.46%,?
DLISK,763,DAPPSTER,"$16,774 ",$0.000168,"100,000,000",*,Low Vol,0.36%,-14.33%
MONETA,945,Moneta,? ,$0.000235,?,Low Vol,0.36%,-10.05%,6.64%
ACES,980,Aces,? ,$0.000084,?,*,Low Vol,2.02%,29.26%
NYC,391,NewYorkCoin,"$493,398 ",$0.000008,"59,719,935,819",$545,0.49%,50.25%,27.68%
GAIA,569,GAIA,"$259,107 ",$0.010751,"24,101,381",*,Low Vol,-0.10%,-7.37%
XBC,165,Bitcoin Plus,"$10,859,689 ",$109.45,"99,219",*,"$183,094",0.61%,10.99%
XBB,258,Boolberry,"$3,600,551 ",$0.377714,"9,532,480","$6,295",3.97%,5.56%,18.27%
MAVRO,944,Mavro,? ,$0.005368,?,Low Vol,0.36%,-12.97%,-6.70%
LTH,990,LAthaan,? ,$0.000235,?,Low Vol,0.36%,2.80%,-6.07%
MONA,107,MonaCoin,"$22,985,856 ",$0.433146,"53,067,225","$134,850",0.67%,-9.46%,-6.39%
SPR,160,SpreadCoin,"$11,438,569 ",$1.34,"8,529,880","$55,517",8.61%,13.24%,51.54%
BLITZ,246,Blitzcash,"$4,153,427 ",$1.02,"4,079,186",*,"$61,841",-1.64%,-7.46%
OPES,983,Opescoin,? ,$0.001074,?,Low Vol,0.36%,-19.76%,-17.04%
TAG,281,TagCoin,"$2,516,478 ",$0.446603,"5,634,708","$200,796",-0.70%,-4.97%,21.23%
LDOGE,351,LiteDoge,"$1,032,825 ",$0.000070,"14,818,227,501",*,"$4,777",-0.26%,-15.68%
TAJ,674,TajCoin,"$56,927 ",$0.008479,"6,713,979",Low Vol,1.68%,2.48%,26.77%
SNAKE,899,SnakeEyes,? ,$0.031918,?,*,Low Vol,-25.00%,-21.40%
XPM,198,Primecoin,"$7,804,984 ",$0.387188,"20,158,124","$408,481",0.08%,-1.91%,14.92%
GP,821,Goldpay Coin,? ,$0.005888,?,*,"$87,890",0.03%,-0.92%
XPTX,584,PlatinumBAR,"$200,854 ",$0.848129,"236,820",Low Vol,31.56%,8.65%,86.68%
JIO,500,JIO Token,"$12,739 ",$0.006676,"1,908,128",*,"$20,473",4.76%,89.37%
