symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,238,XTRABYTES,"$7,917,789",$0.018608,"425,500,000",*,"$12,294",-0.90%,-9.17%
CPN,799,CompuCoin,"$49,002",$0.002498,"19,615,019",Low Vol,-0.39%,-14.24%,52.25%
CHEAP,1122,Cheapcoin,?,$0.000220,?,*,Low Vol,-0.41%,?
BLAS,437,BlakeStar,"$758,111",$0.003119,"243,079,306","$168,904",4.98%,-15.62%,13.26%
CSNO,216,BitDice,"$10,366,580",$0.148094,"70,000,000",*,"$10,279",1.00%,-4.17%
CREVA,843,CrevaCoin,"$29,636",$0.000814,"36,390,750",Low Vol,-4.92%,-11.70%,-9.47%
EOS,27,EOS,"$233,571,142",$0.574441,"406,605,973",*,"$6,721,020",-0.57%,-3.85%
SIB,147,SIBCoin,"$19,744,620",$1.26,"15,623,216","$65,275",-0.27%,-7.98%,-7.94%
JWL,803,Jewels,"$46,523",$0.002305,"20,181,636",*,Low Vol,23.02%,18.70%
GAIN,1144,UGAIN,?,$0.000560,?,Low Vol,?,-1.88%,11.21%
DLISK,835,DAPPSTER,"$32,932",$0.000329,"100,000,000",*,Low Vol,-0.41%,?
EOT,412,EOT Token,"$1,059,658",$0.423863,"2,500,000",*,"$22,397",-0.12%,-4.60%
ACES,1071,Aces,?,$0.000150,?,*,Low Vol,-0.46%,28.01%
UNIFY,385,Unify,"$1,483,937",$0.083669,"17,735,806",*,"$16,805",-2.55%,-4.57%
GAIA,655,GAIA,"$228,822",$0.009494,"24,101,381",*,Low Vol,?,-0.31%
XBC,304,Bitcoin Plus,"$4,240,245",$41.69,"101,703",*,"$26,202",1.68%,-10.51%
MAVRO,1080,Mavro,?,$0.006751,?,Low Vol,-0.41%,-3.92%,14.23%
LTH,1107,LAthaan,?,$0.000384,?,Low Vol,-0.39%,?,4.75%
KRONE,550,Kronecoin,"$29,446",$0.011791,"2,497,356",$798,-0.39%,-27.64%,-35.81%
MONA,34,MonaCoin,"$167,958,101",$3.07,"54,643,800","$17,764,900",-2.55%,-23.34%,362.59%
CYDER,996,Cyder,?,$0.000933,?,*,$541,-0.41%,3.67%
SPR,311,SpreadCoin,"$4,033,254",$0.451943,"8,924,254","$483,851",-1.21%,-5.75%,-81.83%
BLITZ,276,Blitzcash,"$4,976,416",$1.21,"4,097,064",*,"$746,911",-1.71%,13.04%
OPES,1148,Opescoin,?,$0.001620,?,Low Vol,?,?,?
MANA,110,Decentraland,"$31,760,046",$0.013968,"2,273,755,650",*,"$3,523,410",-4.74%,-36.49%
