symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
MIU,1124,MIYUCoin,?,$0.000041,?,Low Vol,?,3.96%,5.98%
XBY,243,XTRABYTES,"$6,875,693",$0.016178,"425,000,000",*,"$101,733",4.42%,6.51%
CPN,763,CompuCoin,"$47,511",$0.002422,"19,615,019",Low Vol,-1.76%,-0.55%,15.73%
CHEAP,1080,Cheapcoin,?,$0.000127,?,*,Low Vol,-0.05%,7.60%
BLAS,504,BlakeStar,"$127,644",$0.000508,"251,503,792","$1,810",19.63%,26.04%,65.58%
CSNO,197,BitDice,"$11,898,460",$0.169978,"70,000,000",*,"$107,650",-4.80%,5.71%
EOS,24,EOS,"$266,198,173",$0.716814,"371,362,966",*,"$14,870,400",0.40%,24.83%
SIB,147,SIBCoin,"$20,217,842",$1.30,"15,518,285","$246,558",0.31%,-5.06%,26.20%
JWL,757,Jewels,"$49,741",$0.002465,"20,181,636",*,Low Vol,0.00%,?
XDE2,1012,XDE II,?,$1.36,?,*,Low Vol,0.00%,?
DLISK,823,DAPPSTER,"$25,079",$0.000251,"100,000,000",*,Low Vol,?,5.85%
EOT,404,EOT Token,"$1,058,173",$0.423269,"2,500,000",*,"$4,678",-0.02%,-5.54%
ACES,1026,Aces,?,$0.000326,?,*,Low Vol,0.00%,238.39%
UNIFY,428,Unify,"$758,436",$0.042802,"17,719,635","$9,421",-0.05%,0.94%,35.24%
GAIA,621,GAIA,"$278,484",$0.011555,"24,101,381",*,Low Vol,-0.33%,-5.62%
XBC,247,Bitcoin Plus,"$6,713,537",$66.45,"101,032",*,"$61,524",-0.48%,7.66%
MAVRO,1076,Mavro,?,$0.005822,?,Low Vol,-0.05%,9.20%,15.72%
LTH,1102,LAthaan,?,$0.000286,?,Low Vol,?,3.39%,-7.76%
KRONE,548,Kronecoin,"$30,503",$0.015120,"2,017,358","$1,185",-0.09%,4.96%,27.42%
MONA,126,MonaCoin,"$24,993,719",$0.460784,"54,241,725","$58,149",-0.80%,2.36%,-3.25%
CYDER,927,Cyder,?,$0.001062,?,*,"$9,260",-3.88%,215.93%
SPR,172,SpreadCoin,"$15,151,498",$1.72,"8,825,995","$95,485",-0.78%,-3.72%,-17.79%
BLITZ,254,Blitzcash,"$6,044,390",$1.48,"4,091,567",*,"$51,821",-0.40%,0.70%
OPES,1093,Opescoin,?,$0.001275,?,Low Vol,0.00%,7.60%,?
MANA,158,Decentraland,"$17,773,844",$0.015462,"1,149,540,118",*,"$243,473",-1.86%,7.05%
