symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,211,XTRABYTES,"$8,224,850 ",$0.019467,"422,500,000",*,"$18,018",0.44%,-1.83%
CPN,723,CompuCoin,"$56,008 ",$0.002855,"19,615,019",Low Vol,-0.09%,10.22%,-28.07%
CHEAP,1086,Cheapcoin,? ,$0.000083,?,*,Low Vol,?,1.30%
BLAS,459,BlakeStar,"$143,569 ",$0.000577,"248,707,792","$1,850",-0.87%,43.48%,2.85%
CPC,347,Capricoin,"$1,739,419 ",$0.874060,"1,990,045",*,"$280,220",1.54%,-4.98%
EOS,29,EOS,"$243,680,339 ",$0.718369,"339,213,328",*,"$8,887,480",-1.34%,-0.04%
SIB,153,SIBCoin,"$16,872,469 ",$1.09,"15,410,899","$142,958",0.27%,-2.47%,-6.54%
JWL,738,Jewels,"$47,463 ",$0.002352,"20,181,636",*,Low Vol,-0.19%,3.98%
XDE2,1022,XDE II,? ,$1.68,?,*,Low Vol,-0.09%,2.16%
DLISK,792,DAPPSTER,"$25,198 ",$0.000252,"100,000,000",*,Low Vol,-0.11%,2.15%
EOT,348,EOT Token,"$1,729,498 ",$0.691799,"2,500,000",*,"$19,503",9.55%,57.75%
ACES,943,Aces,? ,$0.000084,?,*,Low Vol,33.15%,2.13%
UNIFY,412,Unify,"$574,787 ",$0.032464,"17,705,484","$3,280",-0.27%,4.68%,-27.96%
GAIA,582,GAIA,"$323,896 ",$0.013439,"24,101,381",*,Low Vol,-0.09%,14.65%
XBC,224,Bitcoin Plus,"$7,325,207 ",$72.91,"100,474",*,"$52,629",-1.01%,2.25%
XBB,522,Boolberry,"$2,308,900 ",$0.242214,"9,532,480",?,?,?,-1.98%
MAVRO,1040,Mavro,? ,$0.005964,?,Low Vol,-0.09%,13.74%,16.05%
LTH,1065,LAthaan,? ,$0.000336,?,Low Vol,-0.09%,2.13%,19.08%
KRONE,905,Kronecoin,? ,$0.016753,?,"$3,861",148.16%,1.76%,?
MONA,113,MonaCoin,"$27,287,076 ",$0.506641,"53,858,800","$137,390",0.65%,3.22%,-6.26%
SPR,162,SpreadCoin,"$15,192,319 ",$1.74,"8,730,365","$42,419",-0.66%,-3.71%,-10.12%
BLITZ,232,Blitzcash,"$6,254,113 ",$1.53,"4,087,148",*,"$51,794",1.65%,6.44%
OPES,1097,Opescoin,? ,$0.001362,?,Low Vol,?,3.53%,-1.48%
TAG,385,TagCoin,"$1,049,724 ",$0.183570,"5,718,387","$102,057",2.76%,1.76%,-40.66%
LDOGE,398,LiteDoge,"$797,929 ",$0.000054,"14,840,993,503",*,"$1,210",-0.13%,1.39%
EXL,998,Excelcoin,? ,$0.000463,?,Low Vol,0.19%,-11.16%,-70.83%
TAJ,802,TajCoin,"$22,550 ",$0.003195,"7,056,919",Low Vol,0.00%,3.33%,-2.41%
VOYA,887,Voyacoin,? ,$3.87,?,"$22,883",-16.41%,-35.34%,8.05%
