symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
MIU,1124,MIYUCoin,?,$0.000041,?,Low Vol,?,1.62%,7.26%
XBY,249,XTRABYTES,"$6,359,020",$0.014962,"425,000,000",*,"$79,599",-0.82%,-2.29%
CPN,760,CompuCoin,"$47,805",$0.002437,"19,615,019",Low Vol,0.29%,-1.08%,17.12%
CHEAP,1089,Cheapcoin,?,$0.000126,?,*,Low Vol,-1.44%,12.55%
BLAS,506,BlakeStar,"$127,544",$0.000507,"251,531,632","$4,795",13.18%,23.75%,70.75%
CSNO,190,BitDice,"$12,648,020",$0.180686,"70,000,000",*,"$97,187",5.91%,4.80%
EOS,23,EOS,"$273,746,664",$0.735894,"371,991,977",*,"$16,580,700",-5.35%,20.65%
SIB,147,SIBCoin,"$19,720,628",$1.27,"15,519,377","$215,768",-2.97%,-10.51%,23.83%
JWL,761,Jewels,"$47,490",$0.002353,"20,181,636",*,Low Vol,-4.85%,-0.02%
XDE2,1012,XDE II,?,$1.34,?,*,Low Vol,-1.47%,?
DLISK,821,DAPPSTER,"$25,079",$0.000251,"100,000,000",*,Low Vol,?,3.46%
EOT,417,EOT Token,"$948,170",$0.379268,"2,500,000",*,"$2,193",-1.41%,-15.32%
ACES,1027,Aces,?,$0.000256,?,*,Low Vol,-5.94%,-10.56%
UNIFY,427,Unify,"$791,685",$0.044678,"17,719,790","$10,139",-1.36%,-0.22%,44.24%
GAIA,625,GAIA,"$275,616",$0.011436,"24,101,381",*,Low Vol,-0.73%,-8.69%
XBC,243,Bitcoin Plus,"$6,824,237",$67.54,"101,038",*,"$73,049",-0.25%,6.41%
MAVRO,1071,Mavro,?,$0.006345,?,Low Vol,-1.47%,16.37%,25.84%
LTH,1098,LAthaan,?,$0.000294,?,Low Vol,-1.44%,4.04%,-4.59%
KRONE,549,Kronecoin,"$31,270",$0.015463,"2,022,258",$924,1.74%,6.14%,22.71%
MONA,126,MonaCoin,"$24,588,403",$0.453279,"54,245,625","$53,032",-1.42%,-0.62%,-5.04%
CYDER,925,Cyder,?,$0.001135,?,*,"$10,656",9.02%,173.10%
SPR,169,SpreadCoin,"$15,428,436",$1.75,"8,826,892","$109,270",-1.91%,-4.41%,-14.68%
BLITZ,251,Blitzcash,"$6,099,710",$1.49,"4,091,623",*,"$40,238",-0.44%,-0.61%
OPES,1110,Opescoin,?,$0.001273,?,Low Vol,?,5.16%,18.34%
MANA,155,Decentraland,"$18,192,047",$0.015825,"1,149,540,118",*,"$250,789",0.16%,4.51%
TAG,612,TagCoin,"$361,374",$0.062970,"5,738,826",Low Vol,-8.31%,-2.03%,-18.61%
LDOGE,430,LiteDoge,"$782,609",$0.000053,"14,852,147,505",*,"$3,447",-11.89%,-6.58%
EXL,1004,Excelcoin,?,$0.001135,?,Low Vol,-1.47%,112.22%,174.01%
TAJ,809,TajCoin,"$31,278",$0.004305,"7,265,516",Low Vol,-3.67%,3.21%,10.67%
VOYA,967,Voyacoin,?,$4.23,?,$722,-1.45%,8.07%,-41.23%
CPC,395,Capricoin,"$1,217,112",$0.611600,"1,990,045",*,"$48,974",-1.05%,1.25%
PWR,885,Powercoin,"$2,100",$0.000042,"49,983,870",Low Vol,-1.48%,4.01%,9.04%
XPM,325,Primecoin,"$3,085,990",$0.148707,"20,752,149","$741,363",0.01%,9.71%,18.35%
GP,537,GoldPieces,"$65,875",$0.053988,"1,220,161",*,$684,-1.48%,-9.60%
XPTX,493,PlatinumBAR,"$206,768",$0.688277,"300,414","$4,114",-1.47%,11.44%,1.53%
BTCR,517,Bitcurrency,"$108,364",$0.000639,"169,598,616",*,"$1,650",-1.30%,-26.51%
XPA,172,XPlay,"$15,196,400",$0.015196,"1,000,000,000",*,"$8,755",-1.47%,3.22%
CCRB,396,CryptoCarbon,"$1,201,468",$0.337291,"3,562,111",*,"$22,748",-2.01%,-25.65%
NOBL,594,NobleCoin,"$581,224",$0.000252,"2,305,346,046",Low Vol,18.28%,45.38%,16.79%
PRIMU,1056,Primulon,?,$0.000126,?,Low Vol,-1.44%,52.13%,26.99%
XPY,646,PayCoin,"$176,611",$0.014964,"11,802,675",Low Vol,4.59%,11.32%,14.74%
FEDS,892,FedoraShare,?,$0.000009,?,*,"$2,859,550",-0.55%,?
MIOTA,8,IOTA,"$1,494,236,567",$0.537586,"2,779,530,283",*,"$11,658,900",-1.29%,0.88%
FID,965,BITFID,?,$0.126060,?,*,$813,-1.47%,4.04%
FIMK,443,FIMKrypto,"$630,389",$0.001093,"577,004,618",*,$804,-4.54%,-0.77%
BYC,401,Bytecent,"$1,134,876",$0.632820,"1,793,363","$9,944",-0.72%,5.47%,15.18%
IXT,205,iXledger,"$10,584,527",$0.295832,"35,778,844",*,"$109,517",-1.50%,-1.59%
BTCD,52,BitcoinDark,"$123,068,166",$95.49,"1,288,862","$48,028",-3.14%,-0.69%,7.26%
JNS,361,Janus,"$2,017,985",$0.093102,"21,675,059",*,"$2,959",-1.62%,60.90%
UNITS,654,GameUnits,"$159,505",$0.045927,"3,472,983",*,Low Vol,-1.44%,45.32%
MAR,763,Marijuanacoin,"$47,271",$0.037685,"1,254,374",Low Vol,-1.36%,-0.48%,24.45%
SNC,310,SunContract,"$3,563,894",$0.034035,"104,712,011",*,"$1,489,420",-5.48%,-5.87%
XBL,426,Billionaire T...,"$796,724",$0.240312,"3,315,372",*,"$21,769",1.93%,-21.80%
SNGLS,56,SingularDTV,"$103,925,400",$0.173209,"600,000,000",*,"$743,518",-3.33%,-3.60%
MAX,581,MaxCoin,"$756,024",$0.012522,"60,376,165",Low Vol,-1.45%,6.54%,-12.51%
SNM,109,SONM,"$31,803,436",$0.095978,"331,360,000",*,"$825,344",-2.04%,8.42%
