symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
Mercury,329,MER,MER,"$3,525,040",$0.035250,"100,000,000",*,"$32,715",0.24%
Scorecoin,516,SCORE,SCORE,"$343,360",$0.011315,"30,346,591","$1,082",0.17%,-5.08%
LIFE,1004,LIFE,LIFE,?,$0.000083,?,*,"$26,725",-5.72%
Compcoin,146,CMP,CMP,"$20,451,911",$4.75,"4,304,424","$86,078",-1.57%,-0.42%
Monetha,170,MTH,MTH,"$16,130,745",$0.074397,"216,819,832",*,"$417,449",1.81%
Cyder,1100,CYDER,CYDER,?,$0.000184,?,*,Low Vol,0.07%
FedoraCoin,417,TIPS,TIPS,"$1,226,601",$0.000003,"443,168,182,458",$603,-2.34%,-74.04%
BitDice,172,CSNO,CSNO,"$15,893,920",$0.227056,"70,000,000",*,"$124,171",0.97%
EOS,23,EOS,EOS,"$306,427,077",$0.700296,"437,567,938",*,"$24,442,000",2.55%
Bowhead,621,AHT,AHT,"$929,432",$0.116179,"8,000,000",*,Low Vol,0.74%
Ethereum Gold,480,ETG,ETG,"$584,335",$0.048695,"12,000,000",*,"$196,767",-3.89%
DomRaider,984,DRT,DRT,?,$0.046406,?,*,"$91,065",0.08%
Populous,43,PPT,PPT,"$140,803,816",$3.41,"41,252,246",*,"$212,734",-4.37%
RouletteToken,495,RLT,RLT,"$523,120",$0.051678,"10,122,697",*,"$7,239",0.47%
BlackCoin,185,BLK,BLK,"$14,285,236",$0.186835,"76,459,102",*,"$253,961",0.87%
Monero,10,XMR,XMR,"$1,367,512,917",$89.46,"15,286,067","$31,950,100",0.94%,2.48%
Zilbercoin,1056,ZBC,ZBC,?,$0.040204,?,*,"$1,227",0.07%
BT1 [CST],966,BT1,BT1,?,$5185.79,?,*,"$333,850",0.04%
Sativacoin,774,STV,STV,"$74,650",$0.010536,"7,085,363",Low Vol,-0.10%,15.07%
High Voltage,903,HVCO,HVCO,"$15,705",$0.010511,"1,494,171",*,Low Vol,0.07%
Royalties,1225,XRY,XRY,?,$0.047937,?,Low Vol,?,?
LTBcoin,748,LTBC,LTBC,"$93,177",$0.000189,"493,863,915",*,Low Vol,?
Unobtanium,204,UNO,UNO,"$11,877,052",$60.04,"197,834","$9,149",0.41%,1.69%
CrevaCoin,895,CREVA,CREVA,"$20,131",$0.000553,"36,390,750",Low Vol,0.07%,-13.10%
AudioCoin,427,ADC,ADC,"$1,090,769",$0.001323,"824,740,691","$4,432",0.06%,-10.81%
MACRON,810,MCRN,MCRN,"$51,927",$0.000129,"401,421,401",*,Low Vol,0.23%
OctoCoin,745,888,888,"$94,705",$0.001893,"50,023,900",Low Vol,-0.63%,-8.64%
Substratum,117,SUB,SUB,"$29,408,167",$0.130072,"226,091,449",*,"$447,811",-2.18%
eREAL,1052,EREAL,EREAL,?,$0.001487,?,*,"$1,488",0.23%
AdShares,614,ADST,ADST,"$1,294,932",$0.107077,"12,093,469",*,Low Vol,-0.14%
PlayerCoin,576,PLACO,PLACO,"$60,444",$0.001721,"35,120,000","$41,937",-8.13%,?
BriaCoin,458,BRIA,BRIA,"$749,937",$1.61,"466,860",*,"$4,915",-0.24%
Aces,1071,ACES,ACES,?,$0.000123,?,*,$571,0.07%
Hedge,286,HDG,HDG,"$5,458,712",$1.47,"3,709,674",*,"$111,848",8.02%
ExchangeN,564,EXN,EXN,"$93,636",$0.018360,"5,100,000",*,"$6,523",-0.01%
KushCoin,726,KUSH,KUSH,"$121,400",$0.022294,"5,445,524",Low Vol,0.07%,6.75%
PoSToken,489,POS,POS,"$557,644",$0.963179,"578,962",*,"$4,254",1.59%
Darcrus,411,DAR,DAR,"$1,348,432",$0.099147,"13,600,388",*,"$2,325",-0.19%
EarthCoin,628,EAC,EAC,"$707,737",$0.000062,"11,468,422,225",Low Vol,0.02%,2.48%
Bismuth,388,BIS,BIS,"$1,919,663",$0.392845,"4,886,565","$23,253",-0.84%,12.80%
Po.et,218,POE,POE,"$10,477,977",$0.004905,"2,136,283,004",*,"$16,073",1.22%
Peacecoin,1083,PEC,PEC,?,$0.003565,?,*,Low Vol,0.10%
Renos,612,RNS,RNS,"$1,314,233",$0.039400,"33,356,077",*,Low Vol,0.07%
Golfcoin,1117,GOLF,GOLF,?,$0.000061,?,Low Vol,0.09%,5.67%
DigitalDevelo...,647,DDF,DDF,"$399,924",$0.078136,"5,118,307",*,Low Vol,0.10%
Ethereum,2,ETH,ETH,"$29,582,125,950",$310.05,"95,412,363","$593,835,000",0.08%,3.60%
HOdlcoin,531,HODL,HODL,"$229,356",$0.001598,"143,515,195","$2,414",0.07%,16.62%
Spots,815,SPT,SPT,"$50,358",$0.002248,"22,406,021",Low Vol,0.06%,-4.46%
Obsidian,249,ODN,ODN,"$7,229,622",$0.296296,"24,400,000",*,"$53,606",-0.03%
Tattoocoin (L...,1167,TLE,TLE,?,$0.043580,?,*,Low Vol,?
Nexxus,1121,NXX,NXX,?,$0.012253,?,*,Low Vol,0.19%
LinkedCoin,1122,LKC,LKC,?,$0.000123,?,Low Vol,?,-29.55%
