symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,164,XtraBYtes,"$13,109,590 ",$0.020169,"650,000,000",*,"$109,061",5.18%,74.59%
CPN,704,CompuCoin,"$58,663 ",$0.002991,"19,615,019",Low Vol,0.53%,-3.82%,1.76%
CHEAP,1002,Cheapcoin,? ,$0.000089,?,*,Low Vol,0.54%,9.02%
BLAS,425,BlakeStar,"$362,407 ",$0.001482,"244,618,560","$21,878",-1.57%,47.51%,217.66%
CPC,369,Capricoin,"$1,037,247 ",$0.521218,"1,990,045",*,"$159,484",-3.13%,16.89%
EOS,18,EOS,"$451,037,936 ",$1.57,"287,780,218",*,"$24,267,500",-0.09%,-1.90%
SIB,142,SIBCoin,"$17,012,283 ",$1.12,"15,230,061","$77,799",-0.53%,-2.99%,-6.46%
JWL,711,Jewels,"$54,059 ",$0.002679,"20,181,636",*,Low Vol,0.54%,-0.89%
XDE2,980,XDE II,? ,$2.68,?,*,Low Vol,0.53%,7.66%
DLISK,790,DAPPSTER,"$17,371 ",$0.000174,"100,000,000",*,Low Vol,?,6.05%
MONETA,939,Moneta,? ,$0.000357,?,Low Vol,0.54%,22.66%,16.64%
ACES,986,Aces,? ,$0.000250,?,*,Low Vol,13.28%,221.69%
NYC,378,NewYorkCoin,"$881,651 ",$0.000015,"59,719,935,819",$864,-2.22%,-18.55%,2.68%
GAIA,567,GAIA,"$428,236 ",$0.017768,"24,101,381",*,Low Vol,0.55%,23.97%
XBC,207,Bitcoin Plus,"$7,573,205 ",$76.08,"99,539",*,"$147,852",-0.73%,-3.18%
XBB,223,Boolberry,"$6,216,187 ",$0.652106,"9,532,480","$116,342",0.63%,2.59%,62.89%
MAVRO,1050,Mavro,? ,$0.004616,?,Low Vol,?,5.35%,-21.45%
LTH,1039,LAthaan,? ,$0.000313,?,Low Vol,0.54%,?,3.51%
MONA,128,MonaCoin,"$21,625,976 ",$0.405832,"53,288,000","$66,980",-0.73%,-0.66%,-3.74%
SPR,171,SpreadCoin,"$11,862,371 ",$1.38,"8,568,167","$28,508",-1.16%,9.04%,11.49%
BLITZ,247,Blitzcash,"$4,919,988 ",$1.21,"4,081,251",*,"$32,099",-0.33%,1.53%
OPES,1031,Opescoin,? ,$0.001786,?,Low Vol,0.54%,61.51%,53.94%
TAG,310,TagCoin,"$2,295,103 ",$0.405761,"5,656,292","$19,688",-1.90%,-1.30%,-8.28%
LDOGE,372,LiteDoge,"$1,002,157 ",$0.000068,"14,824,573,001",*,"$2,316",-10.13%,-14.56%
TAJ,515,TajCoin,"$24,063 ",$0.003543,"6,790,713",$992,3.04%,-37.71%,-67.94%
SNAKE,958,SnakeEyes,? ,$0.028206,?,*,Low Vol,-6.12%,-26.08%
PWR,830,Powercoin,"$2,238 ",$0.000045,"49,983,870",Low Vol,0.88%,9.32%,31.63%
XPM,216,Primecoin,"$6,693,197 ",$0.330090,"20,276,885","$673,628",-0.19%,-2.94%,-17.79%
AGLC,661,AgrolifeCoin,"$102,580 ",$0.017768,"5,773,243",*,Low Vol,0.54%,55.30%
BTCS,646,Bitcoin Scrypt,"$124,913 ",$0.007679,"16,267,563",Low Vol,0.55%,28.43%,33.52%
IXC,318,Ixcoin,"$1,982,192 ",$0.094394,"20,999,088",*,"$1,028",0.55%,-2.90%
MTLMC3,729,Metal Music Coin,"$42,707 ",$0.000536,"79,719,140",Low Vol,0.54%,43.70%,19.94%
MINEX,884,Minex,? ,$0.481752,?,*,"$5,472",2.01%,7.03%
CCRB,297,CryptoCarbon,"$2,543,721 ",$0.714105,"3,562,111",*,"$59,173",0.58%,8.48%
NOBL,408,NobleCoin,"$476,876 ",$0.000207,"2,299,561,447",$765,-4.44%,-8.81%,21.93%
PRIMU,892,Primulon,? ,$0.000266,?,"$1,980",19.94%,23.94%,11.63%
XPY,584,PayCoin,"$274,538 ",$0.023393,"11,735,798",**,Low Vol,0.54%,-14.03%
FEDS,838,FedoraShare,? ,$0.000024,?,*,"$8,506,280",0.00%,7.87%
MIOTA,5,IOTA,"$3,025,796,666 ",$1.09,"2,779,530,283",*,"$65,109,500",1.03%,16.33%
FIMK,392,FIMKrypto,"$720,915 ",$0.001249,"577,004,618",*,"$1,099",-13.16%,-19.12%
BYC,383,Bytecent,"$829,898 ",$0.479202,"1,731,833","$14,518",0.09%,0.91%,5.63%
IXT,182,InsureX,"$10,154,322 ",$0.283808,"35,778,844",*,"$177,085",-0.30%,1.30%
BTCD,69,BitcoinDark,"$78,114,070 ",$60.61,"1,288,862","$95,813",2.03%,6.91%,31.30%
JNS,292,Janus,"$2,643,075 ",$0.125269,"21,099,198",*,$811,-1.05%,-11.68%
UNITS,586,GameUnits,"$260,381 ",$0.074973,"3,472,983",*,Low Vol,1.44%,25.21%
MAR,714,Marijuanacoin,"$52,265 ",$0.047330,"1,104,259",Low Vol,0.32%,10.32%,-8.04%
SNC,196,SunContract,"$8,850,637 ",$0.090160,"98,166,002",*,"$727,483",-0.16%,44.34%
SNGLS,61,SingularDTV,"$100,753,800 ",$0.167923,"600,000,000",*,"$1,012,010",2.27%,6.45%
MAX,248,MaxCoin,"$4,841,077 ",$0.080794,"59,918,693","$1,564,580",-1.99%,-19.63%,7.77%
SNM,116,SONM,"$26,392,228 ",$0.079648,"331,360,000",*,"$413,023",2.05%,11.19%
SDP,811,SydPak,"$9,442 ",$0.059376,"159,029",*,Low Vol,0.54%,9.02%
TP1,1032,KolschCoin,? ,$0.042411,?,Low Vol,0.55%,?,38.95%
SNT,34,Status,"$202,041,155 ",$0.058217,"3,470,483,788",*,"$8,891,310",0.44%,-3.04%
WGO,370,WavesGo,"$1,027,816 ",$0.102813,"9,996,949",*,"$4,254",1.55%,-16.36%
MAD,680,SatoshiMadness,"$89,317 ",$0.000045,"2,000,683,485",*,Low Vol,0.54%,?
LAZ,1033,Lazaruscoin,? ,$0.001607,?,*,Low Vol,0.54%,30.82%
AXF,875,AxFunds,? ,$0.072252,?,"$13,640",0.05%,-1.26%,-5.52%
FEI,863,Fuda Energy,? ,$0.020239,?,"$29,264",9.76%,-0.89%,-8.11%
FFC,944,FireFlyCoin,? ,$0.000089,?,Low Vol,0.55%,2.66%,-18.20%
MAO,486,Mao Zedong,"$99,725 ",$0.019164,"5,203,745","$4,075",-10.97%,9.86%,-21.06%
GAIN,1017,UGAIN,? ,$0.000223,?,Low Vol,0.54%,?,-61.53%
GUC,1054,GoldUnionCoin,? ,$0.672532,?,*,Low Vol,0.84%,16.68%
MGM,814,Magnum,"$7,029 ",$0.001875,"3,748,685",Low Vol,0.54%,-16.75%,0.20%
SHDW,395,Shadow Token,"$607,165 ",$0.086738,"7,000,000",*,$963,0.64%,-23.82%
EVO,700,Evotion,"$65,257 ",$0.026428,"2,469,220",Low Vol,0.54%,-3.68%,3.89%
DTB,131,Databits,"$20,194,003 ",$0.887734,"22,747,809",*,"$124,439",0.57%,4.37%
CME,1065,Cashme,? ,$0.000041,?,**,Low Vol,?,0.40%
TSE,609,Tattoocoin (S...,"$177,505 ",$0.001963,"90,421,856",*,Low Vol,0.54%,2.70%
GUN,663,Guncoin,"$100,529 ",$0.000533,"188,539,078",Low Vol,0.53%,8.64%,-7.22%
TIC,1048,True Investme...,? ,$0.002937,?,*,Low Vol,?,?
GUP,147,Matchpool,"$16,448,325 ",$0.219311,"75,000,000",*,"$330,374",0.17%,15.94%
PCN,921,PeepCoin,? ,$0.000045,?,*,Low Vol,0.88%,77.05%
TYCHO,879,Tychocoin,? ,$0.112501,?,"$7,558",-9.48%,6.26%,18.24%
CARBON,538,Carboncoin,"$1,374,301 ",$0.000089,"15,391,981,059",Low Vol,0.54%,101.06%,41.06%
YBC,150,YbCoin,"$16,068,049 ",$5.32,"3,020,475",*,"$72,516",-0.78%,-0.72%
XBG,1001,BTCGold,? ,$0.004688,?,Low Vol,0.54%,7.99%,64.94%
BET,964,BetaCoin,? ,$0.003393,?,Low Vol,0.55%,3.65%,-67.97%
CMP,221,Compcoin,"$6,400,766 ",$1.65,"3,868,000","$23,835",0.86%,43.74%,67.77%
FBC,861,FiboCoins,? ,$0.058849,?,"$37,543",0.74%,-0.01%,-5.00%
HUC,349,HunterCoin,"$1,417,289 ",$0.075715,"18,718,690","$25,122",-3.56%,-7.26%,-25.26%
PEPE,317,PepeCoin,"$2,053,810 ",$0.145306,"14,134,381","$24,470",4.25%,5.50%,13.24%
LSK,27,Lisk,"$241,474,498 ",$2.17,"111,035,010",*,"$5,623,930",-0.88%,0.74%
