symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,210,XTRABYTES,"$9,885,993 ",$0.023399,"422,500,000",*,"$22,055",-0.19%,-0.77%
CPN,727,CompuCoin,"$57,263 ",$0.002919,"19,615,019",Low Vol,-0.01%,-21.72%,-15.55%
CHEAP,1093,Cheapcoin,? ,$0.000091,?,*,Low Vol,?,-0.12%
BLAS,646,BlakeStar,"$135,069 ",$0.000544,"248,168,272",Low Vol,-0.94%,9.80%,-12.44%
CPC,383,Capricoin,"$1,346,037 ",$0.676385,"1,990,045",*,"$109,622",4.02%,4.15%
CREVA,719,CrevaCoin,"$60,119 ",$0.001652,"36,390,750",Low Vol,-0.02%,-0.07%,-13.20%
EOS,29,EOS,"$307,752,696 ",$0.924945,"332,725,400",*,"$21,036,100",-2.68%,2.55%
SIB,150,SIBCoin,"$19,578,154 ",$1.27,"15,389,453","$283,446",-1.78%,-6.14%,6.44%
JWL,761,Jewels,"$38,347 ",$0.001900,"20,181,636",*,Low Vol,?,1.89%
XDE2,999,XDE II,? ,$1.74,?,*,Low Vol,-0.02%,14.60%
DLISK,787,DAPPSTER,"$27,803 ",$0.000278,"100,000,000",*,Low Vol,-0.01%,?
EOT,372,EOT Token,"$1,812,545 ",$0.725018,"2,500,000",*,"$26,308",23.23%,10.50%
ACES,1043,Aces,? ,$0.000190,?,*,Low Vol,-0.02%,-38.53%
UNIFY,426,Unify,"$569,456 ",$0.032755,"17,385,378","$4,264",5.16%,-15.19%,-27.18%
GAIA,588,GAIA,"$363,620 ",$0.015087,"24,101,381",*,Low Vol,-0.01%,-40.07%
XBC,223,Bitcoin Plus,"$8,474,871 ",$84.49,"100,309",*,"$58,141",0.01%,0.18%
XBB,338,Boolberry,"$2,475,833 ",$0.259726,"9,532,480","$106,089",-0.02%,1.89%,7.72%
MAVRO,1055,Mavro,? ,$0.005700,?,Low Vol,-0.02%,?,?
LTH,1034,LAthaan,? ,$0.000371,?,Low Vol,-0.02%,1.88%,29.97%
KRONE,913,Kronecoin,? ,$0.026778,?,"$4,971",-4.55%,-19.26%,?
MONA,114,MonaCoin,"$29,818,510 ",$0.554403,"53,784,900","$409,078",-0.18%,-2.35%,14.39%
SPR,158,SpreadCoin,"$17,434,302 ",$2.00,"8,711,706","$97,802",-4.04%,3.65%,-26.91%
BLITZ,232,Blitzcash,"$7,256,341 ",$1.78,"4,086,399",*,"$90,268",0.01%,-5.01%
OPES,1058,Opescoin,? ,$0.001390,?,Low Vol,-0.02%,?,12.54%
TAG,352,TagCoin,"$2,128,943 ",$0.373160,"5,705,173","$259,877",-0.27%,-5.20%,-1.90%
LDOGE,394,LiteDoge,"$1,117,969 ",$0.000075,"14,838,860,503",*,"$4,014",-0.06%,-4.41%
TAJ,795,TajCoin,"$24,916 ",$0.003552,"7,014,010",Low Vol,-0.02%,5.35%,-20.34%
SNAKE,990,SnakeEyes,? ,$0.073837,?,*,Low Vol,1.64%,-2.96%
PWR,853,Powercoin,"$2,316 ",$0.000046,"49,983,870",Low Vol,-0.02%,1.88%,-2.47%
XPM,237,Primecoin,"$6,795,209 ",$0.330820,"20,540,503","$757,748",0.49%,-8.49%,-21.66%
AGLC,726,AgrolifeCoin,"$57,302 ",$0.009268,"6,183,058",*,Low Vol,-0.02%,?
XPTX,466,PlatinumBAR,"$248,084 ",$0.915485,"270,986","$9,244",-0.02%,-6.70%,117.46%
IXC,546,Ixcoin,"$1,717,700 ",$0.081799,"20,999,088",*,Low Vol,0.00%,-6.64%
MTLMC3,749,Metal Music Coin,"$44,329 ",$0.000556,"79,719,140",Low Vol,0.19%,19.79%,15.56%
CCRB,205,CryptoCarbon,"$10,326,738 ",$2.90,"3,562,111",*,"$39,870",1.81%,58.60%
NOBL,430,NobleCoin,"$533,521 ",$0.000232,"2,302,517,012","$5,581",-0.01%,-25.69%,-24.50%
PRIMU,923,Primulon,? ,$0.000141,?,"$2,107",0.00%,-22.69%,-15.58%
XPY,480,PayCoin,"$171,718 ",$0.014558,"11,795,674",**,"$1,366",-11.49%,-33.45%
FEDS,915,FedoraShare,? ,$0.000016,?,*,"$3,547",0.00%,-2.54%
MIOTA,9,IOTA,"$1,790,512,259 ",$0.644178,"2,779,530,283",*,"$29,396,200",5.38%,-9.04%
FID,874,BITFID,? ,$0.100196,?,*,"$269,521",0.00%,2.04%
FIMK,411,FIMKrypto,"$828,856 ",$0.001436,"577,004,618",*,$954,4.01%,-18.85%
BYC,393,Bytecent,"$1,119,988 ",$0.634834,"1,764,222","$14,022",1.47%,-3.37%,-11.24%
IXT,169,iXledger,"$15,665,373 ",$0.437839,"35,778,844",*,"$125,991",-0.87%,-2.90%
BTCD,41,BitcoinDark,"$196,334,954 ",$152.33,"1,288,862","$723,006",-0.33%,8.44%,132.84%
JNS,357,Janus,"$2,043,346 ",$0.096598,"21,153,198",*,$706,-22.89%,-15.35%
UNITS,641,GameUnits,"$145,317 ",$0.041842,"3,472,983",*,Low Vol,-0.02%,13.24%
MAR,694,Marijuanacoin,"$82,049 ",$0.069276,"1,184,391",Low Vol,-0.02%,2.01%,-11.48%
SNC,259,SunContract,"$5,600,507 ",$0.054351,"103,043,888",*,"$67,920",-1.13%,13.56%
TOPAZ,1102,Topaz Coin,? ,$0.056010,?,Low Vol,?,?,16.29%
SNGLS,66,SingularDTV,"$86,512,800 ",$0.144188,"600,000,000",*,"$613,114",-0.36%,-2.17%
MAX,311,MaxCoin,"$3,231,060 ",$0.053712,"60,155,493","$350,531",1.27%,-5.14%,-26.40%
SNM,139,SONM,"$22,094,124 ",$0.066677,"331,360,000",*,"$447,717",-0.44%,0.59%
SDP,837,SydPak,"$10,325 ",$0.064871,"159,161",*,Low Vol,0.00%,1.04%
TP1,1059,KolschCoin,? ,$0.032761,?,Low Vol,-0.02%,?,7.74%
SNT,56,Status,"$125,704,393 ",$0.036221,"3,470,483,788",*,"$4,851,000",0.15%,-5.60%
WGO,412,WavesGo,"$747,228 ",$0.074745,"9,996,979",*,"$1,947",0.50%,-9.53%
MAD,680,SatoshiMadness,"$92,708 ",$0.000046,"2,000,683,485",*,Low Vol,-0.02%,?
LAZ,1054,Lazaruscoin,? ,$0.001622,?,*,Low Vol,-0.02%,?
AXF,897,AxFunds,? ,$0.032705,?,"$14,168",0.06%,-9.01%,-48.36%
FEI,904,Fuda Energy,? ,$0.015111,?,"$8,784",0.00%,0.55%,-9.52%
UGT,873,UG Token,? ,$0.212330,?,*,"$346,763",?,?
FFC,991,FireFlyCoin,? ,$0.000129,?,Low Vol,3.74%,12.38%,36.25%
MAO,487,Mao Zedong,"$144,191 ",$0.027709,"5,203,745",$710,-0.01%,-4.77%,59.85%
GAIN,1092,UGAIN,? ,$0.000231,?,Low Vol,-0.20%,-33.90%,-71.38%
GUC,1026,GoldUnionCoin,? ,$0.463363,?,*,Low Vol,-0.01%,-58.51%
MGM,845,Magnum,"$5,782 ",$0.001542,"3,748,760",Low Vol,?,?,-53.94%
SHDW,416,Shadow Token,"$673,945 ",$0.096278,"7,000,000",*,"$2,803",4.44%,69.67%
USDE,485,USDe,"$157,661 ",$0.000139,"1,134,127,382",$801,-0.02%,-4.92%,-90.48%
DTB,173,Databits,"$15,285,390 ",$0.671950,"22,747,809",*,"$62,727",-0.16%,2.16%
CME,1089,Cashme,? ,$0.000047,?,**,Low Vol,?,2.77%
