symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,241,XTRABYTES,"$7,743,670",$0.018220,"425,000,000",*,"$22,995",0.21%,6.94%
CPN,803,CompuCoin,"$37,345",$0.001904,"19,615,019",Low Vol,-0.75%,-6.24%,-21.98%
CHEAP,1091,Cheapcoin,?,$0.000132,?,*,Low Vol,-0.10%,19.31%
BLAS,504,BlakeStar,"$202,101",$0.000801,"252,268,424","$17,107",-4.84%,-2.61%,90.29%
CSNO,205,BitDice,"$11,071,830",$0.158169,"70,000,000",*,"$55,236",-0.08%,-6.53%
EOS,27,EOS,"$249,102,155",$0.653230,"381,339,123",*,"$8,131,040",0.30%,-7.44%
SIB,150,SIBCoin,"$19,607,412",$1.26,"15,547,988","$100,551",0.58%,-0.92%,4.84%
JWL,783,Jewels,"$46,100",$0.002284,"20,181,636",*,Low Vol,-0.10%,?
XDE2,979,XDE II,?,$1.71,?,*,$861,-0.08%,?
DLISK,850,DAPPSTER,"$17,571",$0.000176,"100,000,000",*,Low Vol,-0.10%,?
EOT,455,EOT Token,"$539,115",$0.215646,"2,500,000",*,"$4,582",0.08%,14.54%
ACES,1026,Aces,?,$0.000088,?,*,Low Vol,-0.10%,-22.04%
UNIFY,411,Unify,"$1,074,070",$0.060600,"17,724,046","$10,103",6.33%,15.82%,34.60%
GAIA,631,GAIA,"$309,445",$0.012839,"24,101,381",*,Low Vol,?,0.74%
XBC,250,Bitcoin Plus,"$6,813,092",$67.35,"101,164",*,"$14,786",-1.11%,-0.65%
MAVRO,1082,Mavro,?,$0.006633,?,Low Vol,-0.09%,?,24.07%
LTH,1096,LAthaan,?,$0.000351,?,Low Vol,-0.10%,?,?
KRONE,559,Kronecoin,"$22,751",$0.010596,"2,147,100",$616,-2.28%,-3.78%,-30.04%
MONA,127,MonaCoin,"$26,804,471",$0.493178,"54,350,500","$1,379,790",2.62%,10.02%,6.77%
CYDER,1006,Cyder,?,$0.000571,?,*,Low Vol,-0.10%,-0.40%
SPR,182,SpreadCoin,"$14,916,094",$1.68,"8,852,965","$34,494",-0.10%,-3.59%,-6.21%
BLITZ,266,Blitzcash,"$5,919,009",$1.45,"4,092,660",*,"$118,218",-0.07%,-6.53%
OPES,1088,Opescoin,?,$0.001186,?,Low Vol,-0.09%,?,4.35%
MANA,176,Decentraland,"$15,168,182",$0.013195,"1,149,540,118",*,"$363,761",0.67%,-6.15%
TAG,626,TagCoin,"$359,332",$0.062485,"5,750,656",Low Vol,12.45%,11.48%,2.19%
LDOGE,408,LiteDoge,"$1,116,292",$0.000075,"14,855,174,505",*,"$11,519",0.23%,38.36%
EXL,1014,Excelcoin,?,$0.000395,?,Low Vol,-0.10%,-43.80%,-53.03%
TAJ,822,TajCoin,"$30,409",$0.004164,"7,302,121",Low Vol,-0.09%,-9.93%,3.88%
SNAKE,989,SnakeEyes,?,$0.055607,?,*,Low Vol,-1.24%,-1.49%
CPC,407,Capricoin,"$1,128,409",$0.567027,"1,990,045",*,"$41,095",-0.01%,-0.09%
