symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,215,XTRABYTES,"$6,041,455 ",$0.014282,"423,000,000",*,"$47,407",-9.35%,-23.69%
CPN,748,CompuCoin,"$31,816 ",$0.001622,"19,615,019",Low Vol,-5.54%,-26.57%,-44.08%
CHEAP,1046,Cheapcoin,? ,$0.000062,?,*,Low Vol,-6.83%,-19.40%
BLAS,688,BlakeStar,"$60,184 ",$0.000241,"249,350,272",Low Vol,-6.81%,-10.95%,-54.03%
CPC,352,Capricoin,"$1,227,609 ",$0.616875,"1,990,045",*,"$100,798",-7.02%,-21.53%
EOS,23,EOS,"$206,271,782 ",$0.594767,"346,811,073",*,"$13,487,000",-4.47%,-16.24%
SIB,134,SIBCoin,"$14,526,091 ",$0.941109,"15,435,078","$2,782,270",-9.56%,-13.01%,-26.22%
JWL,758,Jewels,"$29,429 ",$0.001458,"20,181,636",*,Low Vol,-6.46%,?
GAIN,1000,UGAIN,? ,$0.000776,?,Low Vol,-6.46%,23.50%,235.67%
DLISK,798,DAPPSTER,"$18,615 ",$0.000186,"100,000,000",*,Low Vol,-6.46%,-19.35%
EOT,360,EOT Token,"$1,037,600 ",$0.415040,"2,500,000",*,"$20,426",-28.15%,-11.80%
ACES,1016,Aces,? ,$0.000062,?,*,Low Vol,19.38%,-21.53%
UNIFY,412,Unify,"$442,864 ",$0.025008,"17,708,874","$1,698",-11.16%,-27.02%,-21.31%
GAIA,575,GAIA,"$242,527 ",$0.010063,"24,101,381",*,Low Vol,-6.58%,-6.60%
XBC,231,Bitcoin Plus,"$4,930,621 ",$49.02,"100,580",*,"$123,325",-9.33%,-23.80%
MAVRO,982,Mavro,? ,$0.004747,?,Low Vol,-6.46%,-13.73%,-16.86%
LTH,1075,LAthaan,? ,$0.000248,?,Low Vol,-6.46%,?,-30.78%
KRONE,510,Kronecoin,"$14,385 ",$0.008478,"1,696,800","$1,070",8.20%,-23.76%,-68.38%
MONA,113,MonaCoin,"$19,912,830 ",$0.369116,"53,947,350","$146,285",-7.39%,-21.59%,-33.19%
CYDER,946,Cyder,? ,$0.000248,?,*,$601,-10.57%,-17.10%
SPR,167,SpreadCoin,"$10,470,156 ",$1.20,"8,752,408","$82,199",-8.31%,-24.17%,-41.14%
BLITZ,237,Blitzcash,"$4,566,671 ",$1.12,"4,088,885",*,"$56,515",-3.15%,-21.69%
OPES,1014,Opescoin,? ,$0.000900,?,Low Vol,-6.83%,-31.22%,-33.73%
TAG,409,TagCoin,"$489,667 ",$0.085553,"5,723,521","$136,185",-1.47%,-48.52%,-76.27%
LDOGE,404,LiteDoge,"$528,580 ",$0.000036,"14,843,531,004",*,$685,-29.74%,-43.82%
TAJ,504,TajCoin,"$23,434 ",$0.003299,"7,103,785","$3,175",-6.48%,14.59%,-6.06%
VOYA,974,Voyacoin,? ,$2.71,?,Low Vol,-6.83%,-23.59%,12.74%
PWR,858,Powercoin,"$1,551 ",$0.000031,"49,983,870",Low Vol,-6.83%,-19.37%,-33.17%
XPM,293,Primecoin,"$2,319,017 ",$0.112464,"20,620,085","$460,018",-8.57%,-44.77%,-65.77%
AGLC,705,AgrolifeCoin,"$47,756 ",$0.007593,"6,289,311",*,?,?,-0.10%
XPTX,471,PlatinumBAR,"$113,097 ",$0.404678,"279,474",$568,-6.54%,-28.37%,-55.87%
BTCR,423,Bitcurrency,"$375,786 ",$0.002216,"169,598,616",*,"$2,014",-6.40%,265.05%
MTLMC3,781,Metal Music Coin,"$21,445 ",$0.000269,"79,719,140",Low Vol,?,-26.75%,-50.85%
