symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,245,XTRABYTES,"$6,537,010",$0.015381,"425,000,000",*,"$104,321",-5.21%,-7.45%
CPN,752,CompuCoin,"$49,294",$0.002513,"19,615,019",Low Vol,0.47%,5.36%,17.42%
CHEAP,1081,Cheapcoin,?,$0.000126,?,*,Low Vol,0.56%,?
BLAS,502,BlakeStar,"$115,804",$0.000461,"251,444,272","$1,507",0.64%,16.77%,41.23%
CSNO,194,BitDice,"$12,038,110",$0.171973,"70,000,000",*,"$93,566",-1.81%,6.39%
EOS,25,EOS,"$235,564,179",$0.634970,"370,984,738",*,"$11,470,600",0.76%,12.10%
SIB,143,SIBCoin,"$20,770,179",$1.34,"15,515,881","$297,524",-0.29%,0.30%,26.46%
JWL,754,Jewels,"$49,098",$0.002433,"20,181,636",*,Low Vol,0.58%,?
GAIN,1096,UGAIN,?,$0.000461,?,Low Vol,0.57%,-54.46%,-10.63%
DLISK,812,DAPPSTER,"$25,079",$0.000251,"100,000,000",*,Low Vol,0.23%,6.72%
EOT,392,EOT Token,"$1,147,465",$0.458986,"2,500,000",*,"$4,488",0.60%,19.87%
ACES,1023,Aces,?,$0.000322,?,*,Low Vol,0.56%,308.35%
UNIFY,414,Unify,"$849,769",$0.047957,"17,719,276","$13,019",-2.18%,9.71%,41.97%
GAIA,609,GAIA,"$305,213",$0.012664,"24,101,381",*,Low Vol,?,4.30%
XBC,244,Bitcoin Plus,"$6,565,202",$64.99,"101,023",*,"$68,107",0.09%,4.56%
MAVRO,1076,Mavro,?,$0.005746,?,Low Vol,0.58%,8.66%,12.17%
LTH,1100,LAthaan,?,$0.000286,?,Low Vol,?,4.25%,-6.70%
KRONE,539,Kronecoin,"$33,582",$0.016727,"2,007,658","$1,499",6.72%,12.13%,26.76%
MONA,125,MonaCoin,"$25,149,112",$0.463720,"54,233,400","$58,679",-0.17%,1.99%,-4.04%
CYDER,970,Cyder,?,$0.000461,?,*,$652,0.56%,27.02%
SPR,162,SpreadCoin,"$16,328,498",$1.85,"8,824,021","$84,350",-2.99%,1.45%,-15.93%
BLITZ,250,Blitzcash,"$6,099,664",$1.49,"4,091,428",*,"$63,266",-2.45%,7.09%
OPES,1089,Opescoin,?,$0.001258,?,Low Vol,0.58%,10.78%,1.53%
MANA,890,Decentraland,?,$0.015497,?,*,"$332,830",0.62%,-1.46%
TAG,454,TagCoin,"$397,151",$0.069204,"5,738,826",$635,0.56%,33.20%,-10.99%
LDOGE,400,LiteDoge,"$1,003,327",$0.000068,"14,851,801,505",*,"$2,507",-1.91%,5.96%
EXL,1008,Excelcoin,?,$0.001174,?,Low Vol,0.58%,66.56%,?
TAJ,795,TajCoin,"$33,120",$0.004564,"7,256,886",Low Vol,0.49%,9.84%,0.14%
VOYA,935,Voyacoin,?,$4.31,?,"$4,135",-6.18%,-31.84%,13.24%
CPC,382,Capricoin,"$1,252,574",$0.629420,"1,990,045",*,"$52,357",1.22%,5.20%
PWR,877,Powercoin,"$2,097",$0.000042,"49,983,870",Low Vol,0.57%,7.09%,6.44%
XPM,317,Primecoin,"$3,050,490",$0.147040,"20,745,990","$1,012,450",-0.71%,9.35%,15.02%
GP,527,GoldPieces,"$63,611",$0.052133,"1,220,161",*,"$1,277",-14.02%,12.11%
XPTX,481,PlatinumBAR,"$191,976",$0.640795,"299,591","$4,235",14.13%,10.53%,-3.31%
IXC,565,Ixcoin,"$1,356,657",$0.064605,"20,999,088",*,Low Vol,-0.16%,2.17%
XPA,166,XPlay,"$15,596,300",$0.015596,"1,000,000,000",*,"$8,749",1.43%,7.62%
CCRB,385,CryptoCarbon,"$1,228,551",$0.344894,"3,562,111",*,"$25,184",-1.57%,-0.58%
NOBL,587,NobleCoin,"$554,727",$0.000241,"2,305,272,320",Low Vol,5.88%,51.56%,7.48%
PRIMU,1032,Primulon,?,$0.000101,?,Low Vol,0.57%,-13.81%,-26.63%
XPY,647,PayCoin,"$162,420",$0.013761,"11,802,509",Low Vol,0.56%,-3.39%,1.24%
FEDS,1126,FedoraShare,?,$0.000005,?,*,?,?,-52.24%
MIOTA,10,IOTA,"$1,531,885,304",$0.551131,"2,779,530,283",*,"$13,513,100",0.55%,5.87%
FID,999,BITFID,?,$0.125834,?,*,Low Vol,0.57%,6.11%
FIMK,431,FIMKrypto,"$629,258",$0.001091,"577,004,618",*,$820,0.56%,3.33%
BYC,394,Bytecent,"$1,109,782",$0.619060,"1,792,689","$8,872",-1.01%,7.48%,9.48%
IXT,198,iXledger,"$11,562,076",$0.323154,"35,778,844",*,"$105,506",2.36%,6.03%
BTCD,49,BitcoinDark,"$128,621,486",$99.79,"1,288,862","$47,549",0.31%,7.08%,6.50%
JNS,352,Janus,"$2,065,722",$0.095304,"21,675,059",*,$576,0.48%,24.64%
UNITS,678,GameUnits,"$114,062",$0.032843,"3,472,983",*,Low Vol,0.58%,3.82%
MAR,756,Marijuanacoin,"$47,526",$0.037888,"1,254,374",Low Vol,0.41%,7.18%,-1.02%
SNC,304,SunContract,"$3,691,779",$0.035257,"104,712,011",*,"$238,644",-0.24%,-5.39%
XBL,406,Billionaire T...,"$902,428",$0.272195,"3,315,372",*,"$33,425",3.77%,-13.35%
SNGLS,54,SingularDTV,"$105,370,200",$0.175617,"600,000,000",*,"$766,463",0.11%,-3.31%
MAX,575,MaxCoin,"$749,535",$0.012416,"60,370,429",Low Vol,5.56%,13.84%,-39.49%
