symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,178,XtraBYtes,"$10,729,745 ",$0.016507,"650,000,000",*,"$20,660",1.70%,-8.22%
CPN,693,CompuCoin,"$59,999 ",$0.003059,"19,615,019",Low Vol,-1.86%,-15.54%,-27.92%
CHEAP,1000,Cheapcoin,? ,$0.000085,?,*,Low Vol,-0.50%,-4.09%
BLAS,442,BlakeStar,"$246,128 ",$0.001005,"244,795,920","$20,008",2.85%,-18.04%,154.28%
CPC,370,Capricoin,"$955,265 ",$0.480022,"1,990,045",*,"$41,386",-2.54%,-5.49%
EOS,17,EOS,"$424,932,355 ",$1.46,"291,464,796",*,"$26,127,400",-0.73%,-4.99%
SIB,141,SIBCoin,"$16,188,099 ",$1.06,"15,241,883","$50,642",-1.66%,-1.17%,-23.47%
JWL,699,Jewels,"$56,588 ",$0.002804,"20,181,636",*,Low Vol,2.29%,11.05%
GAIN,1004,UGAIN,? ,$0.000765,?,Low Vol,-0.50%,183.20%,333.74%
DLISK,787,DAPPSTER,"$17,371 ",$0.000174,"100,000,000",*,Low Vol,?,?
MONETA,904,Moneta,? ,$0.000382,?,"$1,186",-0.50%,23.32%,51.94%
ACES,1005,Aces,? ,$0.000085,?,*,Low Vol,-0.50%,1.62%
UNIFY,429,Unify,"$295,754 ",$0.017500,"16,899,752","$7,459",-6.22%,5.48%,-24.68%
GAIA,572,GAIA,"$310,245 ",$0.012873,"24,101,381",*,Low Vol,-0.49%,-27.05%
XBC,205,Bitcoin Plus,"$7,801,824 ",$78.36,"99,569",*,"$458,983",-1.41%,9.58%
XBB,242,Boolberry,"$4,977,537 ",$0.522166,"9,532,480","$39,301",-1.88%,-14.22%,37.13%
MAVRO,1014,Mavro,? ,$0.008199,?,Low Vol,-0.50%,?,20.67%
LTH,998,LAthaan,? ,$0.000297,?,Low Vol,-0.50%,-4.09%,20.48%
MONA,128,MonaCoin,"$20,336,654 ",$0.381450,"53,314,075","$142,096",-1.26%,-0.21%,-8.10%
SPR,175,SpreadCoin,"$11,557,172 ",$1.35,"8,568,167","$31,843",-2.85%,-3.64%,15.29%
