symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
MIU,979,MIYUCoin,? ,$0.000046,?,Low Vol,0.47%,-1.43%,5.72%
XBY,201,XTRABYTES,"$10,539,155 ",$0.024974,"422,000,000",*,"$65,209",1.42%,-7.57%
CPN,513,CompuCoin,"$69,938 ",$0.003566,"19,615,019","$2,558",-6.56%,5.35%,6.47%
CHEAP,966,Cheapcoin,? ,$0.000138,?,*,Low Vol,0.47%,-1.43%
BLAS,474,BlakeStar,"$191,016 ",$0.000772,"247,399,072","$3,559",2.25%,12.11%,14.77%
CPC,388,Capricoin,"$1,143,010 ",$0.574364,"1,990,045",*,"$102,029",3.87%,9.88%
EOS,20,EOS,"$402,021,983 ",$1.24,"323,439,196",*,"$23,117,100",1.03%,-2.22%
SIB,145,SIBCoin,"$20,549,559 ",$1.34,"15,359,448","$228,578",0.16%,7.92%,19.07%
JWL,741,Jewels,"$45,419 ",$0.002250,"20,181,636",*,Low Vol,0.45%,14.86%
GAIN,1049,UGAIN,? ,$0.000781,?,Low Vol,0.47%,86.12%,-5.69%
DLISK,804,DAPPSTER,"$22,975 ",$0.000230,"100,000,000",*,Low Vol,-16.28%,-17.89%
EOT,874,EOT Token,? ,$1.47,?,*,"$105,093",-23.01%,-21.31%
ACES,1053,Aces,? ,$0.000092,?,*,Low Vol,0.47%,-1.43%
UNIFY,408,Unify,"$797,530 ",$0.045874,"17,385,378","$9,147",3.62%,-4.34%,107.00%
GAIA,556,GAIA,"$831,818 ",$0.034513,"24,101,381",*,Low Vol,3.14%,1.81%
XBC,213,Bitcoin Plus,"$9,178,240 ",$91.60,"100,196",*,"$1,033,260",-0.80%,14.99%
XBB,336,Boolberry,"$2,455,042 ",$0.257545,"9,532,480","$105,199",0.47%,-1.47%,13.25%
MAVRO,1048,Mavro,? ,$0.006709,?,Low Vol,0.47%,24.06%,-15.38%
LTH,1064,LAthaan,? ,$0.000367,?,Low Vol,0.42%,31.27%,5.65%
MONA,122,MonaCoin,"$26,992,921 ",$0.502860,"53,678,800","$163,852",2.56%,2.65%,-4.51%
SPR,137,SpreadCoin,"$22,629,898 ",$2.61,"8,685,134","$154,422",-0.83%,-2.72%,-5.93%
BLITZ,220,Blitzcash,"$7,961,627 ",$1.95,"4,085,316",*,"$95,769",6.43%,6.25%
OPES,1057,Opescoin,? ,$0.001424,?,Low Vol,0.47%,13.13%,24.15%
TAG,352,TagCoin,"$2,152,714 ",$0.378180,"5,692,300","$32,555",-1.21%,-1.71%,-2.91%
LDOGE,364,LiteDoge,"$1,786,087 ",$0.000120,"14,835,838,003",*,"$9,443",0.36%,28.63%
EXL,953,Excelcoin,? ,$0.001562,?,Low Vol,0.41%,-21.76%,-23.09%
TAJ,800,TajCoin,"$23,891 ",$0.003439,"6,946,327",Low Vol,0.54%,-12.36%,-24.03%
SNAKE,959,SnakeEyes,? ,$0.083114,?,*,Low Vol,3.52%,9.16%
PWR,844,Powercoin,"$2,297 ",$0.000046,"49,983,870",Low Vol,0.47%,-1.43%,5.69%
XPM,219,Primecoin,"$8,026,918 ",$0.391837,"20,485,350","$298,915",-0.24%,-4.28%,-22.54%
AGLC,490,AgrolifeCoin,"$123,468 ",$0.020218,"6,106,940",*,$993,0.47%,478.27%
BTCS,465,Bitcoin Scrypt,"$228,415 ",$0.014026,"16,284,663","$1,511",0.45%,7.48%,5.00%
IXC,367,Ixcoin,"$1,724,065 ",$0.082102,"20,999,088",*,"$1,171",2.24%,-2.40%
MTLMC3,751,Metal Music Coin,"$40,293 ",$0.000505,"79,719,140",Low Vol,0.47%,-1.46%,20.98%
PLU,191,Pluton,"$12,320,913 ",$14.50,"850,000",*,"$133,947",0.48%,1.87%
NOBL,560,NobleCoin,"$734,435 ",$0.000319,"2,301,855,623",Low Vol,1.26%,13.63%,46.97%
PRIMU,1015,Primulon,? ,$0.000184,?,Low Vol,0.41%,13.34%,22.84%
XPY,609,PayCoin,"$216,829 ",$0.018384,"11,794,234",**,Low Vol,0.40%,0.60%
FEDS,862,FedoraShare,? ,$0.000019,?,*,"$785,077",0.00%,-0.01%
MIOTA,8,IOTA,"$2,007,654,723 ",$0.722300,"2,779,530,283",*,"$35,210,400",1.60%,2.88%
FID,863,BITFID,? ,$0.188252,?,*,"$753,250",0.13%,-1.30%
FIMK,389,FIMKrypto,"$1,087,031 ",$0.001884,"577,004,618",*,"$1,279",21.75%,15.97%
BYC,384,Bytecent,"$1,228,278 ",$0.698749,"1,757,824","$13,780",1.76%,-1.05%,13.02%
IXT,160,iXledger,"$18,164,883 ",$0.507699,"35,778,844",*,"$198,261",7.04%,-10.13%
BTCD,58,BitcoinDark,"$114,726,650 ",$89.01,"1,288,862","$1,915,550",-6.79%,45.58%,48.23%
JNS,543,Janus,"$2,223,201 ",$0.105100,"21,153,198",*,Low Vol,-0.06%,-13.44%
UNITS,660,GameUnits,"$112,709 ",$0.032453,"3,472,983",*,Low Vol,0.47%,-15.47%
MAR,672,Marijuanacoin,"$97,534 ",$0.083596,"1,166,737",Low Vol,0.49%,-1.10%,28.65%
SNC,272,SunContract,"$5,153,453 ",$0.050014,"103,039,388",*,"$70,047",-5.17%,-12.77%
SNGLS,68,SingularDTV,"$83,641,200 ",$0.139402,"600,000,000",*,"$607,567",0.12%,-4.90%
