symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,240,XTRABYTES,"$7,882,047",$0.018524,"425,500,000",*,"$61,904",-3.85%,-20.64%
CPN,818,CompuCoin,"$43,296",$0.002207,"19,615,019",Low Vol,3.25%,-15.10%,-16.55%
B2X,931,SegWit2x (Pre...,?,$891.93,?,"$4,352,430",0.23%,?,?
CHEAP,1115,Cheapcoin,?,$0.000552,?,*,Low Vol,0.45%,89.62%
BLAS,500,BlakeStar,"$349,524",$0.001434,"243,660,586","$10,935",5.64%,-7.67%,-62.86%
CSNO,202,BitDice,"$11,490,290",$0.164147,"70,000,000",*,"$89,082",8.56%,-3.36%
EOS,26,EOS,"$219,736,749",$0.524746,"418,748,784",*,"$6,756,170",0.54%,-7.45%
SIB,152,SIBCoin,"$18,908,681",$1.21,"15,658,585","$61,697",0.20%,-5.37%,-13.89%
JWL,820,Jewels,"$42,095",$0.002086,"20,181,636",*,Low Vol,3.47%,5.35%
GAIN,1123,UGAIN,?,$0.000719,?,Low Vol,15.11%,33.05%,25.76%
DLISK,867,DAPPSTER,"$24,539",$0.000245,"100,000,000",*,Low Vol,0.41%,?
EOT,374,EOT Token,"$2,110,842",$0.255522,"8,260,903",*,"$6,049",-1.38%,-24.22%
ACES,1059,Aces,?,$0.000136,?,*,Low Vol,0.42%,-16.37%
NYC,376,NewYorkCoin,"$2,016,950",$0.000016,"129,032,781,759","$18,056",0.33%,22.54%,380.55%
GAIA,637,GAIA,"$480,531",$0.019938,"24,101,381",*,Low Vol,0.43%,75.17%
XBC,311,Bitcoin Plus,"$3,935,730",$38.63,"101,884",*,"$55,986",-3.20%,-10.51%
MAVRO,1179,Mavro,?,$0.006668,?,Low Vol,?,?,-5.24%
LTH,1076,LAthaan,?,$0.000429,?,Low Vol,0.43%,5.52%,7.67%
KRONE,570,Kronecoin,"$27,210",$0.010271,"2,649,206","$1,727",3.24%,-1.63%,-37.25%
