symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
MIU,1144,MIYUCoin,?,$0.000057,?,Low Vol,?,?,?
XBY,238,XTRABYTES,"$8,032,500",$0.018900,"425,000,000",*,"$100,128",-0.28%,16.47%
CPN,783,CompuCoin,"$58,894",$0.003003,"19,615,019",Low Vol,0.07%,-9.47%,38.70%
CHEAP,1000,Cheapcoin,?,$0.000283,?,*,"$1,542",-59.74%,-44.76%
BLAS,487,BlakeStar,"$427,551",$0.001756,"243,509,146","$15,781",2.20%,-0.25%,-52.44%
CSNO,208,BitDice,"$11,490,850",$0.164155,"70,000,000",*,"$87,984",0.05%,8.92%
EOS,26,EOS,"$240,717,446",$0.579526,"415,369,536",*,"$7,440,910",0.02%,6.06%
SIB,152,SIBCoin,"$20,397,710",$1.30,"15,647,335","$53,530",-0.29%,2.02%,-6.29%
JWL,829,Jewels,"$37,761",$0.001871,"20,181,636",*,Low Vol,0.15%,4.25%
GAIN,1105,UGAIN,?,$0.000623,?,Low Vol,0.05%,?,-19.64%
DLISK,836,DAPPSTER,"$33,991",$0.000340,"100,000,000",*,Low Vol,0.07%,?
EOT,326,EOT Token,"$3,339,560",$0.408244,"8,180,303",*,"$18,527",0.87%,18.79%
ACES,1117,Aces,?,$0.000127,?,*,Low Vol,0.06%,68.53%
UNIFY,396,Unify,"$1,491,641",$0.084086,"17,739,365",*,"$13,328",2.05%,-11.91%
GAIA,637,GAIA,"$354,729",$0.014718,"24,101,381",*,Low Vol,0.02%,-9.02%
XBC,298,Bitcoin Plus,"$4,407,555",$43.30,"101,802",*,"$38,667",-1.18%,-2.89%
MAVRO,1175,Mavro,?,$0.006668,?,Low Vol,?,0.28%,-3.92%
LTH,1169,LAthaan,?,$0.000391,?,Low Vol,?,?,?
KRONE,848,Kronecoin,"$29,031",$0.011154,"2,602,756",Low Vol,0.08%,3.13%,-31.27%
MONA,34,MonaCoin,"$174,625,829",$3.19,"54,733,575","$6,971,080",0.64%,20.77%,25.96%
CYDER,1019,Cyder,?,$0.000736,?,*,$569,44.54%,4.79%
SPR,336,SpreadCoin,"$3,181,914",$0.355671,"8,946,229","$281,019",0.94%,-5.06%,-47.25%
BLITZ,294,Blitzcash,"$4,573,268",$1.12,"4,097,800",*,"$29,472",-0.96%,3.28%
OPES,1060,Opescoin,?,$0.001700,?,Low Vol,0.06%,6.26%,10.54%
MANA,120,Decentraland,"$29,009,939",$0.012759,"2,273,755,650",*,"$855,883",6.23%,19.23%
TAG,647,TagCoin,"$301,374",$0.052035,"5,791,708",Low Vol,0.08%,78.23%,-33.00%
LDOGE,441,LiteDoge,"$913,100",$0.000061,"14,866,174,008",*,"$2,415",5.55%,13.87%
EXL,1094,Excelcoin,?,$0.000340,?,Low Vol,0.07%,2.82%,113.71%
TAJ,815,TajCoin,"$45,519",$0.006064,"7,506,500",Low Vol,-10.90%,19.63%,14.61%
SNAKE,1035,SnakeEyes,?,$0.040400,?,*,Low Vol,18.05%,5.76%
BTCZ,465,BitcoinZ,"$650,675",$0.002377,"273,700,042","$8,558",2.18%,9.97%,-16.50%
CPC,429,Capricoin,"$1,045,406",$0.525318,"1,990,045",*,"$27,844",0.06%,3.03%
PWR,919,Powercoin,"$2,832",$0.000057,"49,983,870",Low Vol,0.08%,4.78%,6.85%
XPM,357,Primecoin,"$2,681,819",$0.127658,"21,007,838","$495,473",0.29%,12.97%,-6.45%
GP,727,GoldPieces,"$106,527",$0.087305,"1,220,161",*,Low Vol,0.06%,1.31%
BTCS,507,Bitcoin Scrypt,"$231,253",$0.014106,"16,393,625","$4,637",-3.43%,4.76%,16.50%
IXC,581,Ixcoin,"$1,767,035",$0.084148,"20,999,088",*,Low Vol,3.90%,43.34%
XPA,164,XPlay,"$18,660,000",$0.018660,"1,000,000,000",*,"$1,707",-0.10%,1.78%
MINEX,1015,Minex,?,$0.030026,?,*,$910,0.08%,-10.13%
CCRB,433,CryptoCarbon,"$1,001,683",$0.281205,"3,562,111",*,"$52,513",0.13%,-3.85%
NOBL,614,NobleCoin,"$523,101",$0.000227,"2,308,428,153",Low Vol,0.08%,4.79%,6.61%
PRIMU,1059,Primulon,?,$0.000133,?,Low Vol,-21.49%,-37.55%,-58.28%
XPY,668,PayCoin,"$205,400",$0.017392,"11,810,123",Low Vol,0.07%,4.78%,-0.26%
MIOTA,11,IOTA,"$1,187,265,242",$0.427146,"2,779,530,283",*,"$12,208,200",-0.66%,-3.41%
FID,1043,BITFID,?,$0.169954,?,*,Low Vol,0.06%,?
AION,942,Aion,?,$0.784678,?,*,"$176,812",-2.23%,29.82%
TEK,732,TEKcoin,"$100,766",$0.000071,"1,414,054,562",Low Vol,-51.99%,-51.73%,-29.55%
FIMK,458,FIMKrypto,"$719,138",$0.001246,"577,004,618",*,$616,3.19%,5.72%
BYC,432,Bytecent,"$1,012,241",$0.554559,"1,825,307","$57,163",1.33%,-1.56%,-0.26%
IXT,264,iXledger,"$6,284,912",$0.175660,"35,778,844",*,"$75,482",-1.32%,-6.98%
BTCD,59,BitcoinDark,"$107,770,918",$83.62,"1,288,862","$123,914",-1.74%,1.83%,-1.17%
JNS,363,Janus,"$2,431,623",$0.106698,"22,789,769",*,"$1,789",0.08%,3.64%
