symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
MIU,1162,MIYUCoin,?,$0.000060,?,Low Vol,?,?,7.83%
XBY,227,XTRABYTES,"$8,764,950",$0.020575,"426,000,000",*,"$64,361",0.17%,5.58%
CPN,815,CompuCoin,"$41,054",$0.002093,"19,615,019",Low Vol,0.09%,-7.69%,-18.21%
B2X,936,SegWit2x [Fut...,?,$905.68,?,"$575,981",2.08%,1.13%,?
CHEAP,1071,Cheapcoin,?,$0.000233,?,*,Low Vol,0.02%,-57.70%
BLAS,497,BlakeStar,"$311,615",$0.001278,"243,780,346","$4,392",-2.58%,-9.76%,-63.39%
CSNO,195,BitDice,"$12,520,550",$0.178865,"70,000,000",*,"$72,068",0.69%,15.77%
EOS,26,EOS,"$216,534,997",$0.515307,"420,205,813",*,"$6,519,660",-0.08%,-1.14%
SIB,158,SIBCoin,"$17,785,012",$1.14,"15,664,232","$34,470",-0.49%,-6.04%,-12.24%
JWL,807,Jewels,"$43,412",$0.002151,"20,181,636",*,Low Vol,-0.03%,6.70%
GAIN,1076,UGAIN,?,$0.000645,?,Low Vol,0.09%,3.09%,11.44%
DLISK,829,DAPPSTER,"$34,882",$0.000349,"100,000,000",*,Low Vol,49.63%,37.97%
EOT,370,EOT Token,"$1,943,196",$0.235228,"8,260,903",*,"$19,467",-3.37%,-15.43%
ACES,1120,Aces,?,$0.000116,?,*,Low Vol,-0.03%,-13.83%
NYC,392,NewYorkCoin,"$1,468,909",$0.000011,"129,032,781,759","$9,322",-6.26%,-26.94%,256.94%
GAIA,613,GAIA,"$472,809",$0.019617,"24,101,381",*,Low Vol,?,-1.19%
XBC,306,Bitcoin Plus,"$3,882,691",$38.07,"101,980",*,"$39,460",-1.86%,-5.88%
MAVRO,1118,Mavro,?,$0.007267,?,Low Vol,-0.03%,?,5.86%
LTH,1130,LAthaan,?,$0.000407,?,Low Vol,-0.03%,-4.83%,5.23%
KRONE,552,Kronecoin,"$27,660",$0.010334,"2,676,724","$1,071",3.14%,6.76%,-16.58%
MONA,37,MonaCoin,"$160,889,118",$2.94,"54,795,200","$1,894,730",5.17%,9.93%,-9.86%
CYDER,1040,Cyder,?,$0.000581,?,*,Low Vol,-0.03%,5.74%
SPR,325,SpreadCoin,"$3,343,628",$0.373131,"8,961,004","$199,966",3.05%,-7.97%,-6.56%
BLITZ,302,Blitzcash,"$4,124,751",$1.01,"4,097,992",*,"$128,907",8.11%,6.43%
OPES,1091,Opescoin,?,$0.001628,?,Low Vol,-0.02%,-4.83%,?
MANA,135,Decentraland,"$22,116,230",$0.009727,"2,273,755,650",*,"$456,742",-1.29%,-8.10%
