symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,169,XTRABYTES,"$13,463,710 ",$0.020713,"650,000,000",*,"$53,152",-5.59%,-7.89%
CPN,711,CompuCoin,"$55,722 ",$0.002841,"19,615,019",Low Vol,-4.79%,-12.22%,-10.68%
CHEAP,1026,Cheapcoin,? ,$0.000041,?,*,Low Vol,-0.63%,-66.51%
BLAS,482,BlakeStar,"$105,508 ",$0.000430,"245,643,360","$2,394",-2.27%,-11.96%,-63.53%
CPC,376,Capricoin,"$966,800 ",$0.485818,"1,990,045",*,"$24,129",-1.86%,0.14%
EOS,18,EOS,"$422,402,366 ",$1.40,"301,440,373",*,"$36,635,200",-0.51%,9.48%
SIB,157,SIBCoin,"$15,956,860 ",$1.04,"15,275,716","$41,678",-0.16%,-0.38%,-10.13%
JWL,741,Jewels,"$37,390 ",$0.001853,"20,181,636",*,Low Vol,-0.63%,2.76%
XDE2,1044,XDE II,? ,$2.45,?,*,Low Vol,-0.63%,21.57%
DLISK,787,DAPPSTER,"$20,586 ",$0.000206,"100,000,000",*,Low Vol,-0.63%,-16.27%
MONETA,987,Moneta,? ,$0.000288,?,Low Vol,-0.63%,0.48%,-7.87%
ACES,1006,Aces,? ,$0.000134,?,*,Low Vol,-0.63%,-19.43%
UNIFY,427,Unify,"$374,718 ",$0.021711,"17,259,753","$15,861",-6.65%,21.85%,30.16%
GAIA,589,GAIA,"$248,196 ",$0.010298,"24,101,381",*,Low Vol,-0.56%,?
XBC,210,Bitcoin Plus,"$7,399,235 ",$74.14,"99,806",*,"$195,450",-0.38%,5.89%
XBB,313,Boolberry,"$2,214,662 ",$0.232328,"9,532,480","$198,272",-3.57%,-13.13%,-64.65%
MAVRO,1043,Mavro,? ,$0.007040,?,Low Vol,-0.63%,-24.33%,52.40%
LTH,1064,LAthaan,? ,$0.000328,?,Low Vol,?,0.12%,?
MONA,126,MonaCoin,"$21,700,173 ",$0.406110,"53,434,225","$87,913",-0.44%,0.06%,0.73%
SPR,165,SpreadCoin,"$14,343,127 ",$1.66,"8,623,399","$161,430",-7.45%,17.95%,21.30%
BLITZ,241,Blitzcash,"$5,467,290 ",$1.34,"4,082,596",*,"$30,106",3.81%,12.72%
OPES,1028,Opescoin,? ,$0.001276,?,Low Vol,-0.65%,?,14.79%
TAG,315,TagCoin,"$2,185,723 ",$0.385627,"5,667,971","$90,156",-2.09%,1.72%,-9.74%
LDOGE,377,LiteDoge,"$964,342 ",$0.000065,"14,828,806,502",*,"$1,315",-1.73%,-8.65%
EXL,900,Excelcoin,? ,$0.002017,?,"$3,475",35.25%,-29.15%,-63.17%
TAJ,773,TajCoin,"$24,699 ",$0.003605,"6,851,168",Low Vol,-3.34%,1.93%,-36.71%
VOYA,866,Voyacoin,? ,$3.46,?,"$76,133",160.53%,163.63%,134.05%
PWR,835,Powercoin,"$2,058 ",$0.000041,"49,983,870",Low Vol,-0.63%,0.48%,-4.64%
XPM,212,Primecoin,"$7,245,646 ",$0.355976,"20,354,310","$480,931",-0.27%,7.77%,1.09%
GP,873,Goldpay Coin,? ,$0.004461,?,*,"$41,533",-0.20%,-0.95%
BTCS,449,Bitcoin Scrypt,"$229,888 ",$0.014122,"16,278,725","$2,026",16.69%,48.54%,123.44%
IXC,339,Ixcoin,"$1,692,083 ",$0.080579,"20,999,088",*,"$1,339",-0.60%,10.28%
MTLMC3,745,Metal Music Coin,"$36,103 ",$0.000453,"79,719,140",Low Vol,6.27%,14.74%,20.35%
MINEX,887,Minex,? ,$0.565707,?,*,"$10,474",68.82%,75.66%
PLU,196,Pluton,"$8,916,920 ",$10.49,"850,000",*,"$131,290",-0.56%,-8.12%
NOBL,405,NobleCoin,"$661,573 ",$0.000288,"2,300,385,694",$708,-0.52%,1.78%,22.21%
PRIMU,928,Primulon,? ,$0.000165,?,Low Vol,-33.21%,-3.43%,-30.13%
XPY,568,PayCoin,"$410,818 ",$0.034995,"11,739,223",**,Low Vol,-0.65%,133.35%
