symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
Mercury,326,MER,MER,"$3,553,540",$0.035535,"100,000,000",*,"$33,208",0.82%
Scorecoin,515,SCORE,SCORE,"$372,644",$0.012280,"30,346,591","$1,332",8.60%,5.69%
LIFE,1004,LIFE,LIFE,?,$0.000083,?,*,"$26,930",0.29%
Compcoin,146,CMP,CMP,"$20,269,094",$4.71,"4,304,468","$86,610",-0.64%,-1.23%
Monetha,169,MTH,MTH,"$16,172,093",$0.074588,"216,819,832",*,"$424,349",0.31%
Cyder,1099,CYDER,CYDER,?,$0.000185,?,*,Low Vol,0.47%
FedoraCoin,418,TIPS,TIPS,"$1,227,354",$0.000003,"443,168,182,458",$650,-0.30%,-73.21%
BitDice,170,CSNO,CSNO,"$15,956,360",$0.227948,"70,000,000",*,"$124,046",0.43%
EOS,23,EOS,EOS,"$298,244,458",$0.681550,"437,597,327",*,"$22,965,000",-2.70%
Bowhead,616,AHT,AHT,"$925,400",$0.115675,"8,000,000",*,Low Vol,0.03%
Ethereum Gold,481,ETG,ETG,"$593,480",$0.049457,"12,000,000",*,"$189,380",0.57%
DomRaider,982,DRT,DRT,?,$0.046123,?,*,"$91,517",-0.47%
Populous,41,PPT,PPT,"$147,741,206",$3.58,"41,252,246",*,"$241,973",4.68%
RouletteToken,488,RLT,RLT,"$558,274",$0.055151,"10,122,697",*,"$7,762",6.74%
BlackCoin,187,BLK,BLK,"$14,428,460",$0.188708,"76,459,184",*,"$235,541",0.94%
Monero,10,XMR,XMR,"$1,379,695,083",$90.26,"15,286,278","$33,374,100",0.86%,3.37%
Zilbercoin,1054,ZBC,ZBC,?,$0.040315,?,*,"$1,182",0.36%
BT1 [CST],966,BT1,BT1,?,$5196.44,?,*,"$334,754",0.23%
Sativacoin,767,STV,STV,"$75,030",$0.010589,"7,085,364",Low Vol,0.47%,12.70%
High Voltage,901,HVCO,HVCO,"$15,768",$0.010553,"1,494,171",*,Low Vol,0.44%
Royalties,1225,XRY,XRY,?,$0.047937,?,Low Vol,?,?
LTBcoin,743,LTBC,LTBC,"$93,177",$0.000189,"493,863,915",*,Low Vol,?
Unobtanium,206,UNO,UNO,"$11,643,354",$58.85,"197,834","$9,171",-1.66%,-0.09%
CrevaCoin,890,CREVA,CREVA,"$20,212",$0.000555,"36,390,750",Low Vol,0.47%,-8.72%
AudioCoin,431,ADC,ADC,"$1,095,232",$0.001328,"824,741,470","$4,447",0.43%,-6.72%
MACRON,808,MCRN,MCRN,"$52,136",$0.000130,"401,421,401",*,Low Vol,0.56%
OctoCoin,741,888,888,"$96,251",$0.001924,"50,023,900",Low Vol,0.76%,-9.32%
Substratum,116,SUB,SUB,"$30,677,218",$0.135685,"226,091,449",*,"$456,639",3.89%
eREAL,1059,EREAL,EREAL,?,$0.001485,?,*,"$1,065",-0.13%
AdShares,610,ADST,ADST,"$1,301,789",$0.107644,"12,093,469",*,Low Vol,0.48%
PlayerCoin,578,PLACO,PLACO,"$58,520",$0.001666,"35,120,000","$42,547",-5.40%,?
BriaCoin,459,BRIA,BRIA,"$752,652",$1.61,"466,984",*,"$4,931",0.37%
Aces,1071,ACES,ACES,?,$0.000123,?,*,$572,0.48%
Hedge,285,HDG,HDG,"$5,542,624",$1.49,"3,709,674",*,"$117,241",3.44%
Deutsche eMark,531,DEM,DEM,"$262,164",$0.009433,"27,793,416",$513,0.89%,0.97%
KushCoin,721,KUSH,KUSH,"$121,889",$0.022383,"5,445,524",Low Vol,0.44%,7.26%
PoSToken,489,POS,POS,"$555,348",$0.959213,"578,962",*,"$4,692",-0.29%
Darcrus,410,DAR,DAR,"$1,355,597",$0.099673,"13,600,388",*,"$2,338",0.52%
EarthCoin,624,EAC,EAC,"$710,339",$0.000062,"11,468,445,137",Low Vol,0.43%,2.35%
Bismuth,386,BIS,BIS,"$1,901,846",$0.389199,"4,886,565","$22,728",1.08%,11.39%
Po.et,219,POE,POE,"$10,515,212",$0.004922,"2,136,283,004",*,"$13,603",0.34%
Peacecoin,1083,PEC,PEC,?,$0.003579,?,*,Low Vol,0.44%
Renos,609,RNS,RNS,"$1,319,523",$0.039559,"33,356,077",*,Low Vol,0.44%
Golfcoin,1116,GOLF,GOLF,?,$0.000062,?,Low Vol,0.47%,6.17%
