symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
XBY,245,XTRABYTES,"$6,651,718",$0.015651,"425,000,000",*,"$82,053",1.87%,0.60%
CPN,761,CompuCoin,"$47,142",$0.002403,"19,615,019",Low Vol,-1.36%,-2.95%,16.45%
CHEAP,1096,Cheapcoin,?,$0.000126,?,*,Low Vol,0.37%,25.35%
BLAS,497,BlakeStar,"$178,816",$0.000711,"251,548,672","$6,143",23.61%,69.52%,134.50%
CSNO,179,BitDice,"$13,576,990",$0.193957,"70,000,000",*,"$108,275",6.95%,7.02%
EOS,23,EOS,"$274,163,558",$0.736998,"372,000,410",*,"$17,475,100",1.62%,20.40%
SIB,145,SIBCoin,"$20,272,515",$1.31,"15,519,866","$200,915",0.24%,-8.22%,28.25%
JWL,757,Jewels,"$47,653",$0.002361,"20,181,636",*,Low Vol,0.36%,-0.28%
XDE2,948,XDE II,?,$1.48,?,*,"$2,360",-53.20%,?
DLISK,819,DAPPSTER,"$25,079",$0.000251,"100,000,000",*,Low Vol,?,2.37%
EOT,419,EOT Token,"$844,203",$0.337681,"2,500,000",*,"$1,790",-11.21%,-25.38%
ACES,1010,Aces,?,$0.000304,?,*,Low Vol,10.32%,-1.70%
UNIFY,423,Unify,"$819,840",$0.046267,"17,719,883","$8,818",-0.12%,5.64%,51.31%
GAIA,624,GAIA,"$273,302",$0.011340,"24,101,381",*,Low Vol,0.08%,-10.41%
XBC,239,Bitcoin Plus,"$6,964,890",$68.93,"101,041",*,"$93,219",-0.35%,7.87%
MAVRO,1069,Mavro,?,$0.006367,?,Low Vol,0.30%,15.52%,26.18%
LTH,1098,LAthaan,?,$0.000295,?,Low Vol,0.30%,3.27%,-2.41%
KRONE,548,Kronecoin,"$31,259",$0.015441,"2,024,458",$886,0.41%,6.78%,20.40%
MONA,126,MonaCoin,"$24,411,250",$0.449995,"54,247,825","$59,830",-0.64%,-2.41%,-5.27%
CYDER,922,Cyder,?,$0.001054,?,*,"$12,873",-13.53%,91.25%
SPR,168,SpreadCoin,"$15,385,647",$1.74,"8,827,360","$112,447",-0.51%,-5.69%,-15.17%
BLITZ,252,Blitzcash,"$6,102,654",$1.49,"4,091,649",*,"$36,487",0.94%,-0.46%
OPES,1111,Opescoin,?,$0.001273,?,Low Vol,?,3.97%,18.61%
MANA,156,Decentraland,"$18,198,255",$0.015831,"1,149,540,118",*,"$269,798",-0.60%,2.79%
TAG,611,TagCoin,"$363,529",$0.063345,"5,738,826",Low Vol,0.67%,-2.77%,-18.07%
LDOGE,409,LiteDoge,"$1,028,535",$0.000069,"14,852,212,005",*,"$4,234",4.77%,7.63%
