symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
Mercury,349,MER,MER,"$2,819,000",$0.028190,"100,000,000",*,"$29,351",-0.14%
Scorecoin,511,SCORE,SCORE,"$271,512",$0.008947,"30,346,591",$993,-0.17%,7.48%
LIFE,983,LIFE,LIFE,?,$0.000133,?,*,"$29,954",70.28%
Compcoin,160,CMP,CMP,"$17,343,169",$4.03,"4,300,176","$53,293",7.46%,-10.85%
Monetha,164,MTH,MTH,"$16,550,530",$0.076333,"216,819,832",*,"$156,586",-1.72%
Cyder,1071,CYDER,CYDER,?,$0.000173,?,*,Low Vol,-0.13%
ExchangeN,532,EXN,EXN,"$122,807",$0.024080,"5,100,000",*,"$9,122",-2.48%
BitDice,175,CSNO,CSNO,"$15,287,440",$0.218392,"70,000,000",*,"$112,890",2.52%
EOS,26,EOS,EOS,"$225,198,615",$0.526111,"428,043,920",*,"$5,326,480",0.53%
FUNCoin,646,FUNC,FUNC,"$311,586",$0.053275,"5,848,581",*,Low Vol,-0.13%
DomRaider,980,DRT,DRT,?,$0.038748,?,*,"$34,969",26.77%
Populous,39,PPT,PPT,"$168,826,467",$4.09,"41,252,246",*,"$218,780",5.87%
RouletteToken,463,RLT,RLT,"$586,581",$0.057947,"10,122,690",*,"$8,610",2.42%
BlackCoin,185,BLK,BLK,"$14,182,056",$0.185504,"76,451,483",*,"$181,495",0.59%
Monero,10,XMR,XMR,"$1,358,556,448",$88.97,"15,269,277","$57,587,900",-0.20%,2.57%
Zilbercoin,1036,ZBC,ZBC,?,$0.037136,?,*,$941,-0.13%
Sativacoin,750,STV,STV,"$81,544",$0.011509,"7,085,271",Low Vol,-0.10%,18.81%
High Voltage,896,HVCO,HVCO,"$13,721",$0.009183,"1,494,171",*,Low Vol,?
Royalties,1201,XRY,XRY,?,$0.047937,?,Low Vol,?,3.06%
LTBcoin,740,LTBC,LTBC,"$90,557",$0.000183,"493,863,915",*,Low Vol,-0.15%
Unobtanium,194,UNO,UNO,"$12,818,551",$64.80,"197,832","$18,878",0.92%,6.56%
CrevaCoin,872,CREVA,CREVA,"$23,035",$0.000633,"36,390,750",Low Vol,11.82%,3.57%
AudioCoin,397,ADC,ADC,"$1,597,825",$0.001938,"824,305,118","$4,580",-0.14%,14.93%
MACRON,754,MCRN,MCRN,"$80,640",$0.000201,"401,421,401",*,Low Vol,-0.13%
020LondonCoin,743,020,020,"$87,824",$5.6e-07,"156,617,850,248",Low Vol,0.20%,?
OctoCoin,753,888,888,"$81,174",$0.001623,"50,013,500",Low Vol,-0.26%,-5.57%
Substratum,115,SUB,SUB,"$30,821,691",$0.136324,"226,091,449",*,"$524,217",-0.47%
AdShares,589,ADST,ADST,"$1,067,720",$0.087191,"12,245,826",*,Low Vol,-0.18%
MikeTheMug,940,MUG,MUG,"$1,117",$0.001117,"1,000,000",*,?,?
BriaCoin,466,BRIA,BRIA,"$565,698",$1.25,"453,251",*,"$6,605",-0.13%
Aces,1063,ACES,ACES,?,$0.000115,?,*,Low Vol,99.76%
Hedge,250,HDG,HDG,"$7,634,621",$2.06,"3,709,674",*,"$450,274",-0.38%
iDice,491,ICE,ICE,"$397,226",$0.252847,"1,571,013",*,$987,-1.47%
KushCoin,702,KUSH,KUSH,"$127,680",$0.023447,"5,445,516",Low Vol,?,3.11%
PoSToken,443,POS,POS,"$876,774",$1.51,"578,962",*,"$1,819",0.03%
Darcrus,396,DAR,DAR,"$1,604,003",$0.117938,"13,600,388",*,"$5,674",-0.04%
EarthCoin,585,EAC,EAC,"$1,278,496",$0.000112,"11,463,760,638",Low Vol,29.80%,59.37%
Bismuth,378,BIS,BIS,"$1,991,950",$0.407638,"4,886,565","$13,052",0.60%,-2.56%
Po.et,219,POE,POE,"$10,390,261",$0.004864,"2,136,283,004",*,"$24,073",-4.58%
Peacecoin,1100,PEC,PEC,?,$0.002072,?,*,Low Vol,-0.13%
Renos,413,RNS,RNS,"$1,341,718",$0.040224,"33,356,077",*,$575,-0.09%
CacheCoin,543,CACH,CACH,"$65,771",$0.015678,"4,195,132","$1,231",-11.96%,-6.87%
Golfcoin,1179,GOLF,GOLF,?,$0.000055,?,Low Vol,?,-1.72%
DigitalDevelo...,496,DDF,DDF,"$354,342",$0.069230,"5,118,307",*,"$2,818",-15.88%
Ethereum,2,ETH,ETH,"$28,508,308,844",$299.04,"95,332,442","$251,946,000",0.11%,0.76%
HOdlcoin,678,HODL,HODL,"$171,819",$0.001208,"142,181,170",Low Vol,10.38%,10.24%
Spots,795,SPT,SPT,"$53,785",$0.002400,"22,406,021",Low Vol,-0.10%,-4.94%
Syscoin,48,SYS,SYS,"$135,074,577",$0.255614,"528,431,841","$6,081,270",4.33%,29.05%
Tattoocoin (L...,1193,TLE,TLE,?,$0.110689,?,*,Low Vol,?
LinkedCoin,1109,LKC,LKC,?,$0.000115,?,Low Vol,-0.13%,3.58%
