symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
MIU,1097,MIYUCoin,? ,$0.000048,?,Low Vol,?,6.81%,4.42%
XBY,204,XTRABYTES,"$9,885,359 ",$0.023397,"422,500,000",*,"$89,553",-0.88%,6.47%
CPN,700,CompuCoin,"$72,846 ",$0.003714,"19,615,019",Low Vol,-0.23%,5.76%,1.25%
CHEAP,1068,Cheapcoin,? ,$0.000091,?,*,Low Vol,-0.23%,0.59%
BLAS,489,BlakeStar,"$124,322 ",$0.000501,"247,990,192","$1,402",2.28%,-5.14%,-14.06%
CPC,381,Capricoin,"$1,264,282 ",$0.635303,"1,990,045",*,"$195,190",0.85%,1.73%
EOS,28,EOS,"$300,841,430 ",$0.909482,"330,783,270",*,"$20,915,900",2.52%,-6.79%
SIB,143,SIBCoin,"$20,273,924 ",$1.32,"15,382,224","$780,916",-2.06%,-26.47%,17.61%
JWL,754,Jewels,"$37,548 ",$0.001861,"20,181,636",*,Low Vol,0.01%,0.78%
XDE2,1017,XDE II,? ,$1.51,?,*,Low Vol,3.73%,8.28%
DLISK,801,DAPPSTER,"$21,577 ",$0.000216,"100,000,000",*,Low Vol,?,?
EOT,367,EOT Token,"$1,800,503 ",$0.720201,"2,500,000",*,"$24,400",0.49%,-29.34%
ACES,979,Aces,? ,$0.000309,?,*,Low Vol,-0.09%,180.01%
UNIFY,417,Unify,"$643,076 ",$0.036990,"17,385,378","$2,218",-1.22%,4.78%,-23.58%
GAIA,566,GAIA,"$604,441 ",$0.025079,"24,101,381",*,Low Vol,57.16%,111.63%
XBC,212,Bitcoin Plus,"$8,488,333 ",$84.65,"100,280",*,"$176,166",2.32%,1.75%
XBB,337,Boolberry,"$2,424,548 ",$0.254346,"9,532,480","$103,892",0.03%,0.78%,5.93%
MAVRO,1102,Mavro,? ,$0.005676,?,Low Vol,?,2.49%,-11.39%
LTH,1060,LAthaan,? ,$0.000363,?,Low Vol,0.03%,0.79%,19.56%
KRONE,894,Kronecoin,? ,$0.035251,?,"$20,490",9.80%,-23.66%,?
MONA,111,MonaCoin,"$30,329,696 ",$0.564164,"53,760,425","$608,861",-0.78%,9.36%,18.51%
SPR,156,SpreadCoin,"$16,643,611 ",$1.91,"8,705,546","$52,630",0.99%,-1.35%,-33.66%
